not atom30 > atom30.
not atom39 > atom39 :- not atom30.
atom26 > not atom26 :- not atom39, not atom30.
atom26 > not atom26 :- atom39, not atom30.
atom47 > not atom47 :- not atom26, not atom30.
atom47 > not atom47 :- atom26, not atom30.
atom60 > not atom60 :- not atom26, not atom30.
atom60 > not atom60 :- atom26, not atom30.
not atom12 > atom12 :- not atom26, not atom30.
not atom12 > atom12 :- atom26, not atom30.
atom3 > not atom3 :- not atom26, not atom30.
atom3 > not atom3 :- atom26, not atom30.
not atom35 > atom35 :- not atom3, not atom30.
not atom35 > atom35 :- atom3, not atom30.
not atom52 > atom52 :- not atom3, not atom30.
atom52 > not atom52 :- atom3, not atom30.
not atom6 > atom6 :- not atom3, not atom30.
atom6 > not atom6 :- atom3, not atom30.
not atom8 > atom8 :- not atom6, not atom30.
not atom8 > atom8 :- atom6, not atom30.
not atom44 > atom44 :- not atom6, not atom30.
atom44 > not atom44 :- atom6, not atom30.
atom57 > not atom57 :- not atom8, not atom30.
atom57 > not atom57 :- atom8, not atom30.
atom58 > not atom58 :- not atom6, not atom30.
not atom58 > atom58 :- atom6, not atom30.
atom5 > not atom5 :- not atom8, not atom30.
atom5 > not atom5 :- atom8, not atom30.
not atom14 > atom14 :- not atom5, not atom30.
atom14 > not atom14 :- atom5, not atom30.
atom28 > not atom28 :- not atom5, not atom30.
atom28 > not atom28 :- atom5, not atom30.
atom31 > not atom31 :- not atom3, not atom30.
atom31 > not atom31 :- atom3, not atom30.
not atom7 > atom7 :- not atom5, not atom30.
atom7 > not atom7 :- atom5, not atom30.
not atom18 > atom18 :- not atom3, not atom30.
atom18 > not atom18 :- atom3, not atom30.
atom55 > not atom55 :- not atom3, not atom30.
atom55 > not atom55 :- atom3, not atom30.
not atom40 > atom40 :- not atom3, not atom30.
not atom40 > atom40 :- atom3, not atom30.
atom36 > not atom36 :- not atom3, not atom30.
atom36 > not atom36 :- atom3, not atom30.
not atom51 > atom51 :- not atom5, not atom30.
atom51 > not atom51 :- atom5, not atom30.
not atom19 > atom19 :- not atom7, not atom30.
atom19 > not atom19 :- atom7, not atom30.
atom37 > not atom37 :- not atom3, not atom30.
not atom37 > atom37 :- atom3, not atom30.
not atom32 > atom32 :- not atom6, not atom30.
not atom32 > atom32 :- atom6, not atom30.
atom13 > not atom13 :- not atom3, not atom30.
not atom13 > atom13 :- atom3, not atom30.
atom49 > not atom49 :- not atom3, not atom30.
not atom49 > atom49 :- atom3, not atom30.
not atom27 > atom27 :- not atom3, not atom30.
not atom27 > atom27 :- atom3, not atom30.
atom9 > not atom9 :- not atom6, not atom30.
atom9 > not atom9 :- atom6, not atom30.
not atom20 > atom20 :- not atom8, not atom30.
not atom20 > atom20 :- atom8, not atom30.
atom41 > not atom41 :- not atom3, not atom30.
not atom41 > atom41 :- atom3, not atom30.
atom53 > not atom53 :- not atom3, not atom30.
not atom53 > atom53 :- atom3, not atom30.
atom22 > not atom22 :- not atom3, not atom30.
atom22 > not atom22 :- atom3, not atom30.
not atom34 > atom34 :- not atom3, not atom30.
atom34 > not atom34 :- atom3, not atom30.
not atom59 > atom59 :- not atom3, not atom30.
not atom59 > atom59 :- atom3, not atom30.
atom21 > not atom21 :- not atom6, not atom30.
not atom21 > atom21 :- atom6, not atom30.
not atom48 > atom48 :- not atom3, not atom30.
not atom48 > atom48 :- atom3, not atom30.
atom24 > not atom24 :- not atom7, not atom30.
atom24 > not atom24 :- atom7, not atom30.
atom25 > not atom25 :- not atom5, not atom30.
atom25 > not atom25 :- atom5, not atom30.
not atom43 > atom43 :- not atom3, not atom30.
atom43 > not atom43 :- atom3, not atom30.
atom16 > not atom16 :- not atom3, not atom30.
atom16 > not atom16 :- atom3, not atom30.
not atom15 > atom15 :- not atom5, not atom30.
not atom15 > atom15 :- atom5, not atom30.
atom4 > not atom4 :- not atom5, not atom30.
not atom4 > atom4 :- atom5, not atom30.
atom54 > not atom54 :- not atom7, not atom30.
atom54 > not atom54 :- atom7, not atom30.
atom45 > not atom45 :- not atom4, not atom30.
atom45 > not atom45 :- atom4, not atom30.
atom10 > not atom10 :- not atom4, not atom30.
atom10 > not atom10 :- atom4, not atom30.
atom23 > not atom23 :- not atom3, not atom30.
not atom23 > atom23 :- atom3, not atom30.
not atom42 > atom42 :- not atom3, not atom30.
