atom32 > not atom32.
not atom8 > atom8.
not atom59 > atom59 :- not atom8.
atom59 > not atom59 :- atom8.
atom39 > not atom39 :- not atom32, atom59.
not atom39 > atom39 :- atom32, atom59.
atom58 > not atom58 :- not atom8, atom59.
not atom58 > atom58 :- atom8, atom59.
atom9 > not atom9 :- not atom32, atom59.
not atom9 > atom9 :- atom32, atom59.
atom14 > not atom14 :- not atom8, atom59.
atom14 > not atom14 :- atom8, atom59.
not atom57 > atom57 :- not atom8, atom59.
not atom57 > atom57 :- atom8, atom59.
atom20 > not atom20 :- not atom8, atom59.
atom20 > not atom20 :- atom8, atom59.
atom33 > not atom33 :- not atom9, atom59.
not atom33 > atom33 :- atom9, atom59.
atom66 > not atom66 :- not atom8, atom59.
atom66 > not atom66 :- atom8, atom59.
not atom69 > atom69 :- not atom8, atom59.
atom69 > not atom69 :- atom8, atom59.
not atom6 > atom6 :- not atom20, atom59.
atom6 > not atom6 :- atom20, atom59.
not atom35 > atom35 :- not atom6, atom59.
atom35 > not atom35 :- atom6, atom59.
not atom45 > atom45 :- not atom14, atom59.
not atom45 > atom45 :- atom14, atom59.
not atom26 > atom26 :- not atom8, atom59.
atom26 > not atom26 :- atom8, atom59.
not atom49 > atom49 :- not atom6, atom59.
not atom49 > atom49 :- atom6, atom59.
atom70 > not atom70 :- not atom6, atom59.
not atom70 > atom70 :- atom6, atom59.
atom23 > not atom23 :- not atom6, atom59.
not atom23 > atom23 :- atom6, atom59.
atom38 > not atom38 :- not atom6, atom59.
not atom38 > atom38 :- atom6, atom59.
not atom50 > atom50 :- not atom9, atom59.
atom50 > not atom50 :- atom9, atom59.
not atom67 > atom67 :- not atom6, atom59.
atom67 > not atom67 :- atom6, atom59.
atom52 > not atom52 :- not atom6, atom59.
atom52 > not atom52 :- atom6, atom59.
atom55 > not atom55 :- not atom9, atom59.
not atom55 > atom55 :- atom9, atom59.
not atom5 > atom5 :- not atom6, atom59.
atom5 > not atom5 :- atom6, atom59.
atom51 > not atom51 :- not atom5, atom59.
atom51 > not atom51 :- atom5, atom59.
not atom17 > atom17 :- not atom5, atom59.
not atom17 > atom17 :- atom5, atom59.
not atom44 > atom44 :- not atom5, atom59.
atom44 > not atom44 :- atom5, atom59.
not atom11 > atom11 :- not atom9, atom59.
atom11 > not atom11 :- atom9, atom59.
atom19 > not atom19 :- not atom5, atom59.
not atom19 > atom19 :- atom5, atom59.
atom68 > not atom68 :- not atom5, atom59.
not atom68 > atom68 :- atom5, atom59.
not atom10 > atom10 :- not atom5, atom59.
atom10 > not atom10 :- atom5, atom59.
atom37 > not atom37 :- not atom8, atom59.
atom37 > not atom37 :- atom8, atom59.
not atom47 > atom47 :- not atom5, atom59.
not atom47 > atom47 :- atom5, atom59.
atom18 > not atom18 :- not atom10, atom59.
not atom18 > atom18 :- atom10, atom59.
atom27 > not atom27 :- not atom6, atom59.
atom27 > not atom27 :- atom6, atom59.
atom1 > not atom1 :- not atom5, atom59.
atom1 > not atom1 :- atom5, atom59.
not atom28 > atom28 :- not atom5, atom59.
atom28 > not atom28 :- atom5, atom59.
atom2 > not atom2 :- not atom8, atom59.
not atom2 > atom2 :- atom8, atom59.
atom62 > not atom62 :- not atom1, atom59.
not atom62 > atom62 :- atom1, atom59.
atom31 > not atom31 :- not atom1, atom59.
not atom31 > atom31 :- atom1, atom59.
not atom56 > atom56 :- not atom6, atom59.
not atom56 > atom56 :- atom6, atom59.
atom61 > not atom61 :- not atom5, atom59.
not atom61 > atom61 :- atom5, atom59.
