atom20 > not atom20.
not atom2 > atom2 :- not atom20.
atom2 > not atom2 :- atom20.
not atom32 > atom32.
atom3 > not atom3 :- atom32.
not atom62 > atom62 :- not atom2, atom32.
atom62 > not atom62 :- atom2, atom32.
atom58 > not atom58 :- not atom2, atom32.
not atom58 > atom58 :- atom2, atom32.
atom22 > not atom22 :- not atom62, atom32.
atom22 > not atom22 :- atom62, atom32.
atom11 > not atom11 :- not atom20, atom32.
not atom11 > atom11 :- atom20, atom32.
atom39 > not atom39 :- not atom22, atom32.
atom39 > not atom39 :- atom22, atom32.
not atom7 > atom7 :- not atom2, atom32.
atom7 > not atom7 :- atom2, atom32.
not atom67 > atom67 :- not atom3, atom32.
not atom67 > atom67 :- atom3, atom32.
atom50 > not atom50 :- not atom2, atom32.
not atom50 > atom50 :- atom2, atom32.
atom14 > not atom14 :- not atom22, atom32.
atom14 > not atom14 :- atom22, atom32.
atom29 > not atom29 :- not atom11, atom32.
atom29 > not atom29 :- atom11, atom32.
not atom18 > atom18 :- not atom3, atom32.
not atom18 > atom18 :- atom3, atom32.
atom30 > not atom30 :- not atom3, atom32.
atom30 > not atom30 :- atom3, atom32.
not atom31 > atom31 :- not atom11, atom32.
not atom31 > atom31 :- atom11, atom32.
atom36 > not atom36 :- not atom2, atom32.
atom36 > not atom36 :- atom2, atom32.
atom6 > not atom6 :- not atom2, atom32.
not atom6 > atom6 :- atom2, atom32.
atom55 > not atom55 :- not atom2, atom32.
atom55 > not atom55 :- atom2, atom32.
not atom13 > atom13 :- not atom2, atom32.
atom13 > not atom13 :- atom2, atom32.
atom61 > not atom61 :- not atom6, atom32.
not atom61 > atom61 :- atom6, atom32.
not atom16 > atom16 :- not atom2, atom32.
not atom16 > atom16 :- atom2, atom32.
atom21 > not atom21 :- not atom2, atom32.
atom21 > not atom21 :- atom2, atom32.
not atom4 > atom4 :- not atom3, atom32.
not atom4 > atom4 :- atom3, atom32.
atom28 > not atom28 :- not atom3, atom32.
atom28 > not atom28 :- atom3, atom32.
atom33 > not atom33 :- not atom3, atom32.
atom33 > not atom33 :- atom3, atom32.
not atom70 > atom70 :- not atom2, atom32.
not atom70 > atom70 :- atom2, atom32.
atom37 > not atom37 :- not atom3, atom32.
atom37 > not atom37 :- atom3, atom32.
atom23 > not atom23 :- not atom2, atom32.
atom23 > not atom23 :- atom2, atom32.
not atom45 > atom45 :- not atom4, atom32.
not atom45 > atom45 :- atom4, atom32.
not atom8 > atom8 :- not atom2, atom32.
not atom8 > atom8 :- atom2, atom32.
