atom60 > not atom60.
not atom35 > atom35.
atom25 > not atom25 :- not atom60.
atom25 > not atom25 :- atom60.
atom5 > not atom5.
atom9 > not atom9 :- not atom60, not atom5.
atom9 > not atom9 :- atom60, not atom5.
not atom12 > atom12 :- not atom9, not atom5.
not atom12 > atom12 :- atom9, not atom5.
not atom42 > atom42 :- not atom5.
not atom18 > atom18 :- not atom9, not atom5.
atom18 > not atom18 :- atom9, not atom5.
atom66 > not atom66 :- not atom9, not atom5.
not atom66 > atom66 :- atom9, not atom5.
atom15 > not atom15 :- not atom12, not atom5.
atom15 > not atom15 :- atom12, not atom5.
atom59 > not atom59 :- not atom12, not atom5.
atom59 > not atom59 :- atom12, not atom5.
atom67 > not atom67 :- not atom9, not atom5.
not atom67 > atom67 :- atom9, not atom5.
atom69 > not atom69 :- not atom9, not atom5.
atom69 > not atom69 :- atom9, not atom5.
not atom70 > atom70 :- not atom9, not atom5.
not atom70 > atom70 :- atom9, not atom5.
atom62 > not atom62 :- not atom9, not atom5.
not atom62 > atom62 :- atom9, not atom5.
atom55 > not atom55 :- not atom9, not atom5.
not atom55 > atom55 :- atom9, not atom5.
atom24 > not atom24 :- not atom9, not atom5.
atom24 > not atom24 :- atom9, not atom5.
atom20 > not atom20 :- not atom9, not atom5.
not atom20 > atom20 :- atom9, not atom5.
atom3 > not atom3 :- not atom12, not atom5.
atom3 > not atom3 :- atom12, not atom5.
atom48 > not atom48 :- not atom3, not atom5.
atom48 > not atom48 :- atom3, not atom5.
not atom21 > atom21 :- not atom3, not atom5.
atom21 > not atom21 :- atom3, not atom5.
atom44 > not atom44 :- not atom3, not atom5.
not atom44 > atom44 :- atom3, not atom5.
not atom39 > atom39 :- not atom3, not atom5.
not atom39 > atom39 :- atom3, not atom5.
atom33 > not atom33 :- not atom21, not atom5.
not atom33 > atom33 :- atom21, not atom5.
not atom58 > atom58 :- not atom3, not atom5.
atom58 > not atom58 :- atom3, not atom5.
not atom41 > atom41 :- not atom9, not atom5.
not atom41 > atom41 :- atom9, not atom5.
not atom51 > atom51 :- not atom3, not atom5.
not atom51 > atom51 :- atom3, not atom5.
not atom54 > atom54 :- not atom3, not atom5.
not atom54 > atom54 :- atom3, not atom5.
atom53 > not atom53 :- not atom18, not atom5.
atom53 > not atom53 :- atom18, not atom5.
not atom10 > atom10 :- not atom3, not atom5.
not atom10 > atom10 :- atom3, not atom5.
atom52 > not atom52 :- not atom3, not atom5.
atom52 > not atom52 :- atom3, not atom5.
not atom49 > atom49 :- not atom9, not atom5.
not atom49 > atom49 :- atom9, not atom5.
not atom38 > atom38 :- not atom10, not atom5.
atom38 > not atom38 :- atom10, not atom5.
not atom56 > atom56 :- not atom3, not atom5.
atom56 > not atom56 :- atom3, not atom5.
atom16 > not atom16 :- not atom3, not atom5.
atom16 > not atom16 :- atom3, not atom5.
atom32 > not atom32 :- not atom3, not atom5.
not atom32 > atom32 :- atom3, not atom5.
not atom50 > atom50 :- not atom3, not atom5.
not atom50 > atom50 :- atom3, not atom5.
