atom14 > not atom14.
atom68 > not atom68.
atom41 > not atom41 :- not atom14.
atom41 > not atom41 :- atom14.
not atom28 > atom28 :- not atom14.
atom28 > not atom28 :- atom14.
not atom34 > atom34 :- not atom41, not atom28.
not atom34 > atom34 :- atom41, not atom28.
atom23 > not atom23 :- not atom14, not atom28.
atom23 > not atom23 :- atom14, not atom28.
not atom10 > atom10 :- not atom34, not atom28.
atom10 > not atom10 :- atom34, not atom28.
atom65 > not atom65 :- not atom10, not atom28.
atom65 > not atom65 :- atom10, not atom28.
not atom62 > atom62 :- not atom10, not atom28.
not atom62 > atom62 :- atom10, not atom28.
not atom38 > atom38 :- not atom10, not atom28.
atom38 > not atom38 :- atom10, not atom28.
atom8 > not atom8 :- not atom14, not atom28.
atom8 > not atom8 :- atom14, not atom28.
not atom35 > atom35 :- not atom8, not atom28.
atom35 > not atom35 :- atom8, not atom28.
not atom39 > atom39 :- not atom8, not atom28.
not atom39 > atom39 :- atom8, not atom28.
not atom52 > atom52 :- not atom10, not atom28.
atom52 > not atom52 :- atom10, not atom28.
not atom24 > atom24 :- not atom8, not atom28.
atom24 > not atom24 :- atom8, not atom28.
atom43 > not atom43 :- not atom10, not atom28.
atom43 > not atom43 :- atom10, not atom28.
not atom18 > atom18 :- not atom10, not atom28.
atom18 > not atom18 :- atom10, not atom28.
atom5 > not atom5 :- not atom10, not atom28.
not atom5 > atom5 :- atom10, not atom28.
atom64 > not atom64 :- not atom8, not atom28.
not atom64 > atom64 :- atom8, not atom28.
atom58 > not atom58 :- not atom5, not atom28.
not atom58 > atom58 :- atom5, not atom28.
atom44 > not atom44 :- not atom5, not atom28.
atom44 > not atom44 :- atom5, not atom28.
atom29 > not atom29 :- not atom8, not atom28.
atom29 > not atom29 :- atom8, not atom28.
atom54 > not atom54 :- not atom5, not atom28.
not atom54 > atom54 :- atom5, not atom28.
atom13 > not atom13 :- not atom18, not atom28.
atom13 > not atom13 :- atom18, not atom28.
not atom53 > atom53 :- not atom5, not atom28.
atom53 > not atom53 :- atom5, not atom28.
atom57 > not atom57 :- not atom10, not atom28.
atom57 > not atom57 :- atom10, not atom28.
atom9 > not atom9 :- not atom8, not atom28.
atom9 > not atom9 :- atom8, not atom28.
atom22 > not atom22 :- not atom5, not atom28.
not atom22 > atom22 :- atom5, not atom28.
atom3 > not atom3 :- not atom8, not atom28.
not atom3 > atom3 :- atom8, not atom28.
atom19 > not atom19 :- not atom5, not atom28.
atom19 > not atom19 :- atom5, not atom28.
not atom17 > atom17 :- not atom5, not atom28.
not atom17 > atom17 :- atom5, not atom28.
atom27 > not atom27 :- not atom17, not atom28.
atom27 > not atom27 :- atom17, not atom28.
not atom21 > atom21 :- not atom5, not atom28.
not atom21 > atom21 :- atom5, not atom28.
not atom32 > atom32 :- not atom9, not atom28.
atom32 > not atom32 :- atom9, not atom28.
atom45 > not atom45 :- not atom5, not atom28.
atom45 > not atom45 :- atom5, not atom28.
atom7 > not atom7 :- not atom3, not atom28.
not atom7 > atom7 :- atom3, not atom28.
not atom66 > atom66 :- not atom5, not atom28.
atom66 > not atom66 :- atom5, not atom28.
atom26 > not atom26 :- not atom7, not atom28.
atom26 > not atom26 :- atom7, not atom28.
atom49 > not atom49 :- not atom3, not atom28.
not atom49 > atom49 :- atom3, not atom28.
not atom70 > atom70 :- not atom8, not atom28.
atom70 > not atom70 :- atom8, not atom28.
not atom30 > atom30 :- not atom3, not atom28.
not atom30 > atom30 :- atom3, not atom28.
atom60 > not atom60 :- not atom5, not atom28.
atom60 > not atom60 :- atom5, not atom28.
atom61 > not atom61 :- not atom3, not atom28.
atom61 > not atom61 :- atom3, not atom28.
atom1 > not atom1 :- not atom5, not atom28.
atom1 > not atom1 :- atom5, not atom28.
atom59 > not atom59 :- not atom1, not atom28.
atom59 > not atom59 :- atom1, not atom28.
not atom20 > atom20 :- not atom1, not atom28.
atom20 > not atom20 :- atom1, not atom28.
not atom2 > atom2 :- not atom3, not atom28.
not atom2 > atom2 :- atom3, not atom28.
atom50 > not atom50 :- not atom2, not atom28.
not atom50 > atom50 :- atom2, not atom28.
atom55 > not atom55 :- not atom9, not atom28.
atom55 > not atom55 :- atom9, not atom28.
not atom40 > atom40 :- not atom2, not atom28.
atom40 > not atom40 :- atom2, not atom28.
atom33 > not atom33 :- not atom1, not atom28.
not atom33 > atom33 :- atom1, not atom28.
not atom46 > atom46 :- not atom1, not atom28.
atom46 > not atom46 :- atom1, not atom28.
not atom48 > atom48 :- not atom1, not atom28.
not atom48 > atom48 :- atom1, not atom28.
not atom12 > atom12 :- not atom1, not atom28.
not atom12 > atom12 :- atom1, not atom28.
not atom31 > atom31 :- not atom8, not atom28.
not atom31 > atom31 :- atom8, not atom28.
not atom56 > atom56 :- not atom1, not atom28.
not atom56 > atom56 :- atom1, not atom28.
atom25 > not atom25 :- not atom1, not atom28.
atom25 > not atom25 :- atom1, not atom28.
atom15 > not atom15 :- not atom5, not atom28.
not atom15 > atom15 :- atom5, not atom28.
atom11 > not atom11 :- not atom2, not atom28.
not atom11 > atom11 :- atom2, not atom28.
not atom6 > atom6 :- not atom1, not atom28.
atom6 > not atom6 :- atom1, not atom28.
atom36 > not atom36 :- not atom1, not atom28.
atom36 > not atom36 :- atom1, not atom28.
not atom63 > atom63 :- not atom1, not atom28.
atom63 > not atom63 :- atom1, not atom28.
atom67 > not atom67 :- not atom1, not atom28.
atom67 > not atom67 :- atom1, not atom28.
not atom51 > atom51 :- not atom1, not atom28.
atom51 > not atom51 :- atom1, not atom28.
atom16 > not atom16 :- not atom1, not atom28.
not atom16 > atom16 :- atom1, not atom28.
not atom42 > atom42 :- not atom3, not atom28.
not atom42 > atom42 :- atom3, not atom28.
not atom47 > atom47 :- not atom3, not atom28.
not atom47 > atom47 :- atom3, not atom28.
not atom69 > atom69 :- not atom1, not atom28.
not atom69 > atom69 :- atom1, not atom28.
not atom4 > atom4 :- not atom1, not atom28.
atom4 > not atom4 :- atom1, not atom28.
not atom37 > atom37 :- not atom1, not atom28.
not atom37 > atom37 :- atom1, not atom28.
atom43 > not atom43 :- not atom14, atom28.
atom43 > not atom43 :- atom14, atom28.
atom24 > not atom24 :- not atom14, atom28.
not atom24 > atom24 :- atom14, atom28.
not atom46 > atom46 :- not atom24, atom28.
atom46 > not atom46 :- atom24, atom28.
atom42 > not atom42 :- not atom41, atom28.
not atom42 > atom42 :- atom41, atom28.
atom17 > not atom17 :- not atom14, atom28.
not atom17 > atom17 :- atom14, atom28.
atom55 > not atom55 :- not atom24, atom28.
not atom55 > atom55 :- atom24, atom28.
not atom8 > atom8 :- not atom17, atom28.
atom8 > not atom8 :- atom17, atom28.
not atom21 > atom21 :- not atom41, atom28.
atom21 > not atom21 :- atom41, atom28.
atom64 > not atom64 :- not atom24, atom28.
atom64 > not atom64 :- atom24, atom28.
atom22 > not atom22 :- not atom24, atom28.
atom22 > not atom22 :- atom24, atom28.
atom44 > not atom44 :- not atom14, atom28.
not atom44 > atom44 :- atom14, atom28.
atom57 > not atom57 :- not atom22, atom28.
atom57 > not atom57 :- atom22, atom28.
atom4 > not atom4 :- not atom8, atom28.
not atom4 > atom4 :- atom8, atom28.
atom70 > not atom70 :- not atom4, atom28.
not atom70 > atom70 :- atom4, atom28.
not atom66 > atom66 :- not atom14, atom28.
not atom66 > atom66 :- atom14, atom28.
not atom40 > atom40 :- not atom4, atom28.
atom40 > not atom40 :- atom4, atom28.
not atom33 > atom33 :- not atom8, atom28.
atom33 > not atom33 :- atom8, atom28.
not atom45 > atom45 :- not atom8, atom28.
atom45 > not atom45 :- atom8, atom28.
atom15 > not atom15 :- not atom17, atom28.
not atom15 > atom15 :- atom17, atom28.
not atom36 > atom36 :- not atom15, atom28.
not atom36 > atom36 :- atom15, atom28.
atom58 > not atom58 :- not atom14, atom28.
not atom58 > atom58 :- atom14, atom28.
not atom61 > atom61 :- not atom4, atom28.
atom61 > not atom61 :- atom4, atom28.
atom39 > not atom39 :- not atom8, atom28.
atom39 > not atom39 :- atom8, atom28.
not atom3 > atom3 :- not atom4, atom28.
not atom3 > atom3 :- atom4, atom28.
atom2 > not atom2 :- not atom4, atom28.
not atom2 > atom2 :- atom4, atom28.
not atom12 > atom12 :- not atom2, atom28.
not atom12 > atom12 :- atom2, atom28.
atom37 > not atom37 :- not atom2, atom28.
not atom37 > atom37 :- atom2, atom28.
atom29 > not atom29 :- not atom2, atom28.
atom29 > not atom29 :- atom2, atom28.
not atom38 > atom38 :- not atom3, atom28.
atom38 > not atom38 :- atom3, atom28.
not atom6 > atom6 :- not atom2, atom28.
atom6 > not atom6 :- atom2, atom28.
atom20 > not atom20 :- not atom3, atom28.
not atom20 > atom20 :- atom3, atom28.
atom47 > not atom47 :- not atom2, atom28.
atom47 > not atom47 :- atom2, atom28.
not atom49 > atom49 :- not atom2, atom28.
atom49 > not atom49 :- atom2, atom28.
atom63 > not atom63 :- not atom4, atom28.
not atom63 > atom63 :- atom4, atom28.
not atom50 > atom50 :- not atom8, atom28.
atom50 > not atom50 :- atom8, atom28.
atom19 > not atom19 :- not atom3, atom28.
not atom19 > atom19 :- atom3, atom28.
not atom51 > atom51 :- not atom2, atom28.
not atom51 > atom51 :- atom2, atom28.
atom56 > not atom56 :- not atom3, atom28.
atom56 > not atom56 :- atom3, atom28.
atom10 > not atom10 :- not atom2, atom28.
atom10 > not atom10 :- atom2, atom28.
atom5 > not atom5 :- not atom2, atom28.
atom5 > not atom5 :- atom2, atom28.
not atom59 > atom59 :- not atom3, atom28.
atom59 > not atom59 :- atom3, atom28.
atom7 > not atom7 :- not atom4, atom28.
atom7 > not atom7 :- atom4, atom28.
atom67 > not atom67 :- not atom3, atom28.
not atom67 > atom67 :- atom3, atom28.
not atom1 > atom1 :- not atom3, atom28.
not atom1 > atom1 :- atom3, atom28.
atom32 > not atom32 :- not atom2, atom28.
atom32 > not atom32 :- atom2, atom28.
atom9 > not atom9 :- not atom1, atom28.
atom9 > not atom9 :- atom1, atom28.
not atom48 > atom48 :- not atom2, atom28.
not atom48 > atom48 :- atom2, atom28.
not atom16 > atom16 :- not atom1, atom28.
not atom16 > atom16 :- atom1, atom28.
not atom62 > atom62 :- not atom3, atom28.
not atom62 > atom62 :- atom3, atom28.
atom25 > not atom25 :- not atom1, atom28.
not atom25 > atom25 :- atom1, atom28.
atom52 > not atom52 :- not atom2, atom28.
not atom52 > atom52 :- atom2, atom28.
not atom18 > atom18 :- not atom3, atom28.
atom18 > not atom18 :- atom3, atom28.
not atom54 > atom54 :- not atom1, atom28.
atom54 > not atom54 :- atom1, atom28.
atom13 > not atom13 :- not atom1, atom28.
not atom13 > atom13 :- atom1, atom28.
atom23 > not atom23 :- not atom1, atom28.
atom23 > not atom23 :- atom1, atom28.
not atom65 > atom65 :- not atom1, atom28.
atom65 > not atom65 :- atom1, atom28.
not atom31 > atom31 :- not atom1, atom28.
not atom31 > atom31 :- atom1, atom28.
not atom60 > atom60 :- not atom3, atom28.
atom60 > not atom60 :- atom3, atom28.
not atom27 > atom27 :- not atom4, atom28.
not atom27 > atom27 :- atom4, atom28.
not atom30 > atom30 :- not atom3, atom28.
atom30 > not atom30 :- atom3, atom28.
atom35 > not atom35 :- not atom1, atom28.
not atom35 > atom35 :- atom1, atom28.
atom34 > not atom34 :- not atom1, atom28.
atom34 > not atom34 :- atom1, atom28.
atom53 > not atom53 :- not atom2, atom28.
atom53 > not atom53 :- atom2, atom28.
not atom69 > atom69 :- not atom4, atom28.
atom69 > not atom69 :- atom4, atom28.
atom11 > not atom11 :- not atom1, atom28.
atom11 > not atom11 :- atom1, atom28.
