not atom43 > atom43.
atom29 > not atom29.
not atom8 > atom8 :- not atom29.
atom8 > not atom8 :- atom29.
atom58 > not atom58 :- not atom8.
not atom58 > atom58 :- atom8.
atom7 > not atom7 :- not atom8, atom58.
atom7 > not atom7 :- atom8, atom58.
atom14 > not atom14 :- not atom7, atom58.
not atom14 > atom14 :- atom7, atom58.
atom33 > not atom33 :- not atom8, atom58.
not atom33 > atom33 :- atom8, atom58.
not atom13 > atom13 :- not atom8, atom58.
not atom13 > atom13 :- atom8, atom58.
not atom5 > atom5 :- not atom7, atom58.
atom5 > not atom5 :- atom7, atom58.
not atom55 > atom55 :- not atom5, atom58.
not atom55 > atom55 :- atom5, atom58.
not atom44 > atom44 :- not atom13, atom58.
not atom44 > atom44 :- atom13, atom58.
not atom18 > atom18 :- not atom8, atom58.
not atom18 > atom18 :- atom8, atom58.
not atom59 > atom59 :- not atom5, atom58.
not atom59 > atom59 :- atom5, atom58.
not atom12 > atom12 :- not atom5, atom58.
atom12 > not atom12 :- atom5, atom58.
atom16 > not atom16 :- not atom5, atom58.
not atom16 > atom16 :- atom5, atom58.
not atom35 > atom35 :- not atom13, atom58.
atom35 > not atom35 :- atom13, atom58.
not atom24 > atom24 :- not atom13, atom58.
not atom24 > atom24 :- atom13, atom58.
not atom48 > atom48 :- not atom5, atom58.
not atom48 > atom48 :- atom5, atom58.
not atom64 > atom64 :- not atom8, atom58.
atom64 > not atom64 :- atom8, atom58.
not atom9 > atom9 :- not atom7, atom58.
not atom9 > atom9 :- atom7, atom58.
not atom4 > atom4 :- not atom5, atom58.
not atom4 > atom4 :- atom5, atom58.
not atom11 > atom11 :- not atom14, atom58.
not atom11 > atom11 :- atom14, atom58.
atom69 > not atom69 :- not atom4, atom58.
not atom69 > atom69 :- atom4, atom58.
atom40 > not atom40 :- not atom5, atom58.
atom40 > not atom40 :- atom5, atom58.
not atom67 > atom67 :- not atom4, atom58.
atom67 > not atom67 :- atom4, atom58.
atom66 > not atom66 :- not atom4, atom58.
not atom66 > atom66 :- atom4, atom58.
not atom25 > atom25 :- not atom7, atom58.
atom25 > not atom25 :- atom7, atom58.
atom49 > not atom49 :- not atom4, atom58.
atom49 > not atom49 :- atom4, atom58.
not atom63 > atom63 :- not atom4, atom58.
atom63 > not atom63 :- atom4, atom58.
atom39 > not atom39 :- not atom4, atom58.
atom39 > not atom39 :- atom4, atom58.
not atom21 > atom21 :- not atom4, atom58.
not atom21 > atom21 :- atom4, atom58.
atom3 > not atom3 :- not atom7, atom58.
atom3 > not atom3 :- atom7, atom58.
atom50 > not atom50 :- not atom3, atom58.
atom50 > not atom50 :- atom3, atom58.
not atom38 > atom38 :- not atom4, atom58.
atom38 > not atom38 :- atom4, atom58.
not atom22 > atom22 :- not atom5, atom58.
not atom22 > atom22 :- atom5, atom58.
atom41 > not atom41 :- not atom3, atom58.
not atom41 > atom41 :- atom3, atom58.
atom47 > not atom47 :- not atom3, atom58.
atom47 > not atom47 :- atom3, atom58.
not atom36 > atom36 :- not atom4, atom58.
not atom36 > atom36 :- atom4, atom58.
atom51 > not atom51 :- not atom3, atom58.
atom51 > not atom51 :- atom3, atom58.
atom6 > not atom6 :- not atom3, atom58.
not atom6 > atom6 :- atom3, atom58.
atom42 > not atom42 :- not atom3, atom58.
atom42 > not atom42 :- atom3, atom58.
atom30 > not atom30 :- not atom3, atom58.
not atom30 > atom30 :- atom3, atom58.
atom70 > not atom70 :- not atom6, atom58.
atom70 > not atom70 :- atom6, atom58.
atom52 > not atom52 :- not atom7, atom58.
not atom52 > atom52 :- atom7, atom58.
not atom37 > atom37 :- not atom6, atom58.
not atom37 > atom37 :- atom6, atom58.
atom34 > not atom34 :- not atom3, atom58.
not atom34 > atom34 :- atom3, atom58.
not atom56 > atom56 :- not atom6, atom58.
atom56 > not atom56 :- atom6, atom58.
not atom62 > atom62 :- not atom5, atom58.
atom62 > not atom62 :- atom5, atom58.
not atom28 > atom28 :- not atom4, atom58.
atom28 > not atom28 :- atom4, atom58.
atom19 > not atom19 :- not atom3, atom58.
not atom19 > atom19 :- atom3, atom58.
atom68 > not atom68 :- not atom3, atom58.
atom68 > not atom68 :- atom3, atom58.
not atom10 > atom10 :- not atom3, atom58.
atom10 > not atom10 :- atom3, atom58.
atom32 > not atom32 :- not atom3, atom58.
atom32 > not atom32 :- atom3, atom58.
not atom65 > atom65 :- not atom5, atom58.
atom65 > not atom65 :- atom5, atom58.
atom26 > not atom26 :- not atom6, atom58.
not atom26 > atom26 :- atom6, atom58.
atom15 > not atom15 :- not atom4, atom58.
not atom15 > atom15 :- atom4, atom58.
atom27 > not atom27 :- not atom3, atom58.
atom27 > not atom27 :- atom3, atom58.
not atom61 > atom61 :- not atom4, atom58.
atom61 > not atom61 :- atom4, atom58.
not atom31 > atom31 :- not atom4, atom58.
not atom31 > atom31 :- atom4, atom58.
not atom53 > atom53 :- not atom3, atom58.
atom53 > not atom53 :- atom3, atom58.
not atom17 > atom17 :- not atom6, atom58.
atom17 > not atom17 :- atom6, atom58.
not atom2 > atom2 :- not atom4, atom58.
atom2 > not atom2 :- atom4, atom58.
not atom23 > atom23 :- not atom3, atom58.
atom23 > not atom23 :- atom3, atom58.
atom1 > not atom1 :- not atom2, atom58.
