atom14 > not atom14.
atom57 > not atom57.
atom25 > not atom25 :- not atom14.
not atom25 > atom25 :- atom14.
atom18 > not atom18 :- not atom25.
atom6 > not atom6 :- not atom14, not atom25.
atom6 > not atom6 :- atom14, not atom25.
not atom19 > atom19 :- not atom6, not atom25.
not atom19 > atom19 :- atom6, not atom25.
not atom31 > atom31 :- not atom18, not atom25.
atom31 > not atom31 :- atom18, not atom25.
not atom10 > atom10 :- not atom6, not atom25.
not atom10 > atom10 :- atom6, not atom25.
atom17 > not atom17 :- not atom6, not atom25.
atom17 > not atom17 :- atom6, not atom25.
not atom62 > atom62 :- not atom6, not atom25.
not atom62 > atom62 :- atom6, not atom25.
atom28 > not atom28 :- not atom18, not atom25.
atom28 > not atom28 :- atom18, not atom25.
not atom33 > atom33 :- not atom6, not atom25.
not atom33 > atom33 :- atom6, not atom25.
not atom12 > atom12 :- not atom6, not atom25.
not atom12 > atom12 :- atom6, not atom25.
not atom47 > atom47 :- not atom10, not atom25.
atom47 > not atom47 :- atom10, not atom25.
not atom46 > atom46 :- not atom6, not atom25.
not atom46 > atom46 :- atom6, not atom25.
not atom49 > atom49 :- not atom6, not atom25.
atom49 > not atom49 :- atom6, not atom25.
not atom53 > atom53 :- not atom6, not atom25.
not atom53 > atom53 :- atom6, not atom25.
not atom32 > atom32 :- not atom6, not atom25.
atom32 > not atom32 :- atom6, not atom25.
not atom23 > atom23 :- not atom18, not atom25.
not atom23 > atom23 :- atom18, not atom25.
not atom4 > atom4 :- not atom10, not atom25.
atom4 > not atom4 :- atom10, not atom25.
atom5 > not atom5 :- not atom14, not atom25.
not atom5 > atom5 :- atom14, not atom25.
not atom13 > atom13 :- not atom4, not atom25.
atom13 > not atom13 :- atom4, not atom25.
not atom59 > atom59 :- not atom4, not atom25.
not atom59 > atom59 :- atom4, not atom25.
not atom8 > atom8 :- not atom4, not atom25.
not atom8 > atom8 :- atom4, not atom25.
not atom70 > atom70 :- not atom4, not atom25.
not atom70 > atom70 :- atom4, not atom25.
atom35 > not atom35 :- not atom5, not atom25.
atom35 > not atom35 :- atom5, not atom25.
atom29 > not atom29 :- not atom4, not atom25.
atom29 > not atom29 :- atom4, not atom25.
atom36 > not atom36 :- not atom5, not atom25.
atom36 > not atom36 :- atom5, not atom25.
atom11 > not atom11 :- not atom4, not atom25.
not atom11 > atom11 :- atom4, not atom25.
not atom2 > atom2 :- not atom6, not atom25.
atom2 > not atom2 :- atom6, not atom25.
atom48 > not atom48 :- not atom4, not atom25.
atom48 > not atom48 :- atom4, not atom25.
atom56 > not atom56 :- not atom2, not atom25.
atom56 > not atom56 :- atom2, not atom25.
not atom42 > atom42 :- not atom2, not atom25.
atom42 > not atom42 :- atom2, not atom25.
atom54 > not atom54 :- not atom4, not atom25.
not atom54 > atom54 :- atom4, not atom25.
atom7 > not atom7 :- not atom12, not atom25.
not atom7 > atom7 :- atom12, not atom25.
atom34 > not atom34 :- not atom6, not atom25.
atom34 > not atom34 :- atom6, not atom25.
not atom43 > atom43 :- not atom4, not atom25.
not atom43 > atom43 :- atom4, not atom25.
atom55 > not atom55 :- not atom2, not atom25.
not atom55 > atom55 :- atom2, not atom25.
not atom38 > atom38 :- not atom2, not atom25.
not atom38 > atom38 :- atom2, not atom25.
atom20 > not atom20 :- not atom2, not atom25.
atom20 > not atom20 :- atom2, not atom25.
atom1 > not atom1 :- not atom2, not atom25.
not atom1 > atom1 :- atom2, not atom25.
