atom48 > not atom48.
atom62 > not atom62.
not atom36 > atom36 :- not atom48.
not atom36 > atom36 :- atom48.
not atom41 > atom41.
atom59 > not atom59 :- not atom36.
atom59 > not atom59 :- atom36.
not atom39 > atom39 :- not atom41.
not atom39 > atom39 :- atom41.
atom60 > not atom60 :- not atom48.
atom60 > not atom60 :- atom48.
atom46 > not atom46 :- not atom48.
not atom46 > atom46 :- atom48.
not atom64 > atom64 :- not atom39.
atom64 > not atom64 :- atom39.
not atom51 > atom51 :- not atom41.
atom51 > not atom51 :- atom41.
not atom33 > atom33 :- not atom46.
not atom33 > atom33 :- atom46.
atom43 > not atom43 :- not atom33.
not atom43 > atom43 :- atom33.
atom8 > not atom8 :- not atom36, atom43.
atom8 > not atom8 :- atom36, atom43.
not atom31 > atom31 :- not atom8, atom43.
not atom31 > atom31 :- atom8, atom43.
not atom65 > atom65 :- not atom8, atom43.
not atom65 > atom65 :- atom8, atom43.
atom12 > not atom12 :- not atom36, atom43.
not atom12 > atom12 :- atom36, atom43.
not atom9 > atom9 :- not atom31, atom43.
atom9 > not atom9 :- atom31, atom43.
atom66 > not atom66 :- not atom9, atom43.
atom66 > not atom66 :- atom9, atom43.
atom30 > not atom30 :- not atom8, atom43.
atom30 > not atom30 :- atom8, atom43.
atom34 > not atom34 :- not atom9, atom43.
atom34 > not atom34 :- atom9, atom43.
atom32 > not atom32 :- not atom8, atom43.
not atom32 > atom32 :- atom8, atom43.
not atom24 > atom24 :- not atom8, atom43.
not atom24 > atom24 :- atom8, atom43.
not atom52 > atom52 :- not atom9, atom43.
not atom52 > atom52 :- atom9, atom43.
not atom1 > atom1 :- not atom8, atom43.
atom1 > not atom1 :- atom8, atom43.
atom26 > not atom26 :- not atom8, atom43.
not atom26 > atom26 :- atom8, atom43.
atom44 > not atom44 :- not atom1, atom43.
not atom44 > atom44 :- atom1, atom43.
not atom4 > atom4 :- not atom1, atom43.
atom4 > not atom4 :- atom1, atom43.
not atom68 > atom68 :- not atom1, atom43.
atom68 > not atom68 :- atom1, atom43.
atom7 > not atom7 :- not atom1, atom43.
atom7 > not atom7 :- atom1, atom43.
not atom63 > atom63 :- not atom7, atom43.
not atom63 > atom63 :- atom7, atom43.
not atom11 > atom11 :- not atom8, atom43.
atom11 > not atom11 :- atom8, atom43.
not atom14 > atom14 :- not atom1, atom43.
not atom14 > atom14 :- atom1, atom43.
atom19 > not atom19 :- not atom1, atom43.
not atom19 > atom19 :- atom1, atom43.
atom61 > not atom61 :- not atom1, atom43.
atom61 > not atom61 :- atom1, atom43.
atom29 > not atom29 :- not atom8, atom43.
not atom29 > atom29 :- atom8, atom43.
atom47 > not atom47 :- not atom1, atom43.
not atom47 > atom47 :- atom1, atom43.
not atom58 > atom58 :- not atom1, atom43.
atom58 > not atom58 :- atom1, atom43.
not atom23 > atom23 :- not atom9, atom43.
not atom23 > atom23 :- atom9, atom43.
not atom21 > atom21 :- not atom1, atom43.
not atom21 > atom21 :- atom1, atom43.
not atom3 > atom3 :- not atom7, atom43.
atom3 > not atom3 :- atom7, atom43.
atom2 > not atom2 :- not atom8, atom43.
not atom2 > atom2 :- atom8, atom43.
not atom20 > atom20 :- not atom1, atom43.
atom20 > not atom20 :- atom1, atom43.
atom10 > not atom10 :- not atom3, atom43.
atom10 > not atom10 :- atom3, atom43.
atom38 > not atom38 :- not atom2, atom43.
atom38 > not atom38 :- atom2, atom43.
atom13 > not atom13 :- not atom4, atom43.
atom13 > not atom13 :- atom4, atom43.
not atom5 > atom5 :- not atom3, atom43.
atom5 > not atom5 :- atom3, atom43.
not atom56 > atom56 :- not atom1, atom43.
not atom56 > atom56 :- atom1, atom43.
not atom69 > atom69 :- not atom4, atom43.
not atom69 > atom69 :- atom4, atom43.
atom28 > not atom28 :- not atom4, atom43.
not atom28 > atom28 :- atom4, atom43.
not atom6 > atom6 :- not atom2, atom43.
not atom6 > atom6 :- atom2, atom43.
not atom37 > atom37 :- not atom5, atom43.
not atom37 > atom37 :- atom5, atom43.
atom67 > not atom67 :- not atom1, atom43.
atom67 > not atom67 :- atom1, atom43.
not atom15 > atom15 :- not atom1, atom43.
not atom15 > atom15 :- atom1, atom43.
not atom49 > atom49 :- not atom1, atom43.
not atom49 > atom49 :- atom1, atom43.
not atom45 > atom45 :- not atom1, atom43.
not atom45 > atom45 :- atom1, atom43.
atom42 > not atom42 :- not atom2, atom43.
atom42 > not atom42 :- atom2, atom43.
atom35 > not atom35 :- not atom2, atom43.
not atom35 > atom35 :- atom2, atom43.
not atom27 > atom27 :- not atom4, atom43.
not atom27 > atom27 :- atom4, atom43.
not atom57 > atom57 :- not atom1, atom43.
not atom57 > atom57 :- atom1, atom43.
atom53 > not atom53 :- not atom2, atom43.
not atom53 > atom53 :- atom2, atom43.
atom18 > not atom18 :- not atom4, atom43.
not atom18 > atom18 :- atom4, atom43.
not atom70 > atom70 :- not atom2, atom43.
atom70 > not atom70 :- atom2, atom43.
atom50 > not atom50 :- not atom1, atom43.
atom50 > not atom50 :- atom1, atom43.
not atom40 > atom40 :- not atom2, atom43.
atom40 > not atom40 :- atom2, atom43.
atom22 > not atom22 :- not atom1, atom43.
atom22 > not atom22 :- atom1, atom43.
not atom16 > atom16 :- not atom1, atom43.
atom16 > not atom16 :- atom1, atom43.
not atom25 > atom25 :- not atom5, atom43.
not atom25 > atom25 :- atom5, atom43.
not atom17 > atom17 :- not atom1, atom43.
atom17 > not atom17 :- atom1, atom43.
atom55 > not atom55 :- not atom1, atom43.
not atom55 > atom55 :- atom1, atom43.
atom54 > not atom54 :- not atom3, atom43.
not atom54 > atom54 :- atom3, atom43.
atom56 > not atom56 :- not atom33, not atom43.
not atom56 > atom56 :- atom33, not atom43.
not atom8 > atom8 :- not atom33, not atom43.
not atom8 > atom8 :- atom33, not atom43.
atom23 > not atom23 :- not atom8, not atom43.
not atom23 > atom23 :- atom8, not atom43.
not atom16 > atom16 :- not atom36, not atom43.
not atom16 > atom16 :- atom36, not atom43.
not atom19 > atom19 :- not atom8, not atom43.
atom19 > not atom19 :- atom8, not atom43.
not atom9 > atom9 :- not atom8, not atom43.
atom9 > not atom9 :- atom8, not atom43.
not atom37 > atom37 :- not atom8, not atom43.
not atom37 > atom37 :- atom8, not atom43.
not atom13 > atom13 :- not atom8, not atom43.
atom13 > not atom13 :- atom8, not atom43.
atom44 > not atom44 :- not atom16, not atom43.
atom44 > not atom44 :- atom16, not atom43.
atom12 > not atom12 :- not atom8, not atom43.
atom12 > not atom12 :- atom8, not atom43.
atom35 > not atom35 :- not atom8, not atom43.
not atom35 > atom35 :- atom8, not atom43.
not atom63 > atom63 :- not atom9, not atom43.
atom63 > not atom63 :- atom9, not atom43.
atom28 > not atom28 :- not atom8, not atom43.
not atom28 > atom28 :- atom8, not atom43.
not atom26 > atom26 :- not atom8, not atom43.
atom26 > not atom26 :- atom8, not atom43.
not atom52 > atom52 :- not atom8, not atom43.
not atom52 > atom52 :- atom8, not atom43.
not atom50 > atom50 :- not atom13, not atom43.
atom50 > not atom50 :- atom13, not atom43.
not atom17 > atom17 :- not atom8, not atom43.
not atom17 > atom17 :- atom8, not atom43.
atom55 > not atom55 :- not atom19, not atom43.
atom55 > not atom55 :- atom19, not atom43.
atom66 > not atom66 :- not atom9, not atom43.
atom66 > not atom66 :- atom9, not atom43.
atom30 > not atom30 :- not atom17, not atom43.
atom30 > not atom30 :- atom17, not atom43.
not atom61 > atom61 :- not atom12, not atom43.
not atom61 > atom61 :- atom12, not atom43.
not atom14 > atom14 :- not atom9, not atom43.
atom14 > not atom14 :- atom9, not atom43.
not atom21 > atom21 :- not atom9, not atom43.
atom21 > not atom21 :- atom9, not atom43.
atom20 > not atom20 :- not atom8, not atom43.
not atom20 > atom20 :- atom8, not atom43.
not atom57 > atom57 :- not atom9, not atom43.
atom57 > not atom57 :- atom9, not atom43.
atom18 > not atom18 :- not atom8, not atom43.
atom18 > not atom18 :- atom8, not atom43.
atom38 > not atom38 :- not atom8, not atom43.
not atom38 > atom38 :- atom8, not atom43.
not atom27 > atom27 :- not atom8, not atom43.
atom27 > not atom27 :- atom8, not atom43.
not atom47 > atom47 :- not atom8, not atom43.
atom47 > not atom47 :- atom8, not atom43.
not atom10 > atom10 :- not atom8, not atom43.
not atom10 > atom10 :- atom8, not atom43.
not atom69 > atom69 :- not atom10, not atom43.
atom69 > not atom69 :- atom10, not atom43.
not atom2 > atom2 :- not atom8, not atom43.
atom2 > not atom2 :- atom8, not atom43.
not atom15 > atom15 :- not atom2, not atom43.
not atom15 > atom15 :- atom2, not atom43.
not atom45 > atom45 :- not atom2, not atom43.
not atom45 > atom45 :- atom2, not atom43.
not atom3 > atom3 :- not atom2, not atom43.
atom3 > not atom3 :- atom2, not atom43.
not atom70 > atom70 :- not atom9, not atom43.
atom70 > not atom70 :- atom9, not atom43.
atom32 > not atom32 :- not atom2, not atom43.
not atom32 > atom32 :- atom2, not atom43.
atom68 > not atom68 :- not atom2, not atom43.
not atom68 > atom68 :- atom2, not atom43.
not atom22 > atom22 :- not atom9, not atom43.
atom22 > not atom22 :- atom9, not atom43.
not atom31 > atom31 :- not atom3, not atom43.
atom31 > not atom31 :- atom3, not atom43.
not atom25 > atom25 :- not atom10, not atom43.
atom25 > not atom25 :- atom10, not atom43.
not atom42 > atom42 :- not atom2, not atom43.
not atom42 > atom42 :- atom2, not atom43.
not atom6 > atom6 :- not atom2, not atom43.
not atom6 > atom6 :- atom2, not atom43.
atom49 > not atom49 :- not atom2, not atom43.
atom49 > not atom49 :- atom2, not atom43.
atom24 > not atom24 :- not atom6, not atom43.
not atom24 > atom24 :- atom6, not atom43.
not atom54 > atom54 :- not atom3, not atom43.
atom54 > not atom54 :- atom3, not atom43.
atom40 > not atom40 :- not atom3, not atom43.
atom40 > not atom40 :- atom3, not atom43.
atom58 > not atom58 :- not atom3, not atom43.
atom58 > not atom58 :- atom3, not atom43.
not atom29 > atom29 :- not atom6, not atom43.
not atom29 > atom29 :- atom6, not atom43.
not atom11 > atom11 :- not atom2, not atom43.
atom11 > not atom11 :- atom2, not atom43.
not atom65 > atom65 :- not atom6, not atom43.
atom65 > not atom65 :- atom6, not atom43.
atom5 > not atom5 :- not atom2, not atom43.
atom5 > not atom5 :- atom2, not atom43.
not atom7 > atom7 :- not atom3, not atom43.
not atom7 > atom7 :- atom3, not atom43.
atom1 > not atom1 :- not atom2, not atom43.
atom1 > not atom1 :- atom2, not atom43.
not atom53 > atom53 :- not atom2, not atom43.
atom53 > not atom53 :- atom2, not atom43.
atom4 > not atom4 :- not atom1, not atom43.
not atom4 > atom4 :- atom1, not atom43.
atom67 > not atom67 :- not atom1, not atom43.
atom67 > not atom67 :- atom1, not atom43.
not atom34 > atom34 :- not atom2, not atom43.
not atom34 > atom34 :- atom2, not atom43.
not atom9 > atom9.
atom10 > not atom10.
not atom39 > atom39.
atom26 > not atom26 :- not atom9.
not atom26 > atom26 :- atom9.
atom38 > not atom38 :- not atom9.
atom38 > not atom38 :- atom9.
atom45 > not atom45 :- not atom9.
atom45 > not atom45 :- atom9.
atom61 > not atom61 :- not atom10.
atom61 > not atom61 :- atom10.
not atom27 > atom27 :- not atom9.
atom27 > not atom27 :- atom9.
atom51 > not atom51 :- not atom27.
not atom51 > atom51 :- atom27.
atom12 > not atom12 :- not atom9.
not atom12 > atom12 :- atom9.
not atom70 > atom70 :- not atom12.
atom70 > not atom70 :- atom12.
not atom14 > atom14 :- not atom27.
not atom14 > atom14 :- atom27.
atom20 > not atom20 :- not atom10.
not atom20 > atom20 :- atom10.
not atom13 > atom13 :- not atom9.
not atom13 > atom13 :- atom9.
atom65 > not atom65 :- not atom10.
atom65 > not atom65 :- atom10.
atom47 > not atom47 :- not atom9.
not atom47 > atom47 :- atom9.
not atom30 > atom30 :- not atom10.
not atom30 > atom30 :- atom10.
not atom41 > atom41 :- not atom9.
atom41 > not atom41 :- atom9.
not atom62 > atom62 :- not atom9.
atom62 > not atom62 :- atom9.
not atom35 > atom35 :- not atom10.
atom35 > not atom35 :- atom10.
not atom28 > atom28 :- not atom9.
not atom28 > atom28 :- atom9.
atom52 > not atom52 :- not atom12.
atom52 > not atom52 :- atom12.
not atom36 > atom36 :- not atom9.
atom36 > not atom36 :- atom9.
atom5 > not atom5 :- not atom10.
atom5 > not atom5 :- atom10.
not atom64 > atom64 :- not atom5.
atom64 > not atom64 :- atom5.
atom55 > not atom55 :- not atom5.
atom55 > not atom55 :- atom5.
not atom29 > atom29 :- not atom5.
atom29 > not atom29 :- atom5.
not atom58 > atom58 :- not atom9.
not atom58 > atom58 :- atom9.
not atom40 > atom40 :- not atom5.
atom40 > not atom40 :- atom5.
atom2 > not atom2 :- not atom12.
not atom2 > atom2 :- atom12.
not atom56 > atom56 :- not atom2.
atom56 > not atom56 :- atom2.
atom44 > not atom44 :- not atom2.
not atom44 > atom44 :- atom2.
atom18 > not atom18 :- not atom20.
not atom18 > atom18 :- atom20.
not atom11 > atom11 :- not atom2.
not atom11 > atom11 :- atom2.
not atom15 > atom15 :- not atom2.
atom15 > not atom15 :- atom2.
atom1 > not atom1 :- not atom2.
atom1 > not atom1 :- atom2.
atom32 > not atom32 :- not atom2.
not atom32 > atom32 :- atom2.
atom22 > not atom22 :- not atom2.
not atom22 > atom22 :- atom2.
atom46 > not atom46 :- not atom1.
not atom46 > atom46 :- atom1.
atom57 > not atom57 :- not atom1.
not atom57 > atom57 :- atom1.
not atom66 > atom66 :- not atom9.
not atom66 > atom66 :- atom9.
atom16 > not atom16 :- not atom1.
atom16 > not atom16 :- atom1.
not atom17 > atom17 :- not atom1.
atom17 > not atom17 :- atom1.
not atom6 > atom6 :- not atom9.
not atom6 > atom6 :- atom9.
not atom25 > atom25 :- not atom5.
atom25 > not atom25 :- atom5.
not atom68 > atom68 :- not atom1.
atom68 > not atom68 :- atom1.
atom31 > not atom31 :- not atom5.
not atom31 > atom31 :- atom5.
atom33 > not atom33 :- not atom6.
not atom33 > atom33 :- atom6.
atom8 > not atom8 :- not atom6.
not atom8 > atom8 :- atom6.
not atom4 > atom4 :- not atom1.
not atom4 > atom4 :- atom1.
not atom3 > atom3 :- not atom1.
atom3 > not atom3 :- atom1.
not atom42 > atom42 :- not atom5.
atom42 > not atom42 :- atom5.
not atom53 > atom53 :- not atom1.
atom53 > not atom53 :- atom1.
atom63 > not atom63 :- not atom2.
atom63 > not atom63 :- atom2.
not atom7 > atom7 :- not atom1.
atom7 > not atom7 :- atom1.
not atom50 > atom50 :- not atom4.
atom50 > not atom50 :- atom4.
not atom69 > atom69 :- not atom4.
not atom69 > atom69 :- atom4.
not atom21 > atom21 :- not atom8.
atom21 > not atom21 :- atom8.
not atom49 > atom49 :- not atom3.
atom49 > not atom49 :- atom3.
atom34 > not atom34 :- not atom1.
atom34 > not atom34 :- atom1.
atom54 > not atom54 :- not atom1.
not atom54 > atom54 :- atom1.
not atom59 > atom59 :- not atom1.
not atom59 > atom59 :- atom1.
atom37 > not atom37 :- not atom1.
not atom37 > atom37 :- atom1.
not atom19 > atom19 :- not atom1.
atom19 > not atom19 :- atom1.
