atom7 > not atom7.
not atom63 > atom63 :- not atom7.
atom63 > not atom63 :- atom7.
not atom18 > atom18 :- atom63.
atom16 > not atom16 :- not atom7, atom63.
atom16 > not atom16 :- atom7, atom63.
atom68 > not atom68 :- not atom16, atom63.
atom68 > not atom68 :- atom16, atom63.
not atom31 > atom31 :- not atom7, atom63.
not atom31 > atom31 :- atom7, atom63.
not atom19 > atom19 :- not atom31, atom63.
not atom19 > atom19 :- atom31, atom63.
atom10 > not atom10 :- not atom7, atom63.
not atom10 > atom10 :- atom7, atom63.
not atom69 > atom69 :- not atom10, atom63.
not atom69 > atom69 :- atom10, atom63.
not atom1 > atom1 :- not atom7, atom63.
not atom1 > atom1 :- atom7, atom63.
atom48 > not atom48 :- not atom1, atom63.
not atom48 > atom48 :- atom1, atom63.
atom65 > not atom65 :- not atom7, atom63.
not atom65 > atom65 :- atom7, atom63.
atom12 > not atom12 :- not atom16, atom63.
atom12 > not atom12 :- atom16, atom63.
not atom43 > atom43 :- not atom7, atom63.
atom43 > not atom43 :- atom7, atom63.
not atom51 > atom51 :- not atom7, atom63.
atom51 > not atom51 :- atom7, atom63.
not atom23 > atom23 :- not atom7, atom63.
not atom23 > atom23 :- atom7, atom63.
not atom66 > atom66 :- not atom7, atom63.
not atom66 > atom66 :- atom7, atom63.
atom13 > not atom13 :- not atom19, atom63.
atom13 > not atom13 :- atom19, atom63.
not atom6 > atom6 :- not atom7, atom63.
atom6 > not atom6 :- atom7, atom63.
not atom35 > atom35 :- not atom6, atom63.
atom35 > not atom35 :- atom6, atom63.
atom22 > not atom22 :- not atom1, atom63.
not atom22 > atom22 :- atom1, atom63.
atom4 > not atom4 :- not atom1, atom63.
atom4 > not atom4 :- atom1, atom63.
not atom32 > atom32 :- not atom6, atom63.
not atom32 > atom32 :- atom6, atom63.
atom49 > not atom49 :- not atom6, atom63.
not atom49 > atom49 :- atom6, atom63.
not atom55 > atom55 :- not atom1, atom63.
not atom55 > atom55 :- atom1, atom63.
atom24 > not atom24 :- not atom4, atom63.
not atom24 > atom24 :- atom4, atom63.
not atom62 > atom62 :- not atom1, atom63.
atom62 > not atom62 :- atom1, atom63.
atom50 > not atom50 :- not atom7, atom63.
atom50 > not atom50 :- atom7, atom63.
not atom41 > atom41 :- not atom1, atom63.
atom41 > not atom41 :- atom1, atom63.
atom54 > not atom54 :- not atom1, atom63.
atom54 > not atom54 :- atom1, atom63.
atom56 > not atom56 :- not atom6, atom63.
not atom56 > atom56 :- atom6, atom63.
atom21 > not atom21 :- not atom1, atom63.
not atom21 > atom21 :- atom1, atom63.
not atom58 > atom58 :- not atom1, atom63.
atom58 > not atom58 :- atom1, atom63.
not atom59 > atom59 :- not atom1, atom63.
not atom59 > atom59 :- atom1, atom63.
not atom5 > atom5 :- not atom1, atom63.
atom5 > not atom5 :- atom1, atom63.
atom39 > not atom39 :- not atom4, atom63.
not atom39 > atom39 :- atom4, atom63.
not atom27 > atom27 :- not atom5, atom63.
not atom27 > atom27 :- atom5, atom63.
not atom26 > atom26 :- not atom1, atom63.
atom26 > not atom26 :- atom1, atom63.
atom17 > not atom17 :- not atom1, atom63.
not atom17 > atom17 :- atom1, atom63.
atom64 > not atom64 :- not atom6, atom63.
atom64 > not atom64 :- atom6, atom63.
atom36 > not atom36 :- not atom4, atom63.
not atom36 > atom36 :- atom4, atom63.
not atom28 > atom28 :- not atom1, atom63.
not atom28 > atom28 :- atom1, atom63.
atom15 > not atom15 :- not atom5, atom63.
not atom15 > atom15 :- atom5, atom63.
atom37 > not atom37 :- not atom1, atom63.
atom37 > not atom37 :- atom1, atom63.
atom11 > not atom11 :- not atom5, atom63.
atom11 > not atom11 :- atom5, atom63.
atom3 > not atom3 :- not atom1, atom63.
atom3 > not atom3 :- atom1, atom63.
atom30 > not atom30 :- not atom6, atom63.
atom30 > not atom30 :- atom6, atom63.
not atom67 > atom67 :- not atom1, atom63.
atom67 > not atom67 :- atom1, atom63.
not atom2 > atom2 :- not atom11, atom63.
not atom2 > atom2 :- atom11, atom63.
atom29 > not atom29 :- not atom1, atom63.
not atom29 > atom29 :- atom1, atom63.
not atom8 > atom8 :- not atom4, atom63.
atom8 > not atom8 :- atom4, atom63.
not atom14 > atom14 :- not atom3, atom63.
atom14 > not atom14 :- atom3, atom63.
not atom46 > atom46 :- not atom1, atom63.
atom46 > not atom46 :- atom1, atom63.
not atom20 > atom20 :- not atom1, atom63.
not atom20 > atom20 :- atom1, atom63.
atom53 > not atom53 :- not atom1, atom63.
not atom53 > atom53 :- atom1, atom63.
atom25 > not atom25 :- not atom1, atom63.
not atom25 > atom25 :- atom1, atom63.
not atom61 > atom61 :- not atom5, atom63.
not atom61 > atom61 :- atom5, atom63.
not atom52 > atom52 :- not atom3, atom63.
atom52 > not atom52 :- atom3, atom63.
not atom44 > atom44 :- not atom3, atom63.
not atom44 > atom44 :- atom3, atom63.
not atom33 > atom33 :- not atom2, atom63.
atom33 > not atom33 :- atom2, atom63.
not atom42 > atom42 :- not atom1, atom63.
atom42 > not atom42 :- atom1, atom63.
atom9 > not atom9 :- not atom3, atom63.
not atom9 > atom9 :- atom3, atom63.
not atom47 > atom47 :- not atom2, atom63.
atom47 > not atom47 :- atom2, atom63.
atom57 > not atom57 :- not atom2, atom63.
atom57 > not atom57 :- atom2, atom63.
not atom70 > atom70 :- not atom2, atom63.
atom70 > not atom70 :- atom2, atom63.
atom34 > not atom34 :- not atom6, atom63.
not atom34 > atom34 :- atom6, atom63.
not atom38 > atom38 :- not atom1, atom63.
atom38 > not atom38 :- atom1, atom63.
atom45 > not atom45 :- not atom2, atom63.
atom45 > not atom45 :- atom2, atom63.
not atom60 > atom60 :- not atom2, atom63.
not atom60 > atom60 :- atom2, atom63.
atom40 > not atom40 :- not atom1, atom63.
not atom40 > atom40 :- atom1, atom63.
atom46 > not atom46 :- not atom7, not atom63.
not atom46 > atom46 :- atom7, not atom63.
not atom10 > atom10 :- not atom63.
not atom29 > atom29 :- not atom10, not atom63.
not atom29 > atom29 :- atom10, not atom63.
atom38 > not atom38 :- not atom7, not atom63.
not atom38 > atom38 :- atom7, not atom63.
not atom55 > atom55 :- not atom29, not atom63.
not atom55 > atom55 :- atom29, not atom63.
atom21 > not atom21 :- not atom29, not atom63.
atom21 > not atom21 :- atom29, not atom63.
not atom47 > atom47 :- not atom10, not atom63.
atom47 > not atom47 :- atom10, not atom63.
not atom28 > atom28 :- not atom7, not atom63.
not atom28 > atom28 :- atom7, not atom63.
not atom70 > atom70 :- not atom7, not atom63.
not atom70 > atom70 :- atom7, not atom63.
not atom1 > atom1 :- not atom7, not atom63.
atom1 > not atom1 :- atom7, not atom63.
not atom18 > atom18 :- not atom1, not atom63.
atom18 > not atom18 :- atom1, not atom63.
not atom48 > atom48 :- not atom18, not atom63.
not atom48 > atom48 :- atom18, not atom63.
not atom5 > atom5 :- not atom7, not atom63.
not atom5 > atom5 :- atom7, not atom63.
atom43 > not atom43 :- not atom5, not atom63.
atom43 > not atom43 :- atom5, not atom63.
atom49 > not atom49 :- not atom1, not atom63.
atom49 > not atom49 :- atom1, not atom63.
atom54 > not atom54 :- not atom1, not atom63.
atom54 > not atom54 :- atom1, not atom63.
not atom15 > atom15 :- not atom1, not atom63.
atom15 > not atom15 :- atom1, not atom63.
atom27 > not atom27 :- not atom1, not atom63.
not atom27 > atom27 :- atom1, not atom63.
not atom56 > atom56 :- not atom18, not atom63.
not atom56 > atom56 :- atom18, not atom63.
atom14 > not atom14 :- not atom5, not atom63.
atom14 > not atom14 :- atom5, not atom63.
not atom2 > atom2 :- not atom5, not atom63.
atom2 > not atom2 :- atom5, not atom63.
atom68 > not atom68 :- not atom5, not atom63.
atom68 > not atom68 :- atom5, not atom63.
not atom66 > atom66 :- not atom1, not atom63.
atom66 > not atom66 :- atom1, not atom63.
not atom34 > atom34 :- not atom1, not atom63.
atom34 > not atom34 :- atom1, not atom63.
not atom30 > atom30 :- not atom1, not atom63.
not atom30 > atom30 :- atom1, not atom63.
atom61 > not atom61 :- not atom2, not atom63.
not atom61 > atom61 :- atom2, not atom63.
atom8 > not atom8 :- not atom1, not atom63.
atom8 > not atom8 :- atom1, not atom63.
not atom42 > atom42 :- not atom1, not atom63.
not atom42 > atom42 :- atom1, not atom63.
atom17 > not atom17 :- not atom1, not atom63.
atom17 > not atom17 :- atom1, not atom63.
atom50 > not atom50 :- not atom2, not atom63.
atom50 > not atom50 :- atom2, not atom63.
not atom39 > atom39 :- not atom1, not atom63.
atom39 > not atom39 :- atom1, not atom63.
not atom65 > atom65 :- not atom1, not atom63.
not atom65 > atom65 :- atom1, not atom63.
not atom20 > atom20 :- not atom2, not atom63.
not atom20 > atom20 :- atom2, not atom63.
not atom4 > atom4 :- not atom1, not atom63.
not atom4 > atom4 :- atom1, not atom63.
not atom25 > atom25 :- not atom1, not atom63.
not atom25 > atom25 :- atom1, not atom63.
atom41 > not atom41 :- not atom2, not atom63.
not atom41 > atom41 :- atom2, not atom63.
not atom12 > atom12 :- not atom1, not atom63.
atom12 > not atom12 :- atom1, not atom63.
atom33 > not atom33 :- not atom1, not atom63.
atom33 > not atom33 :- atom1, not atom63.
not atom31 > atom31 :- not atom4, not atom63.
atom31 > not atom31 :- atom4, not atom63.
not atom69 > atom69 :- not atom2, not atom63.
not atom69 > atom69 :- atom2, not atom63.
not atom51 > atom51 :- not atom2, not atom63.
