not atom52 > atom52.
not atom48 > atom48 :- atom52.
atom65 > not atom65 :- not atom48, atom52.
atom65 > not atom65 :- atom48, atom52.
atom37 > not atom37 :- not atom48, atom52.
atom37 > not atom37 :- atom48, atom52.
not atom22 > atom22 :- not atom65, atom52.
atom22 > not atom22 :- atom65, atom52.
not atom31 > atom31 :- atom52.
not atom19 > atom19 :- not atom22, atom52.
not atom19 > atom19 :- atom22, atom52.
not atom36 > atom36 :- not atom19, atom52.
not atom36 > atom36 :- atom19, atom52.
not atom54 > atom54 :- not atom31, atom52.
atom54 > not atom54 :- atom31, atom52.
atom42 > not atom42 :- not atom22, atom52.
atom42 > not atom42 :- atom22, atom52.
atom62 > not atom62 :- not atom19, atom52.
not atom62 > atom62 :- atom19, atom52.
not atom58 > atom58 :- not atom22, atom52.
not atom58 > atom58 :- atom22, atom52.
atom60 > not atom60 :- not atom22, atom52.
not atom60 > atom60 :- atom22, atom52.
not atom43 > atom43 :- not atom19, atom52.
not atom43 > atom43 :- atom19, atom52.
not atom70 > atom70 :- not atom37, atom52.
not atom70 > atom70 :- atom37, atom52.
atom10 > not atom10 :- not atom31, atom52.
atom10 > not atom10 :- atom31, atom52.
not atom47 > atom47 :- not atom22, atom52.
atom47 > not atom47 :- atom22, atom52.
atom18 > not atom18 :- not atom10, atom52.
atom18 > not atom18 :- atom10, atom52.
not atom40 > atom40 :- not atom10, atom52.
atom40 > not atom40 :- atom10, atom52.
atom68 > not atom68 :- not atom18, atom52.
atom68 > not atom68 :- atom18, atom52.
atom59 > not atom59 :- not atom18, atom52.
atom59 > not atom59 :- atom18, atom52.
atom67 > not atom67 :- not atom18, atom52.
not atom67 > atom67 :- atom18, atom52.
not atom14 > atom14 :- not atom22, atom52.
atom14 > not atom14 :- atom22, atom52.
not atom26 > atom26 :- not atom10, atom52.
not atom26 > atom26 :- atom10, atom52.
atom15 > not atom15 :- not atom10, atom52.
not atom15 > atom15 :- atom10, atom52.
atom20 > not atom20 :- not atom10, atom52.
not atom20 > atom20 :- atom10, atom52.
not atom49 > atom49 :- not atom14, atom52.
not atom49 > atom49 :- atom14, atom52.
atom2 > not atom2 :- not atom19, atom52.
not atom2 > atom2 :- atom19, atom52.
not atom13 > atom13 :- not atom10, atom52.
not atom13 > atom13 :- atom10, atom52.
atom28 > not atom28 :- not atom15, atom52.
not atom28 > atom28 :- atom15, atom52.
not atom1 > atom1 :- not atom14, atom52.
atom1 > not atom1 :- atom14, atom52.
not atom12 > atom12 :- not atom10, atom52.
not atom12 > atom12 :- atom10, atom52.
atom23 > not atom23 :- not atom1, atom52.
not atom23 > atom23 :- atom1, atom52.
