not atom2 > atom2.
atom14 > not atom14 :- atom2.
not atom40 > atom40 :- not atom14, atom2.
atom40 > not atom40 :- atom14, atom2.
not atom64 > atom64 :- not atom40, atom2.
not atom64 > atom64 :- atom40, atom2.
atom44 > not atom44 :- atom2.
atom1 > not atom1 :- not atom64, atom2.
not atom1 > atom1 :- atom64, atom2.
atom5 > not atom5 :- not atom14, atom2.
not atom5 > atom5 :- atom14, atom2.
atom26 > not atom26 :- not atom1, atom2.
not atom26 > atom26 :- atom1, atom2.
not atom70 > atom70 :- not atom64, atom2.
not atom70 > atom70 :- atom64, atom2.
atom20 > not atom20 :- not atom1, atom2.
atom20 > not atom20 :- atom1, atom2.
not atom53 > atom53 :- not atom1, atom2.
not atom53 > atom53 :- atom1, atom2.
not atom45 > atom45 :- not atom20, atom2.
not atom45 > atom45 :- atom20, atom2.
not atom52 > atom52 :- not atom1, atom2.
not atom52 > atom52 :- atom1, atom2.
not atom68 > atom68 :- not atom5, atom2.
not atom68 > atom68 :- atom5, atom2.
atom58 > not atom58 :- not atom5, atom2.
not atom58 > atom58 :- atom5, atom2.
atom43 > not atom43 :- not atom5, atom2.
not atom43 > atom43 :- atom5, atom2.
not atom54 > atom54 :- not atom1, atom2.
atom54 > not atom54 :- atom1, atom2.
atom22 > not atom22 :- not atom5, atom2.
not atom22 > atom22 :- atom5, atom2.
atom7 > not atom7 :- not atom1, atom2.
atom7 > not atom7 :- atom1, atom2.
atom57 > not atom57 :- not atom5, atom2.
atom57 > not atom57 :- atom5, atom2.
not atom10 > atom10 :- not atom7, atom2.
not atom10 > atom10 :- atom7, atom2.
not atom56 > atom56 :- not atom1, atom2.
atom56 > not atom56 :- atom1, atom2.
atom55 > not atom55 :- not atom14, atom2.
not atom55 > atom55 :- atom14, atom2.
atom62 > not atom62 :- not atom1, atom2.
not atom62 > atom62 :- atom1, atom2.
not atom21 > atom21 :- not atom1, atom2.
atom21 > not atom21 :- atom1, atom2.
not atom27 > atom27 :- not atom1, atom2.
not atom27 > atom27 :- atom1, atom2.
atom50 > not atom50 :- not atom10, atom2.
atom50 > not atom50 :- atom10, atom2.
not atom39 > atom39 :- not atom1, atom2.
not atom39 > atom39 :- atom1, atom2.
atom29 > not atom29 :- not atom5, atom2.
atom29 > not atom29 :- atom5, atom2.
not atom49 > atom49 :- not atom5, atom2.
not atom49 > atom49 :- atom5, atom2.
not atom67 > atom67 :- not atom10, atom2.
not atom67 > atom67 :- atom10, atom2.
not atom36 > atom36 :- not atom1, atom2.
atom36 > not atom36 :- atom1, atom2.
not atom63 > atom63 :- not atom5, atom2.
not atom63 > atom63 :- atom5, atom2.
atom30 > not atom30 :- not atom5, atom2.
not atom30 > atom30 :- atom5, atom2.
atom31 > not atom31 :- not atom1, atom2.
atom31 > not atom31 :- atom1, atom2.
not atom37 > atom37 :- not atom1, atom2.
atom37 > not atom37 :- atom1, atom2.
not atom65 > atom65 :- not atom1, atom2.
atom65 > not atom65 :- atom1, atom2.
not atom42 > atom42 :- not atom1, atom2.
atom42 > not atom42 :- atom1, atom2.
atom35 > not atom35 :- not atom1, atom2.
not atom35 > atom35 :- atom1, atom2.
not atom38 > atom38 :- not atom5, atom2.
not atom38 > atom38 :- atom5, atom2.
not atom66 > atom66 :- not atom20, atom2.
not atom66 > atom66 :- atom20, atom2.
atom69 > not atom69 :- not atom5, atom2.
not atom69 > atom69 :- atom5, atom2.
atom46 > not atom46 :- not atom7, atom2.
not atom46 > atom46 :- atom7, atom2.
atom15 > not atom15 :- not atom1, atom2.
not atom15 > atom15 :- atom1, atom2.
atom41 > not atom41 :- not atom7, atom2.
not atom41 > atom41 :- atom7, atom2.
not atom19 > atom19 :- not atom1, atom2.
not atom19 > atom19 :- atom1, atom2.
not atom11 > atom11 :- not atom1, atom2.
atom11 > not atom11 :- atom1, atom2.
not atom33 > atom33 :- not atom1, atom2.
atom33 > not atom33 :- atom1, atom2.
not atom59 > atom59 :- not atom1, atom2.
not atom59 > atom59 :- atom1, atom2.
not atom18 > atom18 :- not atom1, atom2.
not atom18 > atom18 :- atom1, atom2.
not atom60 > atom60 :- not atom1, atom2.
atom60 > not atom60 :- atom1, atom2.
atom17 > not atom17 :- not atom11, atom2.
not atom17 > atom17 :- atom11, atom2.
atom61 > not atom61 :- not atom5, atom2.
atom61 > not atom61 :- atom5, atom2.
atom13 > not atom13 :- not atom1, atom2.
not atom13 > atom13 :- atom1, atom2.
not atom9 > atom9 :- not atom5, atom2.
not atom9 > atom9 :- atom5, atom2.
not atom51 > atom51 :- not atom5, atom2.
not atom51 > atom51 :- atom5, atom2.
atom6 > not atom6 :- not atom1, atom2.
not atom6 > atom6 :- atom1, atom2.
atom47 > not atom47 :- not atom5, atom2.
atom47 > not atom47 :- atom5, atom2.
not atom32 > atom32 :- not atom5, atom2.
not atom32 > atom32 :- atom5, atom2.
not atom28 > atom28 :- not atom1, atom2.
not atom28 > atom28 :- atom1, atom2.
not atom25 > atom25 :- not atom1, atom2.
