not atom64 > atom64.
atom36 > not atom36 :- not atom64.
atom36 > not atom36 :- atom64.
not atom40 > atom40 :- not atom64.
not atom40 > atom40 :- atom64.
atom54 > not atom54 :- not atom36.
not atom54 > atom54 :- atom36.
not atom16 > atom16 :- not atom64, atom54.
atom16 > not atom16 :- atom64, atom54.
atom23 > not atom23 :- not atom40, atom54.
not atom23 > atom23 :- atom40, atom54.
not atom19 > atom19 :- not atom16, atom54.
not atom19 > atom19 :- atom16, atom54.
atom8 > not atom8 :- not atom40, atom54.
not atom8 > atom8 :- atom40, atom54.
not atom3 > atom3 :- not atom8, atom54.
atom3 > not atom3 :- atom8, atom54.
atom38 > not atom38 :- not atom19, atom54.
atom38 > not atom38 :- atom19, atom54.
not atom20 > atom20 :- not atom3, atom54.
not atom20 > atom20 :- atom3, atom54.
atom34 > not atom34 :- not atom16, atom54.
not atom34 > atom34 :- atom16, atom54.
not atom6 > atom6 :- not atom3, atom54.
atom6 > not atom6 :- atom3, atom54.
atom26 > not atom26 :- not atom23, atom54.
not atom26 > atom26 :- atom23, atom54.
not atom15 > atom15 :- not atom3, atom54.
not atom15 > atom15 :- atom3, atom54.
atom50 > not atom50 :- not atom6, atom54.
not atom50 > atom50 :- atom6, atom54.
atom58 > not atom58 :- not atom15, atom54.
atom58 > not atom58 :- atom15, atom54.
not atom27 > atom27 :- not atom3, atom54.
atom27 > not atom27 :- atom3, atom54.
atom14 > not atom14 :- not atom3, atom54.
atom14 > not atom14 :- atom3, atom54.
not atom45 > atom45 :- not atom8, atom54.
atom45 > not atom45 :- atom8, atom54.
not atom49 > atom49 :- not atom3, atom54.
atom49 > not atom49 :- atom3, atom54.
atom29 > not atom29 :- not atom3, atom54.
atom29 > not atom29 :- atom3, atom54.
atom68 > not atom68 :- not atom8, atom54.
not atom68 > atom68 :- atom8, atom54.
atom48 > not atom48 :- not atom6, atom54.
not atom48 > atom48 :- atom6, atom54.
atom24 > not atom24 :- not atom3, atom54.
not atom24 > atom24 :- atom3, atom54.
atom56 > not atom56 :- not atom6, atom54.
not atom56 > atom56 :- atom6, atom54.
atom70 > not atom70 :- not atom6, atom54.
not atom70 > atom70 :- atom6, atom54.
atom57 > not atom57 :- not atom6, atom54.
atom57 > not atom57 :- atom6, atom54.
not atom9 > atom9 :- not atom3, atom54.
atom9 > not atom9 :- atom3, atom54.
not atom12 > atom12 :- not atom9, atom54.
not atom12 > atom12 :- atom9, atom54.
atom43 > not atom43 :- not atom8, atom54.
not atom43 > atom43 :- atom8, atom54.
atom60 > not atom60 :- not atom6, atom54.
atom60 > not atom60 :- atom6, atom54.
not atom46 > atom46 :- not atom3, atom54.
atom46 > not atom46 :- atom3, atom54.
atom59 > not atom59 :- not atom3, atom54.
atom59 > not atom59 :- atom3, atom54.
not atom53 > atom53 :- not atom3, atom54.
not atom53 > atom53 :- atom3, atom54.
not atom4 > atom4 :- not atom6, atom54.
atom4 > not atom4 :- atom6, atom54.
not atom21 > atom21 :- not atom3, atom54.
not atom21 > atom21 :- atom3, atom54.
atom11 > not atom11 :- not atom3, atom54.
