atom29 > not atom29.
not atom52 > atom52 :- not atom29.
not atom60 > atom60 :- not atom29.
atom15 > not atom15 :- not atom29.
not atom9 > atom9 :- not atom29.
not atom31 > atom31 :- not atom9, not atom29.
not atom31 > atom31 :- atom9, not atom29.
not atom33 > atom33 :- not atom9, not atom29.
atom33 > not atom33 :- atom9, not atom29.
not atom16 > atom16 :- not atom15, not atom29.
atom16 > not atom16 :- atom15, not atom29.
not atom8 > atom8 :- not atom15, not atom29.
atom8 > not atom8 :- atom15, not atom29.
not atom10 > atom10 :- not atom9, not atom29.
atom10 > not atom10 :- atom9, not atom29.
atom45 > not atom45 :- not atom9, not atom29.
not atom45 > atom45 :- atom9, not atom29.
atom39 > not atom39 :- not atom8, not atom29.
atom39 > not atom39 :- atom8, not atom29.
not atom5 > atom5 :- not atom8, not atom29.
not atom5 > atom5 :- atom8, not atom29.
not atom38 > atom38 :- not atom8, not atom29.
atom38 > not atom38 :- atom8, not atom29.
not atom27 > atom27 :- not atom15, not atom29.
atom27 > not atom27 :- atom15, not atom29.
not atom62 > atom62 :- not atom8, not atom29.
not atom62 > atom62 :- atom8, not atom29.
atom22 > not atom22 :- not atom5, not atom29.
not atom22 > atom22 :- atom5, not atom29.
atom25 > not atom25 :- not atom5, not atom29.
atom25 > not atom25 :- atom5, not atom29.
not atom23 > atom23 :- not atom9, not atom29.
atom23 > not atom23 :- atom9, not atom29.
not atom20 > atom20 :- not atom9, not atom29.
atom20 > not atom20 :- atom9, not atom29.
atom17 > not atom17 :- not atom5, not atom29.
atom17 > not atom17 :- atom5, not atom29.
atom56 > not atom56 :- not atom5, not atom29.
atom56 > not atom56 :- atom5, not atom29.
atom19 > not atom19 :- not atom5, not atom29.
not atom19 > atom19 :- atom5, not atom29.
not atom70 > atom70 :- not atom5, not atom29.
not atom70 > atom70 :- atom5, not atom29.
atom58 > not atom58 :- not atom5, not atom29.
atom58 > not atom58 :- atom5, not atom29.
atom26 > not atom26 :- not atom5, not atom29.
atom26 > not atom26 :- atom5, not atom29.
not atom41 > atom41 :- not atom10, not atom29.
atom41 > not atom41 :- atom10, not atom29.
not atom1 > atom1 :- not atom8, not atom29.
not atom1 > atom1 :- atom8, not atom29.
not atom37 > atom37 :- not atom8, not atom29.
atom37 > not atom37 :- atom8, not atom29.
atom40 > not atom40 :- not atom1, not atom29.
atom40 > not atom40 :- atom1, not atom29.
not atom36 > atom36 :- not atom1, not atom29.
not atom36 > atom36 :- atom1, not atom29.
atom14 > not atom14 :- not atom1, not atom29.
atom14 > not atom14 :- atom1, not atom29.
not atom34 > atom34 :- not atom1, not atom29.
atom34 > not atom34 :- atom1, not atom29.
atom42 > not atom42 :- not atom1, not atom29.
atom42 > not atom42 :- atom1, not atom29.
atom7 > not atom7 :- not atom1, not atom29.
not atom7 > atom7 :- atom1, not atom29.
atom48 > not atom48 :- not atom1, not atom29.
atom48 > not atom48 :- atom1, not atom29.
not atom51 > atom51 :- not atom1, not atom29.
atom51 > not atom51 :- atom1, not atom29.
atom49 > not atom49 :- not atom7, not atom29.
atom49 > not atom49 :- atom7, not atom29.
not atom35 > atom35 :- not atom7, not atom29.
atom35 > not atom35 :- atom7, not atom29.
