atom44 > not atom44.
not atom59 > atom59 :- atom44.
atom33 > not atom33 :- atom44.
atom15 > not atom15 :- not atom59, atom44.
atom15 > not atom15 :- atom59, atom44.
atom38 > not atom38 :- not atom59, atom44.
atom38 > not atom38 :- atom59, atom44.
atom21 > not atom21 :- not atom33, atom44.
not atom21 > atom21 :- atom33, atom44.
not atom68 > atom68 :- not atom15, atom44.
atom68 > not atom68 :- atom15, atom44.
not atom2 > atom2 :- not atom15, atom44.
atom2 > not atom2 :- atom15, atom44.
atom50 > not atom50 :- not atom15, atom44.
atom50 > not atom50 :- atom15, atom44.
atom51 > not atom51 :- not atom2, atom44.
not atom51 > atom51 :- atom2, atom44.
atom28 > not atom28 :- not atom2, atom44.
not atom28 > atom28 :- atom2, atom44.
atom25 > not atom25 :- not atom2, atom44.
not atom25 > atom25 :- atom2, atom44.
atom55 > not atom55 :- not atom2, atom44.
atom55 > not atom55 :- atom2, atom44.
not atom41 > atom41 :- not atom2, atom44.
not atom41 > atom41 :- atom2, atom44.
not atom39 > atom39 :- not atom2, atom44.
atom39 > not atom39 :- atom2, atom44.
not atom46 > atom46 :- not atom2, atom44.
atom46 > not atom46 :- atom2, atom44.
atom32 > not atom32 :- not atom2, atom44.
atom32 > not atom32 :- atom2, atom44.
atom37 > not atom37 :- not atom2, atom44.
not atom37 > atom37 :- atom2, atom44.
atom30 > not atom30 :- not atom2, atom44.
atom30 > not atom30 :- atom2, atom44.
not atom57 > atom57 :- not atom15, atom44.
atom57 > not atom57 :- atom15, atom44.
not atom26 > atom26 :- not atom33, atom44.
not atom26 > atom26 :- atom33, atom44.
atom5 > not atom5 :- not atom21, atom44.
atom5 > not atom5 :- atom21, atom44.
not atom19 > atom19 :- not atom2, atom44.
not atom19 > atom19 :- atom2, atom44.
atom56 > not atom56 :- not atom2, atom44.
not atom56 > atom56 :- atom2, atom44.
atom16 > not atom16 :- not atom2, atom44.
not atom16 > atom16 :- atom2, atom44.
not atom1 > atom1 :- not atom2, atom44.
atom1 > not atom1 :- atom2, atom44.
not atom13 > atom13 :- not atom1, atom44.
not atom13 > atom13 :- atom1, atom44.
not atom7 > atom7 :- not atom1, atom44.
atom7 > not atom7 :- atom1, atom44.
atom17 > not atom17 :- not atom13, atom44.
not atom17 > atom17 :- atom13, atom44.
atom20 > not atom20 :- not atom1, atom44.
not atom20 > atom20 :- atom1, atom44.
not atom31 > atom31 :- not atom13, atom44.
atom31 > not atom31 :- atom13, atom44.
not atom52 > atom52 :- not atom7, atom44.
atom52 > not atom52 :- atom7, atom44.
atom36 > not atom36 :- not atom2, atom44.
not atom36 > atom36 :- atom2, atom44.
not atom6 > atom6 :- not atom2, atom44.
not atom6 > atom6 :- atom2, atom44.
not atom49 > atom49 :- not atom2, atom44.
not atom49 > atom49 :- atom2, atom44.
not atom65 > atom65 :- not atom6, atom44.
not atom65 > atom65 :- atom6, atom44.
atom23 > not atom23 :- not atom1, atom44.
atom23 > not atom23 :- atom1, atom44.
not atom66 > atom66 :- not atom1, atom44.
not atom66 > atom66 :- atom1, atom44.
not atom45 > atom45 :- not atom5, atom44.
not atom45 > atom45 :- atom5, atom44.
atom42 > not atom42 :- not atom1, atom44.
atom42 > not atom42 :- atom1, atom44.
atom40 > not atom40 :- not atom2, atom44.
not atom40 > atom40 :- atom2, atom44.
atom14 > not atom14 :- not atom2, atom44.
atom14 > not atom14 :- atom2, atom44.
atom22 > not atom22 :- not atom1, atom44.
not atom22 > atom22 :- atom1, atom44.
not atom24 > atom24 :- not atom5, atom44.
atom24 > not atom24 :- atom5, atom44.
atom9 > not atom9 :- not atom1, atom44.
not atom9 > atom9 :- atom1, atom44.
atom12 > not atom12 :- not atom1, atom44.
not atom12 > atom12 :- atom1, atom44.
atom64 > not atom64 :- not atom2, atom44.
not atom64 > atom64 :- atom2, atom44.
atom11 > not atom11 :- not atom1, atom44.
not atom11 > atom11 :- atom1, atom44.
not atom3 > atom3 :- not atom5, atom44.
not atom3 > atom3 :- atom5, atom44.
not atom53 > atom53 :- not atom2, atom44.
atom53 > not atom53 :- atom2, atom44.
not atom61 > atom61 :- not atom1, atom44.
atom61 > not atom61 :- atom1, atom44.
not atom48 > atom48 :- not atom3, atom44.
atom48 > not atom48 :- atom3, atom44.
atom18 > not atom18 :- not atom1, atom44.
not atom18 > atom18 :- atom1, atom44.
not atom67 > atom67 :- not atom1, atom44.
atom67 > not atom67 :- atom1, atom44.
atom47 > not atom47 :- not atom1, atom44.
atom47 > not atom47 :- atom1, atom44.
not atom35 > atom35 :- not atom1, atom44.
not atom35 > atom35 :- atom1, atom44.
atom8 > not atom8 :- not atom1, atom44.
atom8 > not atom8 :- atom1, atom44.
atom63 > not atom63 :- not atom1, atom44.
atom63 > not atom63 :- atom1, atom44.
atom10 > not atom10 :- not atom2, atom44.
atom10 > not atom10 :- atom2, atom44.
not atom69 > atom69 :- not atom2, atom44.
not atom69 > atom69 :- atom2, atom44.
atom4 > not atom4 :- not atom2, atom44.
not atom4 > atom4 :- atom2, atom44.
not atom27 > atom27 :- not atom1, atom44.
atom27 > not atom27 :- atom1, atom44.
not atom54 > atom54 :- not atom1, atom44.
not atom54 > atom54 :- atom1, atom44.
atom62 > not atom62 :- not atom2, atom44.
not atom62 > atom62 :- atom2, atom44.
atom29 > not atom29 :- not atom1, atom44.
atom29 > not atom29 :- atom1, atom44.
atom60 > not atom60 :- not atom6, atom44.
not atom60 > atom60 :- atom6, atom44.
atom70 > not atom70 :- not atom1, atom44.
atom70 > not atom70 :- atom1, atom44.
atom34 > not atom34 :- not atom2, atom44.
not atom34 > atom34 :- atom2, atom44.
not atom58 > atom58 :- not atom1, atom44.
atom58 > not atom58 :- atom1, atom44.
atom43 > not atom43 :- not atom2, atom44.
atom43 > not atom43 :- atom2, atom44.
not atom47 > atom47 :- not atom44.
atom61 > not atom61 :- not atom44.
atom28 > not atom28 :- not atom47, not atom44.
not atom28 > atom28 :- atom47, not atom44.
not atom25 > atom25 :- not atom47, not atom44.
not atom25 > atom25 :- atom47, not atom44.
not atom55 > atom55 :- not atom25, not atom44.
not atom55 > atom55 :- atom25, not atom44.
not atom3 > atom3 :- not atom47, not atom44.
atom3 > not atom3 :- atom47, not atom44.
atom46 > not atom46 :- not atom3, not atom44.
atom46 > not atom46 :- atom3, not atom44.
not atom20 > atom20 :- not atom3, not atom44.
not atom20 > atom20 :- atom3, not atom44.
atom62 > not atom62 :- not atom55, not atom44.
atom62 > not atom62 :- atom55, not atom44.
atom53 > not atom53 :- not atom20, not atom44.
not atom53 > atom53 :- atom20, not atom44.
not atom16 > atom16 :- not atom3, not atom44.
atom16 > not atom16 :- atom3, not atom44.
atom24 > not atom24 :- not atom20, not atom44.
atom24 > not atom24 :- atom20, not atom44.
atom56 > not atom56 :- not atom3, not atom44.
not atom56 > atom56 :- atom3, not atom44.
atom11 > not atom11 :- not atom20, not atom44.
atom11 > not atom11 :- atom20, not atom44.
atom7 > not atom7 :- not atom3, not atom44.
atom7 > not atom7 :- atom3, not atom44.
atom17 > not atom17 :- not atom24, not atom44.
not atom17 > atom17 :- atom24, not atom44.
atom57 > not atom57 :- not atom7, not atom44.
atom57 > not atom57 :- atom7, not atom44.
atom30 > not atom30 :- not atom3, not atom44.
not atom30 > atom30 :- atom3, not atom44.
atom33 > not atom33 :- not atom3, not atom44.
not atom33 > atom33 :- atom3, not atom44.
