atom12 > not atom12.
atom48 > not atom48 :- atom12.
not atom32 > atom32 :- atom12.
atom28 > not atom28 :- not atom32, atom12.
atom28 > not atom28 :- atom32, atom12.
not atom19 > atom19 :- not atom28, atom12.
atom19 > not atom19 :- atom28, atom12.
atom40 > not atom40 :- not atom28, atom12.
atom40 > not atom40 :- atom28, atom12.
atom38 > not atom38 :- not atom19, atom12.
not atom38 > atom38 :- atom19, atom12.
not atom69 > atom69 :- not atom28, atom12.
atom69 > not atom69 :- atom28, atom12.
not atom39 > atom39 :- not atom19, atom12.
atom39 > not atom39 :- atom19, atom12.
atom49 > not atom49 :- not atom28, atom12.
atom49 > not atom49 :- atom28, atom12.
not atom46 > atom46 :- not atom28, atom12.
not atom46 > atom46 :- atom28, atom12.
atom43 > not atom43 :- not atom32, atom12.
not atom43 > atom43 :- atom32, atom12.
atom76 > not atom76 :- not atom28, atom12.
atom76 > not atom76 :- atom28, atom12.
atom1 > not atom1 :- not atom32, atom12.
not atom1 > atom1 :- atom32, atom12.
not atom27 > atom27 :- not atom1, atom12.
not atom27 > atom27 :- atom1, atom12.
atom35 > not atom35 :- not atom1, atom12.
not atom35 > atom35 :- atom1, atom12.
not atom25 > atom25 :- not atom19, atom12.
atom25 > not atom25 :- atom19, atom12.
atom4 > not atom4 :- not atom28, atom12.
atom4 > not atom4 :- atom28, atom12.
atom45 > not atom45 :- not atom1, atom12.
not atom45 > atom45 :- atom1, atom12.
atom34 > not atom34 :- not atom1, atom12.
atom34 > not atom34 :- atom1, atom12.
atom71 > not atom71 :- not atom1, atom12.
not atom71 > atom71 :- atom1, atom12.
not atom44 > atom44 :- not atom27, atom12.
not atom44 > atom44 :- atom27, atom12.
atom9 > not atom9 :- not atom4, atom12.
not atom9 > atom9 :- atom4, atom12.
not atom56 > atom56 :- not atom1, atom12.
atom56 > not atom56 :- atom1, atom12.
atom53 > not atom53 :- not atom1, atom12.
atom53 > not atom53 :- atom1, atom12.
not atom26 > atom26 :- not atom1, atom12.
