not atom32 > atom32.
atom78 > not atom78.
not atom53 > atom53 :- not atom32.
not atom53 > atom53 :- atom32.
not atom44 > atom44.
atom76 > not atom76 :- not atom53, atom44.
not atom76 > atom76 :- atom53, atom44.
atom26 > not atom26 :- not atom53, atom44.
not atom26 > atom26 :- atom53, atom44.
not atom52 > atom52 :- not atom53, atom44.
atom52 > not atom52 :- atom53, atom44.
not atom22 > atom22 :- not atom26, atom44.
atom22 > not atom22 :- atom26, atom44.
atom69 > not atom69 :- not atom22, atom44.
not atom69 > atom69 :- atom22, atom44.
not atom23 > atom23 :- not atom22, atom44.
not atom23 > atom23 :- atom22, atom44.
atom70 > not atom70 :- not atom23, atom44.
not atom70 > atom70 :- atom23, atom44.
not atom68 > atom68 :- not atom23, atom44.
not atom68 > atom68 :- atom23, atom44.
atom8 > not atom8 :- not atom23, atom44.
not atom8 > atom8 :- atom23, atom44.
atom61 > not atom61 :- not atom8, atom44.
not atom61 > atom61 :- atom8, atom44.
not atom31 > atom31 :- not atom22, atom44.
atom31 > not atom31 :- atom22, atom44.
atom55 > not atom55 :- not atom8, atom44.
not atom55 > atom55 :- atom8, atom44.
not atom12 > atom12 :- not atom31, atom44.
not atom12 > atom12 :- atom31, atom44.
not atom27 > atom27 :- not atom22, atom44.
not atom27 > atom27 :- atom22, atom44.
atom15 > not atom15 :- not atom8, atom44.
atom15 > not atom15 :- atom8, atom44.
not atom63 > atom63 :- not atom12, atom44.
atom63 > not atom63 :- atom12, atom44.
atom11 > not atom11 :- not atom12, atom44.
not atom11 > atom11 :- atom12, atom44.
not atom51 > atom51 :- not atom11, atom44.
not atom51 > atom51 :- atom11, atom44.
atom74 > not atom74 :- not atom11, atom44.
atom74 > not atom74 :- atom11, atom44.
atom2 > not atom2 :- not atom15, atom44.
atom2 > not atom2 :- atom15, atom44.
atom46 > not atom46 :- not atom12, atom44.
atom46 > not atom46 :- atom12, atom44.
atom80 > not atom80 :- not atom2, atom44.
atom80 > not atom80 :- atom2, atom44.
not atom64 > atom64 :- not atom2, atom44.
atom64 > not atom64 :- atom2, atom44.
not atom16 > atom16 :- not atom2, atom44.
atom16 > not atom16 :- atom2, atom44.
atom62 > not atom62 :- not atom2, atom44.
not atom62 > atom62 :- atom2, atom44.
not atom48 > atom48 :- not atom11, atom44.
not atom48 > atom48 :- atom11, atom44.
not atom71 > atom71 :- not atom2, atom44.
not atom71 > atom71 :- atom2, atom44.
atom39 > not atom39 :- not atom23, atom44.
atom39 > not atom39 :- atom23, atom44.
not atom59 > atom59 :- not atom8, atom44.
atom59 > not atom59 :- atom8, atom44.
not atom41 > atom41 :- not atom2, atom44.
atom41 > not atom41 :- atom2, atom44.
atom35 > not atom35 :- not atom2, atom44.
not atom35 > atom35 :- atom2, atom44.
not atom6 > atom6 :- not atom2, atom44.
not atom6 > atom6 :- atom2, atom44.
atom72 > not atom72 :- not atom6, atom44.
not atom72 > atom72 :- atom6, atom44.
not atom17 > atom17 :- not atom2, atom44.
atom17 > not atom17 :- atom2, atom44.
not atom73 > atom73 :- not atom2, atom44.
atom73 > not atom73 :- atom2, atom44.
atom45 > not atom45 :- not atom6, atom44.
not atom45 > atom45 :- atom6, atom44.
not atom34 > atom34 :- not atom12, atom44.
not atom34 > atom34 :- atom12, atom44.
not atom30 > atom30 :- not atom6, atom44.
not atom30 > atom30 :- atom6, atom44.
not atom4 > atom4 :- not atom6, atom44.
not atom4 > atom4 :- atom6, atom44.
not atom43 > atom43 :- not atom4, atom44.
not atom43 > atom43 :- atom4, atom44.
not atom79 > atom79 :- not atom8, atom44.
not atom79 > atom79 :- atom8, atom44.
atom37 > not atom37 :- not atom2, atom44.
not atom37 > atom37 :- atom2, atom44.
atom36 > not atom36 :- not atom4, atom44.
atom36 > not atom36 :- atom4, atom44.
atom54 > not atom54 :- not atom2, atom44.
not atom54 > atom54 :- atom2, atom44.
atom7 > not atom7 :- not atom2, atom44.
atom7 > not atom7 :- atom2, atom44.
not atom60 > atom60 :- not atom2, atom44.
atom60 > not atom60 :- atom2, atom44.
atom42 > not atom42 :- not atom6, atom44.
not atom42 > atom42 :- atom6, atom44.
not atom65 > atom65 :- not atom2, atom44.
not atom65 > atom65 :- atom2, atom44.
not atom9 > atom9 :- not atom2, atom44.
atom9 > not atom9 :- atom2, atom44.
not atom24 > atom24 :- not atom4, atom44.
not atom24 > atom24 :- atom4, atom44.
atom28 > not atom28 :- not atom2, atom44.
atom28 > not atom28 :- atom2, atom44.
not atom38 > atom38 :- not atom4, atom44.
atom38 > not atom38 :- atom4, atom44.
atom14 > not atom14 :- not atom6, atom44.
atom14 > not atom14 :- atom6, atom44.
atom67 > not atom67 :- not atom6, atom44.
atom67 > not atom67 :- atom6, atom44.
not atom5 > atom5 :- not atom6, atom44.
not atom5 > atom5 :- atom6, atom44.
atom20 > not atom20 :- not atom4, atom44.
atom20 > not atom20 :- atom4, atom44.
atom49 > not atom49 :- not atom2, atom44.
not atom49 > atom49 :- atom2, atom44.
atom19 > not atom19 :- not atom5, atom44.
atom19 > not atom19 :- atom5, atom44.
not atom40 > atom40 :- not atom4, atom44.
atom40 > not atom40 :- atom4, atom44.
not atom29 > atom29 :- not atom2, atom44.
not atom29 > atom29 :- atom2, atom44.
not atom10 > atom10 :- not atom7, atom44.
not atom10 > atom10 :- atom7, atom44.
not atom58 > atom58 :- not atom2, atom44.
not atom58 > atom58 :- atom2, atom44.
atom75 > not atom75 :- not atom4, atom44.
atom75 > not atom75 :- atom4, atom44.
atom25 > not atom25 :- not atom2, atom44.
atom25 > not atom25 :- atom2, atom44.
not atom33 > atom33 :- not atom5, atom44.
not atom33 > atom33 :- atom5, atom44.
not atom57 > atom57 :- not atom11, atom44.
not atom57 > atom57 :- atom11, atom44.
atom13 > not atom13 :- not atom4, atom44.
atom13 > not atom13 :- atom4, atom44.
atom3 > not atom3 :- not atom2, atom44.
not atom3 > atom3 :- atom2, atom44.
atom66 > not atom66 :- not atom8, atom44.
not atom66 > atom66 :- atom8, atom44.
not atom18 > atom18 :- not atom2, atom44.
atom18 > not atom18 :- atom2, atom44.
atom50 > not atom50 :- not atom2, atom44.
atom50 > not atom50 :- atom2, atom44.
not atom1 > atom1 :- not atom2, atom44.
not atom1 > atom1 :- atom2, atom44.
atom47 > not atom47 :- not atom1, atom44.
not atom47 > atom47 :- atom1, atom44.
not atom77 > atom77 :- not atom4, atom44.
not atom77 > atom77 :- atom4, atom44.
not atom56 > atom56 :- not atom2, atom44.
atom56 > not atom56 :- atom2, atom44.
not atom21 > atom21 :- not atom1, atom44.
atom21 > not atom21 :- atom1, atom44.
not atom60 > atom60 :- not atom32, not atom44.
atom60 > not atom60 :- atom32, not atom44.
atom2 > not atom2 :- not atom32, not atom44.
not atom2 > atom2 :- atom32, not atom44.
atom61 > not atom61 :- not atom2, not atom44.
not atom61 > atom61 :- atom2, not atom44.
not atom72 > atom72 :- not atom32, not atom44.
not atom72 > atom72 :- atom32, not atom44.
atom23 > not atom23 :- not atom61, not atom44.
not atom23 > atom23 :- atom61, not atom44.
atom49 > not atom49 :- not atom23, not atom44.
not atom49 > atom49 :- atom23, not atom44.
atom46 > not atom46 :- not atom2, not atom44.
not atom46 > atom46 :- atom2, not atom44.
atom28 > not atom28 :- not atom23, not atom44.
atom28 > not atom28 :- atom23, not atom44.
atom47 > not atom47 :- not atom2, not atom44.
not atom47 > atom47 :- atom2, not atom44.
not atom50 > atom50 :- not atom47, not atom44.
not atom50 > atom50 :- atom47, not atom44.
atom1 > not atom1 :- not atom2, not atom44.
atom1 > not atom1 :- atom2, not atom44.
not atom19 > atom19 :- not atom28, not atom44.
not atom19 > atom19 :- atom28, not atom44.
atom15 > not atom15 :- not atom1, not atom44.
atom15 > not atom15 :- atom1, not atom44.
atom33 > not atom33 :- not atom1, not atom44.
atom33 > not atom33 :- atom1, not atom44.
atom31 > not atom31 :- not atom1, not atom44.
atom31 > not atom31 :- atom1, not atom44.
not atom17 > atom17 :- not atom1, not atom44.
atom17 > not atom17 :- atom1, not atom44.
not atom14 > atom14 :- not atom15, not atom44.
atom14 > not atom14 :- atom15, not atom44.
atom11 > not atom11 :- not atom1, not atom44.
not atom11 > atom11 :- atom1, not atom44.
atom7 > not atom7 :- not atom1, not atom44.
atom7 > not atom7 :- atom1, not atom44.
atom29 > not atom29 :- not atom2, not atom44.
atom29 > not atom29 :- atom2, not atom44.
atom80 > not atom80 :- not atom1, not atom44.
atom80 > not atom80 :- atom1, not atom44.
atom73 > not atom73 :- not atom2, not atom44.
not atom73 > atom73 :- atom2, not atom44.
atom25 > not atom25 :- not atom2, not atom44.
not atom25 > atom25 :- atom2, not atom44.
not atom48 > atom48 :- not atom11, not atom44.
atom48 > not atom48 :- atom11, not atom44.
atom71 > not atom71 :- not atom1, not atom44.
not atom71 > atom71 :- atom1, not atom44.
not atom30 > atom30 :- not atom1, not atom44.
atom30 > not atom30 :- atom1, not atom44.
not atom66 > atom66 :- not atom11, not atom44.
not atom66 > atom66 :- atom11, not atom44.
not atom16 > atom16 :- not atom1, not atom44.
not atom16 > atom16 :- atom1, not atom44.
atom8 > not atom8 :- not atom2, not atom44.
