atom55 > not atom55.
atom44 > not atom44 :- atom55.
not atom23 > atom23 :- atom55.
not atom58 > atom58 :- not atom23, atom55.
not atom58 > atom58 :- atom23, atom55.
not atom51 > atom51 :- atom55.
atom1 > not atom1 :- not atom23, atom55.
atom1 > not atom1 :- atom23, atom55.
not atom41 > atom41 :- not atom1, atom55.
not atom41 > atom41 :- atom1, atom55.
not atom64 > atom64 :- not atom1, atom55.
not atom64 > atom64 :- atom1, atom55.
atom63 > not atom63 :- not atom41, atom55.
atom63 > not atom63 :- atom41, atom55.
atom76 > not atom76 :- not atom1, atom55.
atom76 > not atom76 :- atom1, atom55.
not atom32 > atom32 :- not atom1, atom55.
not atom32 > atom32 :- atom1, atom55.
not atom35 > atom35 :- not atom32, atom55.
atom35 > not atom35 :- atom32, atom55.
atom4 > not atom4 :- not atom32, atom55.
not atom4 > atom4 :- atom32, atom55.
atom71 > not atom71 :- not atom23, atom55.
atom71 > not atom71 :- atom23, atom55.
not atom48 > atom48 :- not atom1, atom55.
atom48 > not atom48 :- atom1, atom55.
not atom68 > atom68 :- not atom1, atom55.
atom68 > not atom68 :- atom1, atom55.
not atom52 > atom52 :- not atom1, atom55.
atom52 > not atom52 :- atom1, atom55.
not atom19 > atom19 :- not atom4, atom55.
not atom19 > atom19 :- atom4, atom55.
not atom30 > atom30 :- not atom19, atom55.
not atom30 > atom30 :- atom19, atom55.
atom37 > not atom37 :- not atom1, atom55.
not atom37 > atom37 :- atom1, atom55.
not atom31 > atom31 :- not atom4, atom55.
atom31 > not atom31 :- atom4, atom55.
atom75 > not atom75 :- not atom1, atom55.
atom75 > not atom75 :- atom1, atom55.
atom9 > not atom9 :- not atom1, atom55.
not atom9 > atom9 :- atom1, atom55.
atom57 > not atom57 :- not atom4, atom55.
not atom57 > atom57 :- atom4, atom55.
atom53 > not atom53 :- not atom1, atom55.
atom53 > not atom53 :- atom1, atom55.
atom47 > not atom47 :- not atom1, atom55.
atom47 > not atom47 :- atom1, atom55.
not atom46 > atom46 :- not atom4, atom55.
atom46 > not atom46 :- atom4, atom55.
not atom28 > atom28 :- not atom1, atom55.
atom28 > not atom28 :- atom1, atom55.
not atom42 > atom42 :- not atom28, atom55.
atom42 > not atom42 :- atom28, atom55.
not atom70 > atom70 :- not atom4, atom55.
atom70 > not atom70 :- atom4, atom55.
not atom74 > atom74 :- not atom28, atom55.
not atom74 > atom74 :- atom28, atom55.
not atom33 > atom33 :- not atom1, atom55.
atom33 > not atom33 :- atom1, atom55.
not atom29 > atom29 :- not atom1, atom55.
not atom29 > atom29 :- atom1, atom55.
not atom59 > atom59 :- not atom1, atom55.
not atom59 > atom59 :- atom1, atom55.
atom8 > not atom8 :- not atom9, atom55.
atom8 > not atom8 :- atom9, atom55.
atom62 > not atom62 :- not atom4, atom55.
not atom62 > atom62 :- atom4, atom55.
not atom54 > atom54 :- not atom9, atom55.
atom54 > not atom54 :- atom9, atom55.
atom15 > not atom15 :- not atom19, atom55.
not atom15 > atom15 :- atom19, atom55.
atom5 > not atom5 :- not atom1, atom55.
not atom5 > atom5 :- atom1, atom55.
