not atom46 > atom46.
not atom8 > atom8.
atom4 > not atom4 :- atom8.
not atom41 > atom41 :- not atom46, atom8.
not atom41 > atom41 :- atom46, atom8.
not atom27 > atom27 :- not atom4, atom8.
atom27 > not atom27 :- atom4, atom8.
not atom52 > atom52 :- not atom27, atom8.
not atom52 > atom52 :- atom27, atom8.
not atom45 > atom45 :- not atom4, atom8.
not atom45 > atom45 :- atom4, atom8.
not atom25 > atom25 :- not atom27, atom8.
atom25 > not atom25 :- atom27, atom8.
atom13 > not atom13 :- not atom4, atom8.
not atom13 > atom13 :- atom4, atom8.
not atom58 > atom58 :- not atom13, atom8.
not atom58 > atom58 :- atom13, atom8.
atom12 > not atom12 :- not atom4, atom8.
atom12 > not atom12 :- atom4, atom8.
atom73 > not atom73 :- not atom4, atom8.
not atom73 > atom73 :- atom4, atom8.
atom15 > not atom15 :- not atom25, atom8.
atom15 > not atom15 :- atom25, atom8.
atom10 > not atom10 :- not atom12, atom8.
not atom10 > atom10 :- atom12, atom8.
not atom18 > atom18 :- not atom13, atom8.
atom18 > not atom18 :- atom13, atom8.
atom69 > not atom69 :- not atom10, atom8.
not atom69 > atom69 :- atom10, atom8.
not atom71 > atom71 :- not atom4, atom8.
atom71 > not atom71 :- atom4, atom8.
atom28 > not atom28 :- not atom4, atom8.
not atom28 > atom28 :- atom4, atom8.
not atom42 > atom42 :- not atom10, atom8.
not atom42 > atom42 :- atom10, atom8.
not atom55 > atom55 :- not atom4, atom8.
atom55 > not atom55 :- atom4, atom8.
atom65 > not atom65 :- not atom10, atom8.
not atom65 > atom65 :- atom10, atom8.
not atom6 > atom6 :- not atom4, atom8.
not atom6 > atom6 :- atom4, atom8.
not atom80 > atom80 :- not atom4, atom8.
not atom80 > atom80 :- atom4, atom8.
not atom66 > atom66 :- not atom4, atom8.
not atom66 > atom66 :- atom4, atom8.
atom76 > not atom76 :- not atom12, atom8.
atom76 > not atom76 :- atom12, atom8.
not atom79 > atom79 :- not atom4, atom8.
atom79 > not atom79 :- atom4, atom8.
atom2 > not atom2 :- not atom4, atom8.
atom2 > not atom2 :- atom4, atom8.
not atom30 > atom30 :- not atom4, atom8.
atom30 > not atom30 :- atom4, atom8.
not atom33 > atom33 :- not atom2, atom8.
not atom33 > atom33 :- atom2, atom8.
atom11 > not atom11 :- not atom4, atom8.
not atom11 > atom11 :- atom4, atom8.
not atom19 > atom19 :- not atom4, atom8.
