not atom46 > atom46.
not atom67 > atom67 :- atom46.
atom3 > not atom3 :- atom46.
not atom39 > atom39 :- not atom3, atom46.
not atom39 > atom39 :- atom3, atom46.
not atom37 > atom37 :- not atom3, atom46.
not atom37 > atom37 :- atom3, atom46.
atom31 > not atom31 :- atom46.
atom77 > not atom77 :- not atom3, atom46.
atom77 > not atom77 :- atom3, atom46.
not atom2 > atom2 :- not atom3, atom46.
not atom2 > atom2 :- atom3, atom46.
not atom17 > atom17 :- not atom2, atom46.
atom17 > not atom17 :- atom2, atom46.
atom23 > not atom23 :- not atom2, atom46.
not atom23 > atom23 :- atom2, atom46.
not atom57 > atom57 :- not atom3, atom46.
not atom57 > atom57 :- atom3, atom46.
not atom13 > atom13 :- not atom2, atom46.
not atom13 > atom13 :- atom2, atom46.
atom63 > not atom63 :- not atom2, atom46.
not atom63 > atom63 :- atom2, atom46.
not atom60 > atom60 :- not atom2, atom46.
not atom60 > atom60 :- atom2, atom46.
not atom70 > atom70 :- not atom2, atom46.
atom70 > not atom70 :- atom2, atom46.
atom42 > not atom42 :- not atom2, atom46.
not atom42 > atom42 :- atom2, atom46.
not atom5 > atom5 :- not atom3, atom46.
atom5 > not atom5 :- atom3, atom46.
atom52 > not atom52 :- not atom5, atom46.
not atom52 > atom52 :- atom5, atom46.
not atom76 > atom76 :- not atom13, atom46.
not atom76 > atom76 :- atom13, atom46.
not atom33 > atom33 :- not atom2, atom46.
not atom33 > atom33 :- atom2, atom46.
not atom22 > atom22 :- not atom2, atom46.
not atom22 > atom22 :- atom2, atom46.
atom40 > not atom40 :- not atom5, atom46.
not atom40 > atom40 :- atom5, atom46.
not atom55 > atom55 :- not atom5, atom46.
not atom55 > atom55 :- atom5, atom46.
atom28 > not atom28 :- not atom2, atom46.
not atom28 > atom28 :- atom2, atom46.
not atom61 > atom61 :- not atom22, atom46.
atom61 > not atom61 :- atom22, atom46.
not atom20 > atom20 :- not atom17, atom46.
not atom20 > atom20 :- atom17, atom46.
not atom45 > atom45 :- not atom13, atom46.
not atom45 > atom45 :- atom13, atom46.
not atom30 > atom30 :- not atom2, atom46.
atom30 > not atom30 :- atom2, atom46.
atom35 > not atom35 :- not atom2, atom46.
not atom35 > atom35 :- atom2, atom46.
not atom32 > atom32 :- not atom5, atom46.
not atom32 > atom32 :- atom5, atom46.
atom29 > not atom29 :- not atom3, atom46.
atom29 > not atom29 :- atom3, atom46.
atom12 > not atom12 :- not atom2, atom46.
atom12 > not atom12 :- atom2, atom46.
not atom18 > atom18 :- not atom2, atom46.
atom18 > not atom18 :- atom2, atom46.
atom11 > not atom11 :- not atom3, atom46.
atom11 > not atom11 :- atom3, atom46.
atom8 > not atom8 :- not atom12, atom46.
not atom8 > atom8 :- atom12, atom46.
atom69 > not atom69 :- not atom3, atom46.
atom69 > not atom69 :- atom3, atom46.
atom47 > not atom47 :- not atom2, atom46.
not atom47 > atom47 :- atom2, atom46.
not atom51 > atom51 :- not atom2, atom46.
not atom51 > atom51 :- atom2, atom46.
not atom80 > atom80 :- not atom3, atom46.
atom80 > not atom80 :- atom3, atom46.
not atom25 > atom25 :- not atom2, atom46.
atom25 > not atom25 :- atom2, atom46.
not atom19 > atom19 :- not atom3, atom46.
not atom19 > atom19 :- atom3, atom46.
atom71 > not atom71 :- not atom2, atom46.
not atom71 > atom71 :- atom2, atom46.
atom66 > not atom66 :- not atom2, atom46.
atom66 > not atom66 :- atom2, atom46.
not atom50 > atom50 :- not atom2, atom46.
not atom50 > atom50 :- atom2, atom46.
atom36 > not atom36 :- not atom3, atom46.
not atom36 > atom36 :- atom3, atom46.
not atom4 > atom4 :- not atom2, atom46.
atom4 > not atom4 :- atom2, atom46.
atom10 > not atom10 :- not atom11, atom46.
not atom10 > atom10 :- atom11, atom46.
atom65 > not atom65 :- not atom2, atom46.
not atom65 > atom65 :- atom2, atom46.
not atom54 > atom54 :- not atom8, atom46.
atom54 > not atom54 :- atom8, atom46.
atom78 > not atom78 :- not atom2, atom46.
atom78 > not atom78 :- atom2, atom46.
not atom38 > atom38 :- not atom4, atom46.
not atom38 > atom38 :- atom4, atom46.
not atom16 > atom16 :- not atom8, atom46.
atom16 > not atom16 :- atom8, atom46.
not atom34 > atom34 :- not atom3, atom46.
not atom34 > atom34 :- atom3, atom46.
not atom24 > atom24 :- not atom3, atom46.
atom24 > not atom24 :- atom3, atom46.
not atom64 > atom64 :- not atom4, atom46.
not atom64 > atom64 :- atom4, atom46.
