atom44 > not atom44.
atom33 > not atom33.
atom66 > not atom66 :- not atom33.
not atom66 > atom66 :- atom33.
not atom18 > atom18 :- not atom44.
not atom18 > atom18 :- atom44.
not atom43 > atom43 :- not atom33, atom18.
atom43 > not atom43 :- atom33, atom18.
not atom75 > atom75 :- not atom66, atom18.
atom75 > not atom75 :- atom66, atom18.
not atom62 > atom62 :- not atom33, atom18.
not atom62 > atom62 :- atom33, atom18.
not atom28 > atom28 :- not atom33, atom18.
atom28 > not atom28 :- atom33, atom18.
atom40 > not atom40 :- not atom28, atom18.
not atom40 > atom40 :- atom28, atom18.
atom16 > not atom16 :- not atom28, atom18.
atom16 > not atom16 :- atom28, atom18.
atom10 > not atom10 :- not atom16, atom18.
atom10 > not atom10 :- atom16, atom18.
not atom73 > atom73 :- not atom10, atom18.
not atom73 > atom73 :- atom10, atom18.
not atom63 > atom63 :- not atom40, atom18.
atom63 > not atom63 :- atom40, atom18.
atom70 > not atom70 :- not atom16, atom18.
atom70 > not atom70 :- atom16, atom18.
not atom50 > atom50 :- not atom16, atom18.
not atom50 > atom50 :- atom16, atom18.
atom53 > not atom53 :- not atom10, atom18.
not atom53 > atom53 :- atom10, atom18.
not atom60 > atom60 :- not atom33, atom18.
not atom60 > atom60 :- atom33, atom18.
atom29 > not atom29 :- not atom33, atom18.
not atom29 > atom29 :- atom33, atom18.
not atom78 > atom78 :- not atom29, atom18.
atom78 > not atom78 :- atom29, atom18.
not atom51 > atom51 :- not atom10, atom18.
atom51 > not atom51 :- atom10, atom18.
not atom77 > atom77 :- not atom10, atom18.
atom77 > not atom77 :- atom10, atom18.
not atom41 > atom41 :- not atom29, atom18.
not atom41 > atom41 :- atom29, atom18.
atom47 > not atom47 :- not atom10, atom18.
atom47 > not atom47 :- atom10, atom18.
not atom1 > atom1 :- not atom10, atom18.
atom1 > not atom1 :- atom10, atom18.
atom9 > not atom9 :- not atom10, atom18.
not atom9 > atom9 :- atom10, atom18.
not atom55 > atom55 :- not atom1, atom18.
not atom55 > atom55 :- atom1, atom18.
not atom42 > atom42 :- not atom10, atom18.
