atom62 > not atom62.
atom49 > not atom49 :- not atom62.
not atom52 > atom52 :- not atom62.
atom35 > not atom35 :- not atom49, not atom62.
not atom35 > atom35 :- atom49, not atom62.
not atom71 > atom71 :- not atom35, not atom62.
atom71 > not atom71 :- atom35, not atom62.
atom60 > not atom60 :- not atom35, not atom62.
not atom60 > atom60 :- atom35, not atom62.
not atom7 > atom7 :- not atom49, not atom62.
not atom7 > atom7 :- atom49, not atom62.
not atom5 > atom5 :- not atom52, not atom62.
atom5 > not atom5 :- atom52, not atom62.
atom21 > not atom21 :- not atom35, not atom62.
not atom21 > atom21 :- atom35, not atom62.
atom38 > not atom38 :- not atom5, not atom62.
not atom38 > atom38 :- atom5, not atom62.
not atom39 > atom39 :- not atom21, not atom62.
not atom39 > atom39 :- atom21, not atom62.
not atom44 > atom44 :- not atom5, not atom62.
atom44 > not atom44 :- atom5, not atom62.
atom37 > not atom37 :- not atom5, not atom62.
atom37 > not atom37 :- atom5, not atom62.
not atom72 > atom72 :- not atom5, not atom62.
not atom72 > atom72 :- atom5, not atom62.
not atom23 > atom23 :- not atom5, not atom62.
not atom23 > atom23 :- atom5, not atom62.
not atom11 > atom11 :- not atom7, not atom62.
atom11 > not atom11 :- atom7, not atom62.
atom53 > not atom53 :- not atom7, not atom62.
atom53 > not atom53 :- atom7, not atom62.
atom46 > not atom46 :- not atom5, not atom62.
not atom46 > atom46 :- atom5, not atom62.
atom48 > not atom48 :- not atom5, not atom62.
atom48 > not atom48 :- atom5, not atom62.
atom4 > not atom4 :- not atom5, not atom62.
not atom4 > atom4 :- atom5, not atom62.
atom19 > not atom19 :- not atom5, not atom62.
atom19 > not atom19 :- atom5, not atom62.
not atom36 > atom36 :- not atom7, not atom62.
not atom36 > atom36 :- atom7, not atom62.
atom50 > not atom50 :- not atom7, not atom62.
atom50 > not atom50 :- atom7, not atom62.
atom16 > not atom16 :- not atom4, not atom62.
not atom16 > atom16 :- atom4, not atom62.
atom64 > not atom64 :- not atom16, not atom62.
not atom64 > atom64 :- atom16, not atom62.
not atom33 > atom33 :- not atom19, not atom62.
atom33 > not atom33 :- atom19, not atom62.
atom43 > not atom43 :- not atom4, not atom62.
atom43 > not atom43 :- atom4, not atom62.
atom45 > not atom45 :- not atom4, not atom62.
atom45 > not atom45 :- atom4, not atom62.
not atom70 > atom70 :- not atom4, not atom62.
not atom70 > atom70 :- atom4, not atom62.
atom51 > not atom51 :- not atom7, not atom62.
atom51 > not atom51 :- atom7, not atom62.
atom9 > not atom9 :- not atom4, not atom62.
atom9 > not atom9 :- atom4, not atom62.
not atom57 > atom57 :- not atom4, not atom62.
atom57 > not atom57 :- atom4, not atom62.
not atom18 > atom18 :- not atom5, not atom62.
not atom18 > atom18 :- atom5, not atom62.
atom54 > not atom54 :- not atom4, not atom62.
atom54 > not atom54 :- atom4, not atom62.
not atom20 > atom20 :- not atom4, not atom62.
not atom20 > atom20 :- atom4, not atom62.
not atom1 > atom1 :- not atom4, not atom62.
not atom1 > atom1 :- atom4, not atom62.
not atom61 > atom61 :- not atom1, not atom62.
not atom61 > atom61 :- atom1, not atom62.
not atom30 > atom30 :- not atom4, not atom62.
atom30 > not atom30 :- atom4, not atom62.
atom67 > not atom67 :- not atom5, not atom62.
not atom67 > atom67 :- atom5, not atom62.
not atom13 > atom13 :- not atom1, not atom62.
not atom13 > atom13 :- atom1, not atom62.
atom75 > not atom75 :- not atom4, not atom62.
