atom27 > not atom27.
atom55 > not atom55.
atom41 > not atom41 :- not atom27.
not atom41 > atom41 :- atom27.
atom32 > not atom32 :- not atom41.
not atom69 > atom69 :- not atom32, not atom41.
not atom69 > atom69 :- atom32, not atom41.
atom30 > not atom30 :- not atom55, not atom41.
atom30 > not atom30 :- atom55, not atom41.
atom7 > not atom7 :- not atom27, not atom41.
atom7 > not atom7 :- atom27, not atom41.
atom40 > not atom40 :- not atom7, not atom41.
not atom40 > atom40 :- atom7, not atom41.
atom13 > not atom13 :- not atom27, not atom41.
not atom13 > atom13 :- atom27, not atom41.
atom25 > not atom25 :- not atom7, not atom41.
not atom25 > atom25 :- atom7, not atom41.
not atom60 > atom60 :- not atom25, not atom41.
not atom60 > atom60 :- atom25, not atom41.
atom65 > not atom65 :- not atom13, not atom41.
atom65 > not atom65 :- atom13, not atom41.
not atom34 > atom34 :- not atom27, not atom41.
atom34 > not atom34 :- atom27, not atom41.
not atom73 > atom73 :- not atom27, not atom41.
not atom73 > atom73 :- atom27, not atom41.
not atom79 > atom79 :- not atom7, not atom41.
not atom79 > atom79 :- atom7, not atom41.
atom75 > not atom75 :- not atom25, not atom41.
not atom75 > atom75 :- atom25, not atom41.
not atom14 > atom14 :- not atom7, not atom41.
not atom14 > atom14 :- atom7, not atom41.
not atom78 > atom78 :- not atom13, not atom41.
atom78 > not atom78 :- atom13, not atom41.
not atom70 > atom70 :- not atom7, not atom41.
atom70 > not atom70 :- atom7, not atom41.
atom50 > not atom50 :- not atom7, not atom41.
not atom50 > atom50 :- atom7, not atom41.
not atom63 > atom63 :- not atom14, not atom41.
not atom63 > atom63 :- atom14, not atom41.
not atom71 > atom71 :- not atom13, not atom41.
atom71 > not atom71 :- atom13, not atom41.
atom31 > not atom31 :- not atom13, not atom41.
atom31 > not atom31 :- atom13, not atom41.
atom44 > not atom44 :- not atom7, not atom41.
not atom44 > atom44 :- atom7, not atom41.
not atom68 > atom68 :- not atom13, not atom41.
atom68 > not atom68 :- atom13, not atom41.
atom23 > not atom23 :- not atom7, not atom41.
not atom23 > atom23 :- atom7, not atom41.
not atom80 > atom80 :- not atom14, not atom41.
not atom80 > atom80 :- atom14, not atom41.
not atom16 > atom16 :- not atom7, not atom41.
not atom16 > atom16 :- atom7, not atom41.
atom4 > not atom4 :- not atom7, not atom41.
atom4 > not atom4 :- atom7, not atom41.
not atom47 > atom47 :- not atom4, not atom41.
not atom47 > atom47 :- atom4, not atom41.
atom9 > not atom9 :- not atom7, not atom41.
atom9 > not atom9 :- atom7, not atom41.
not atom76 > atom76 :- not atom4, not atom41.
not atom76 > atom76 :- atom4, not atom41.
not atom2 > atom2 :- not atom4, not atom41.
atom2 > not atom2 :- atom4, not atom41.
not atom5 > atom5 :- not atom4, not atom41.
atom5 > not atom5 :- atom4, not atom41.
not atom15 > atom15 :- not atom4, not atom41.
not atom15 > atom15 :- atom4, not atom41.
atom1 > not atom1 :- not atom2, not atom41.
atom1 > not atom1 :- atom2, not atom41.
atom11 > not atom11 :- not atom4, not atom41.
not atom11 > atom11 :- atom4, not atom41.
not atom49 > atom49 :- not atom4, not atom41.
atom49 > not atom49 :- atom4, not atom41.
not atom74 > atom74 :- not atom2, not atom41.
atom74 > not atom74 :- atom2, not atom41.
not atom28 > atom28 :- not atom2, not atom41.
not atom28 > atom28 :- atom2, not atom41.
atom67 > not atom67 :- not atom1, not atom41.
not atom67 > atom67 :- atom1, not atom41.
atom77 > not atom77 :- not atom1, not atom41.
not atom77 > atom77 :- atom1, not atom41.
not atom24 > atom24 :- not atom4, not atom41.
not atom24 > atom24 :- atom4, not atom41.
atom33 > not atom33 :- not atom7, not atom41.
atom33 > not atom33 :- atom7, not atom41.
not atom37 > atom37 :- not atom2, not atom41.
not atom37 > atom37 :- atom2, not atom41.
atom3 > not atom3 :- not atom1, not atom41.
not atom3 > atom3 :- atom1, not atom41.
atom66 > not atom66 :- not atom2, not atom41.
atom66 > not atom66 :- atom2, not atom41.
not atom57 > atom57 :- not atom1, not atom41.
atom57 > not atom57 :- atom1, not atom41.
not atom58 > atom58 :- not atom2, not atom41.
not atom58 > atom58 :- atom2, not atom41.
