atom41 > not atom41.
atom12 > not atom12 :- not atom41.
atom35 > not atom35 :- not atom12, not atom41.
atom35 > not atom35 :- atom12, not atom41.
not atom78 > atom78 :- not atom12, not atom41.
atom78 > not atom78 :- atom12, not atom41.
not atom23 > atom23 :- not atom35, not atom41.
not atom23 > atom23 :- atom35, not atom41.
atom11 > not atom11 :- not atom12, not atom41.
atom11 > not atom11 :- atom12, not atom41.
not atom8 > atom8 :- not atom78, not atom41.
atom8 > not atom8 :- atom78, not atom41.
not atom57 > atom57 :- not atom12, not atom41.
not atom57 > atom57 :- atom12, not atom41.
not atom32 > atom32 :- not atom8, not atom41.
atom32 > not atom32 :- atom8, not atom41.
not atom52 > atom52 :- not atom12, not atom41.
atom52 > not atom52 :- atom12, not atom41.
atom30 > not atom30 :- not atom12, not atom41.
not atom30 > atom30 :- atom12, not atom41.
not atom61 > atom61 :- not atom11, not atom41.
atom61 > not atom61 :- atom11, not atom41.
atom43 > not atom43 :- not atom12, not atom41.
atom43 > not atom43 :- atom12, not atom41.
atom13 > not atom13 :- not atom8, not atom41.
atom13 > not atom13 :- atom8, not atom41.
not atom66 > atom66 :- not atom12, not atom41.
not atom66 > atom66 :- atom12, not atom41.
not atom24 > atom24 :- not atom12, not atom41.
atom24 > not atom24 :- atom12, not atom41.
not atom58 > atom58 :- not atom11, not atom41.
not atom58 > atom58 :- atom11, not atom41.
not atom15 > atom15 :- not atom24, not atom41.
not atom15 > atom15 :- atom24, not atom41.
not atom29 > atom29 :- not atom13, not atom41.
atom29 > not atom29 :- atom13, not atom41.
not atom74 > atom74 :- not atom8, not atom41.
atom74 > not atom74 :- atom8, not atom41.
not atom65 > atom65 :- not atom11, not atom41.
not atom65 > atom65 :- atom11, not atom41.
atom50 > not atom50 :- not atom12, not atom41.
atom50 > not atom50 :- atom12, not atom41.
not atom26 > atom26 :- not atom8, not atom41.
atom26 > not atom26 :- atom8, not atom41.
atom22 > not atom22 :- not atom12, not atom41.
