not atom34 > atom34.
not atom39 > atom39 :- not atom34.
atom39 > not atom39 :- atom34.
not atom58 > atom58 :- atom39.
not atom24 > atom24 :- not atom58, atom39.
atom24 > not atom24 :- atom58, atom39.
atom69 > not atom69 :- not atom24, atom39.
not atom69 > atom69 :- atom24, atom39.
atom32 > not atom32 :- not atom34, atom39.
not atom32 > atom32 :- atom34, atom39.
not atom21 > atom21 :- not atom58, atom39.
atom21 > not atom21 :- atom58, atom39.
not atom60 > atom60 :- not atom21, atom39.
atom60 > not atom60 :- atom21, atom39.
not atom6 > atom6 :- not atom21, atom39.
atom6 > not atom6 :- atom21, atom39.
atom8 > not atom8 :- not atom21, atom39.
atom8 > not atom8 :- atom21, atom39.
atom9 > not atom9 :- not atom6, atom39.
not atom9 > atom9 :- atom6, atom39.
not atom13 > atom13 :- not atom6, atom39.
atom13 > not atom13 :- atom6, atom39.
atom48 > not atom48 :- not atom13, atom39.
not atom48 > atom48 :- atom13, atom39.
atom23 > not atom23 :- not atom8, atom39.
not atom23 > atom23 :- atom8, atom39.
atom68 > not atom68 :- not atom9, atom39.
atom68 > not atom68 :- atom9, atom39.
not atom56 > atom56 :- not atom8, atom39.
not atom56 > atom56 :- atom8, atom39.
not atom40 > atom40 :- not atom8, atom39.
atom40 > not atom40 :- atom8, atom39.
not atom42 > atom42 :- not atom8, atom39.
atom42 > not atom42 :- atom8, atom39.
atom1 > not atom1 :- not atom6, atom39.
not atom1 > atom1 :- atom6, atom39.
atom18 > not atom18 :- not atom1, atom39.
atom18 > not atom18 :- atom1, atom39.
not atom2 > atom2 :- not atom1, atom39.
atom2 > not atom2 :- atom1, atom39.
atom36 > not atom36 :- not atom1, atom39.
not atom36 > atom36 :- atom1, atom39.
not atom52 > atom52 :- not atom2, atom39.
atom52 > not atom52 :- atom2, atom39.
atom75 > not atom75 :- not atom1, atom39.
not atom75 > atom75 :- atom1, atom39.
atom33 > not atom33 :- not atom2, atom39.
not atom33 > atom33 :- atom2, atom39.
not atom35 > atom35 :- not atom1, atom39.
atom35 > not atom35 :- atom1, atom39.
not atom64 > atom64 :- not atom1, atom39.
not atom64 > atom64 :- atom1, atom39.
atom5 > not atom5 :- not atom1, atom39.
not atom5 > atom5 :- atom1, atom39.
not atom19 > atom19 :- not atom2, atom39.
not atom19 > atom19 :- atom2, atom39.
not atom77 > atom77 :- not atom1, atom39.
not atom77 > atom77 :- atom1, atom39.
not atom55 > atom55 :- not atom2, atom39.
atom55 > not atom55 :- atom2, atom39.
not atom67 > atom67 :- not atom2, atom39.
not atom67 > atom67 :- atom2, atom39.
atom65 > not atom65 :- not atom5, atom39.
not atom65 > atom65 :- atom5, atom39.
atom11 > not atom11 :- not atom2, atom39.
not atom11 > atom11 :- atom2, atom39.
not atom57 > atom57 :- not atom1, atom39.
not atom57 > atom57 :- atom1, atom39.
atom80 > not atom80 :- not atom1, atom39.
atom80 > not atom80 :- atom1, atom39.
atom26 > not atom26 :- not atom8, atom39.
atom26 > not atom26 :- atom8, atom39.
atom78 > not atom78 :- not atom1, atom39.
not atom78 > atom78 :- atom1, atom39.
not atom3 > atom3 :- not atom6, atom39.
not atom3 > atom3 :- atom6, atom39.
not atom27 > atom27 :- not atom1, atom39.
atom27 > not atom27 :- atom1, atom39.
atom7 > not atom7 :- not atom1, atom39.
atom7 > not atom7 :- atom1, atom39.
atom76 > not atom76 :- not atom2, atom39.
not atom76 > atom76 :- atom2, atom39.
atom25 > not atom25 :- not atom1, atom39.
not atom25 > atom25 :- atom1, atom39.
not atom46 > atom46 :- not atom1, atom39.
atom46 > not atom46 :- atom1, atom39.
not atom47 > atom47 :- not atom7, atom39.
atom47 > not atom47 :- atom7, atom39.
not atom61 > atom61 :- not atom3, atom39.
atom61 > not atom61 :- atom3, atom39.
not atom43 > atom43 :- not atom1, atom39.
not atom43 > atom43 :- atom1, atom39.
not atom51 > atom51 :- not atom1, atom39.
not atom51 > atom51 :- atom1, atom39.
not atom28 > atom28 :- not atom3, atom39.
not atom28 > atom28 :- atom3, atom39.
not atom50 > atom50 :- not atom1, atom39.
atom50 > not atom50 :- atom1, atom39.
atom53 > not atom53 :- not atom8, atom39.
atom53 > not atom53 :- atom8, atom39.
not atom74 > atom74 :- not atom3, atom39.
atom74 > not atom74 :- atom3, atom39.
not atom41 > atom41 :- not atom2, atom39.
atom41 > not atom41 :- atom2, atom39.
not atom31 > atom31 :- not atom1, atom39.
not atom31 > atom31 :- atom1, atom39.
atom10 > not atom10 :- not atom1, atom39.
not atom10 > atom10 :- atom1, atom39.
not atom12 > atom12 :- not atom5, atom39.
not atom12 > atom12 :- atom5, atom39.
atom15 > not atom15 :- not atom1, atom39.
atom15 > not atom15 :- atom1, atom39.
not atom30 > atom30 :- not atom3, atom39.
atom30 > not atom30 :- atom3, atom39.
atom73 > not atom73 :- not atom3, atom39.
atom73 > not atom73 :- atom3, atom39.
atom66 > not atom66 :- not atom2, atom39.
not atom66 > atom66 :- atom2, atom39.
atom38 > not atom38 :- not atom5, atom39.
not atom38 > atom38 :- atom5, atom39.
atom22 > not atom22 :- not atom3, atom39.
atom22 > not atom22 :- atom3, atom39.
atom70 > not atom70 :- not atom1, atom39.
not atom70 > atom70 :- atom1, atom39.
atom54 > not atom54 :- not atom5, atom39.
not atom54 > atom54 :- atom5, atom39.
not atom14 > atom14 :- not atom1, atom39.
not atom14 > atom14 :- atom1, atom39.
not atom16 > atom16 :- not atom2, atom39.
not atom16 > atom16 :- atom2, atom39.
not atom63 > atom63 :- not atom5, atom39.
atom63 > not atom63 :- atom5, atom39.
not atom17 > atom17 :- not atom6, atom39.
not atom17 > atom17 :- atom6, atom39.
not atom72 > atom72 :- not atom2, atom39.
atom72 > not atom72 :- atom2, atom39.
atom62 > not atom62 :- not atom2, atom39.
atom62 > not atom62 :- atom2, atom39.
not atom49 > atom49 :- not atom1, atom39.
not atom49 > atom49 :- atom1, atom39.
atom37 > not atom37 :- not atom2, atom39.
not atom37 > atom37 :- atom2, atom39.
not atom79 > atom79 :- not atom1, atom39.
atom79 > not atom79 :- atom1, atom39.
not atom20 > atom20 :- not atom1, atom39.
atom20 > not atom20 :- atom1, atom39.
not atom59 > atom59 :- not atom1, atom39.
not atom59 > atom59 :- atom1, atom39.
not atom44 > atom44 :- not atom2, atom39.
not atom44 > atom44 :- atom2, atom39.
atom29 > not atom29 :- not atom1, atom39.
atom29 > not atom29 :- atom1, atom39.
atom4 > not atom4 :- not atom2, atom39.
not atom4 > atom4 :- atom2, atom39.
not atom71 > atom71 :- not atom1, atom39.
atom71 > not atom71 :- atom1, atom39.
not atom45 > atom45 :- not atom1, atom39.
atom45 > not atom45 :- atom1, atom39.
not atom47 > atom47 :- not atom39.
atom17 > not atom17 :- not atom47, not atom39.
not atom17 > atom17 :- atom47, not atom39.
atom30 > not atom30 :- not atom47, not atom39.
atom30 > not atom30 :- atom47, not atom39.
atom56 > not atom56 :- not atom17, not atom39.
atom56 > not atom56 :- atom17, not atom39.
atom73 > not atom73 :- not atom17, not atom39.
not atom73 > atom73 :- atom17, not atom39.
atom8 > not atom8 :- not atom47, not atom39.
not atom8 > atom8 :- atom47, not atom39.
atom4 > not atom4 :- not atom17, not atom39.
atom4 > not atom4 :- atom17, not atom39.
not atom78 > atom78 :- not atom4, not atom39.
atom78 > not atom78 :- atom4, not atom39.
atom60 > not atom60 :- not atom4, not atom39.
not atom60 > atom60 :- atom4, not atom39.
atom70 > not atom70 :- not atom4, not atom39.
atom70 > not atom70 :- atom4, not atom39.
not atom66 > atom66 :- not atom17, not atom39.
not atom66 > atom66 :- atom17, not atom39.
not atom58 > atom58 :- not atom8, not atom39.
not atom58 > atom58 :- atom8, not atom39.
atom77 > not atom77 :- not atom4, not atom39.
not atom77 > atom77 :- atom4, not atom39.
not atom72 > atom72 :- not atom4, not atom39.
not atom72 > atom72 :- atom4, not atom39.
not atom16 > atom16 :- not atom4, not atom39.
atom16 > not atom16 :- atom4, not atom39.
not atom29 > atom29 :- not atom4, not atom39.
not atom29 > atom29 :- atom4, not atom39.
not atom53 > atom53 :- not atom4, not atom39.
atom53 > not atom53 :- atom4, not atom39.
atom68 > not atom68 :- not atom16, not atom39.
atom68 > not atom68 :- atom16, not atom39.
atom50 > not atom50 :- not atom4, not atom39.
atom50 > not atom50 :- atom4, not atom39.
atom79 > not atom79 :- not atom4, not atom39.
not atom79 > atom79 :- atom4, not atom39.
atom80 > not atom80 :- not atom29, not atom39.
atom80 > not atom80 :- atom29, not atom39.
atom76 > not atom76 :- not atom8, not atom39.
not atom76 > atom76 :- atom8, not atom39.
atom25 > not atom25 :- not atom4, not atom39.
atom25 > not atom25 :- atom4, not atom39.
atom26 > not atom26 :- not atom16, not atom39.
not atom26 > atom26 :- atom16, not atom39.
not atom6 > atom6 :- not atom16, not atom39.
atom6 > not atom6 :- atom16, not atom39.
not atom37 > atom37 :- not atom6, not atom39.
not atom37 > atom37 :- atom6, not atom39.
not atom54 > atom54 :- not atom4, not atom39.
atom54 > not atom54 :- atom4, not atom39.
atom43 > not atom43 :- not atom4, not atom39.
atom43 > not atom43 :- atom4, not atom39.
not atom57 > atom57 :- not atom4, not atom39.
not atom57 > atom57 :- atom4, not atom39.
not atom42 > atom42 :- not atom4, not atom39.
not atom42 > atom42 :- atom4, not atom39.
atom75 > not atom75 :- not atom6, not atom39.
not atom75 > atom75 :- atom6, not atom39.
atom28 > not atom28 :- not atom4, not atom39.
not atom28 > atom28 :- atom4, not atom39.
not atom41 > atom41 :- not atom16, not atom39.
not atom41 > atom41 :- atom16, not atom39.
not atom74 > atom74 :- not atom4, not atom39.
not atom74 > atom74 :- atom4, not atom39.
atom38 > not atom38 :- not atom17, not atom39.
atom38 > not atom38 :- atom17, not atom39.
not atom52 > atom52 :- not atom4, not atom39.
atom52 > not atom52 :- atom4, not atom39.
atom24 > not atom24 :- not atom4, not atom39.
atom24 > not atom24 :- atom4, not atom39.
atom10 > not atom10 :- not atom8, not atom39.
not atom10 > atom10 :- atom8, not atom39.
atom64 > not atom64 :- not atom16, not atom39.
atom64 > not atom64 :- atom16, not atom39.
atom15 > not atom15 :- not atom6, not atom39.
not atom15 > atom15 :- atom6, not atom39.
not atom9 > atom9 :- not atom8, not atom39.
not atom9 > atom9 :- atom8, not atom39.
not atom31 > atom31 :- not atom4, not atom39.
atom31 > not atom31 :- atom4, not atom39.
atom13 > not atom13 :- not atom4, not atom39.
atom13 > not atom13 :- atom4, not atom39.
atom40 > not atom40 :- not atom9, not atom39.
atom40 > not atom40 :- atom9, not atom39.
atom46 > not atom46 :- not atom4, not atom39.
not atom46 > atom46 :- atom4, not atom39.
not atom27 > atom27 :- not atom4, not atom39.
atom27 > not atom27 :- atom4, not atom39.
atom33 > not atom33 :- not atom6, not atom39.
atom33 > not atom33 :- atom6, not atom39.
atom61 > not atom61 :- not atom9, not atom39.
atom61 > not atom61 :- atom9, not atom39.
atom5 > not atom5 :- not atom4, not atom39.
not atom5 > atom5 :- atom4, not atom39.
atom69 > not atom69 :- not atom4, not atom39.
atom69 > not atom69 :- atom4, not atom39.
atom21 > not atom21 :- not atom8, not atom39.
atom21 > not atom21 :- atom8, not atom39.
atom45 > not atom45 :- not atom4, not atom39.
atom45 > not atom45 :- atom4, not atom39.
atom19 > not atom19 :- not atom5, not atom39.
atom19 > not atom19 :- atom5, not atom39.
not atom23 > atom23 :- not atom4, not atom39.
atom23 > not atom23 :- atom4, not atom39.
atom22 > not atom22 :- not atom6, not atom39.
atom22 > not atom22 :- atom6, not atom39.
not atom65 > atom65 :- not atom4, not atom39.
not atom65 > atom65 :- atom4, not atom39.
atom44 > not atom44 :- not atom4, not atom39.
not atom44 > atom44 :- atom4, not atom39.
atom55 > not atom55 :- not atom4, not atom39.
not atom55 > atom55 :- atom4, not atom39.
atom67 > not atom67 :- not atom6, not atom39.
atom67 > not atom67 :- atom6, not atom39.
atom63 > not atom63 :- not atom5, not atom39.
not atom63 > atom63 :- atom5, not atom39.
atom2 > not atom2 :- not atom4, not atom39.
atom2 > not atom2 :- atom4, not atom39.
not atom49 > atom49 :- not atom6, not atom39.
not atom49 > atom49 :- atom6, not atom39.
not atom11 > atom11 :- not atom5, not atom39.
atom11 > not atom11 :- atom5, not atom39.
not atom36 > atom36 :- not atom5, not atom39.
not atom36 > atom36 :- atom5, not atom39.
not atom32 > atom32 :- not atom4, not atom39.
atom32 > not atom32 :- atom4, not atom39.
atom35 > not atom35 :- not atom2, not atom39.
atom35 > not atom35 :- atom2, not atom39.
atom48 > not atom48 :- not atom2, not atom39.
atom48 > not atom48 :- atom2, not atom39.
not atom7 > atom7 :- not atom2, not atom39.
atom7 > not atom7 :- atom2, not atom39.
atom3 > not atom3 :- not atom2, not atom39.
atom3 > not atom3 :- atom2, not atom39.
atom14 > not atom14 :- not atom3, not atom39.
not atom14 > atom14 :- atom3, not atom39.
not atom12 > atom12 :- not atom2, not atom39.
not atom12 > atom12 :- atom2, not atom39.
