atom64 > not atom64.
atom53 > not atom53 :- not atom64.
atom53 > not atom53 :- atom64.
atom5 > not atom5 :- not atom64.
not atom5 > atom5 :- atom64.
atom79 > not atom79.
not atom49 > atom49 :- not atom5, not atom79.
atom49 > not atom49 :- atom5, not atom79.
atom73 > not atom73 :- not atom5, not atom79.
not atom73 > atom73 :- atom5, not atom79.
atom58 > not atom58 :- not atom5, not atom79.
atom58 > not atom58 :- atom5, not atom79.
atom3 > not atom3 :- not atom5, not atom79.
atom3 > not atom3 :- atom5, not atom79.
atom28 > not atom28 :- not atom5, not atom79.
not atom28 > atom28 :- atom5, not atom79.
not atom76 > atom76 :- not atom3, not atom79.
atom76 > not atom76 :- atom3, not atom79.
atom37 > not atom37 :- not atom3, not atom79.
atom37 > not atom37 :- atom3, not atom79.
atom14 > not atom14 :- not atom5, not atom79.
not atom14 > atom14 :- atom5, not atom79.
atom19 > not atom19 :- not atom37, not atom79.
not atom19 > atom19 :- atom37, not atom79.
not atom26 > atom26 :- not atom19, not atom79.
atom26 > not atom26 :- atom19, not atom79.
not atom68 > atom68 :- not atom14, not atom79.
not atom68 > atom68 :- atom14, not atom79.
atom9 > not atom9 :- not atom3, not atom79.
not atom9 > atom9 :- atom3, not atom79.
atom4 > not atom4 :- not atom3, not atom79.
not atom4 > atom4 :- atom3, not atom79.
atom60 > not atom60 :- not atom4, not atom79.
atom60 > not atom60 :- atom4, not atom79.
not atom75 > atom75 :- not atom14, not atom79.
atom75 > not atom75 :- atom14, not atom79.
not atom50 > atom50 :- not atom3, not atom79.
not atom50 > atom50 :- atom3, not atom79.
not atom21 > atom21 :- not atom9, not atom79.
atom21 > not atom21 :- atom9, not atom79.
not atom43 > atom43 :- not atom4, not atom79.
atom43 > not atom43 :- atom4, not atom79.
not atom71 > atom71 :- not atom5, not atom79.
atom71 > not atom71 :- atom5, not atom79.
atom63 > not atom63 :- not atom4, not atom79.
atom63 > not atom63 :- atom4, not atom79.
atom17 > not atom17 :- not atom14, not atom79.
not atom17 > atom17 :- atom14, not atom79.
atom10 > not atom10 :- not atom3, not atom79.
not atom10 > atom10 :- atom3, not atom79.
not atom39 > atom39 :- not atom3, not atom79.
