not atom68 > atom68.
atom53 > not atom53.
not atom40 > atom40 :- not atom68.
not atom40 > atom40 :- atom68.
atom69 > not atom69 :- not atom68.
atom69 > not atom69 :- atom68.
atom59 > not atom59 :- not atom40, atom69.
atom59 > not atom59 :- atom40, atom69.
not atom58 > atom58 :- atom69.
atom71 > not atom71 :- not atom68, atom69.
atom71 > not atom71 :- atom68, atom69.
not atom63 > atom63 :- not atom53, atom69.
atom63 > not atom63 :- atom53, atom69.
not atom25 > atom25 :- not atom40, atom69.
not atom25 > atom25 :- atom40, atom69.
not atom24 > atom24 :- not atom25, atom69.
atom24 > not atom24 :- atom25, atom69.
atom51 > not atom51 :- not atom24, atom69.
atom51 > not atom51 :- atom24, atom69.
atom47 > not atom47 :- not atom24, atom69.
atom47 > not atom47 :- atom24, atom69.
atom6 > not atom6 :- not atom40, atom69.
atom6 > not atom6 :- atom40, atom69.
atom30 > not atom30 :- not atom24, atom69.
atom30 > not atom30 :- atom24, atom69.
not atom4 > atom4 :- not atom24, atom69.
atom4 > not atom4 :- atom24, atom69.
not atom26 > atom26 :- not atom24, atom69.
atom26 > not atom26 :- atom24, atom69.
atom78 > not atom78 :- not atom30, atom69.
atom78 > not atom78 :- atom30, atom69.
not atom72 > atom72 :- not atom4, atom69.
atom72 > not atom72 :- atom4, atom69.
atom27 > not atom27 :- not atom30, atom69.
atom27 > not atom27 :- atom30, atom69.
not atom8 > atom8 :- not atom25, atom69.
atom8 > not atom8 :- atom25, atom69.
not atom14 > atom14 :- not atom4, atom69.
not atom14 > atom14 :- atom4, atom69.
not atom74 > atom74 :- not atom4, atom69.
atom74 > not atom74 :- atom4, atom69.
not atom70 > atom70 :- not atom4, atom69.
atom70 > not atom70 :- atom4, atom69.
atom73 > not atom73 :- not atom6, atom69.
not atom73 > atom73 :- atom6, atom69.
not atom38 > atom38 :- not atom4, atom69.
atom38 > not atom38 :- atom4, atom69.
atom48 > not atom48 :- not atom14, atom69.
atom48 > not atom48 :- atom14, atom69.
not atom5 > atom5 :- not atom4, atom69.
not atom5 > atom5 :- atom4, atom69.
not atom7 > atom7 :- not atom4, atom69.
not atom7 > atom7 :- atom4, atom69.
atom11 > not atom11 :- not atom4, atom69.
not atom11 > atom11 :- atom4, atom69.
atom35 > not atom35 :- not atom4, atom69.
not atom35 > atom35 :- atom4, atom69.
not atom22 > atom22 :- not atom4, atom69.
not atom22 > atom22 :- atom4, atom69.
not atom20 > atom20 :- not atom6, atom69.
atom20 > not atom20 :- atom6, atom69.
not atom67 > atom67 :- not atom6, atom69.
atom67 > not atom67 :- atom6, atom69.
not atom36 > atom36 :- not atom4, atom69.
atom36 > not atom36 :- atom4, atom69.
atom64 > not atom64 :- not atom8, atom69.
not atom64 > atom64 :- atom8, atom69.
atom65 > not atom65 :- not atom4, atom69.
not atom65 > atom65 :- atom4, atom69.
atom76 > not atom76 :- not atom4, atom69.
atom76 > not atom76 :- atom4, atom69.
atom46 > not atom46 :- not atom4, atom69.
atom46 > not atom46 :- atom4, atom69.
atom32 > not atom32 :- not atom4, atom69.
not atom32 > atom32 :- atom4, atom69.
not atom49 > atom49 :- not atom7, atom69.
not atom49 > atom49 :- atom7, atom69.
atom18 > not atom18 :- not atom4, atom69.
not atom18 > atom18 :- atom4, atom69.
atom28 > not atom28 :- not atom4, atom69.
not atom28 > atom28 :- atom4, atom69.
not atom23 > atom23 :- not atom4, atom69.
