atom19 > not atom19.
atom13 > not atom13 :- not atom19.
not atom13 > atom13 :- atom19.
not atom35 > atom35.
not atom51 > atom51 :- not atom19, not atom35.
not atom51 > atom51 :- atom19, not atom35.
not atom28 > atom28 :- not atom13, not atom35.
atom28 > not atom28 :- atom13, not atom35.
atom21 > not atom21 :- not atom19, not atom35.
not atom21 > atom21 :- atom19, not atom35.
atom69 > not atom69 :- not atom19, not atom35.
not atom69 > atom69 :- atom19, not atom35.
atom59 > not atom59 :- not atom19, not atom35.
not atom59 > atom59 :- atom19, not atom35.
not atom79 > atom79 :- not atom19, not atom35.
atom79 > not atom79 :- atom19, not atom35.
not atom41 > atom41 :- not atom28, not atom35.
atom41 > not atom41 :- atom28, not atom35.
not atom65 > atom65 :- not atom51, not atom35.
atom65 > not atom65 :- atom51, not atom35.
atom11 > not atom11 :- not atom21, not atom35.
atom11 > not atom11 :- atom21, not atom35.
not atom7 > atom7 :- not atom11, not atom35.
atom7 > not atom7 :- atom11, not atom35.
atom67 > not atom67 :- not atom7, not atom35.
not atom67 > atom67 :- atom7, not atom35.
atom39 > not atom39 :- not atom19, not atom35.
atom39 > not atom39 :- atom19, not atom35.
not atom24 > atom24 :- not atom7, not atom35.
not atom24 > atom24 :- atom7, not atom35.
atom9 > not atom9 :- not atom7, not atom35.
atom9 > not atom9 :- atom7, not atom35.
atom5 > not atom5 :- not atom9, not atom35.
not atom5 > atom5 :- atom9, not atom35.
not atom53 > atom53 :- not atom9, not atom35.
atom53 > not atom53 :- atom9, not atom35.
not atom2 > atom2 :- not atom5, not atom35.
not atom2 > atom2 :- atom5, not atom35.
atom18 > not atom18 :- not atom5, not atom35.
not atom18 > atom18 :- atom5, not atom35.
not atom8 > atom8 :- not atom5, not atom35.
atom8 > not atom8 :- atom5, not atom35.
not atom40 > atom40 :- not atom5, not atom35.
not atom40 > atom40 :- atom5, not atom35.
atom66 > not atom66 :- not atom9, not atom35.
atom66 > not atom66 :- atom9, not atom35.
atom22 > not atom22 :- not atom2, not atom35.
atom22 > not atom22 :- atom2, not atom35.
not atom32 > atom32 :- not atom2, not atom35.
atom32 > not atom32 :- atom2, not atom35.
not atom64 > atom64 :- not atom5, not atom35.
atom64 > not atom64 :- atom5, not atom35.
atom61 > not atom61 :- not atom9, not atom35.
atom61 > not atom61 :- atom9, not atom35.
atom42 > not atom42 :- not atom2, not atom35.
atom42 > not atom42 :- atom2, not atom35.
atom60 > not atom60 :- not atom5, not atom35.
not atom60 > atom60 :- atom5, not atom35.
atom14 > not atom14 :- not atom2, not atom35.
atom14 > not atom14 :- atom2, not atom35.
atom58 > not atom58 :- not atom2, not atom35.
not atom58 > atom58 :- atom2, not atom35.
not atom78 > atom78 :- not atom2, not atom35.
not atom78 > atom78 :- atom2, not atom35.
atom16 > not atom16 :- not atom2, not atom35.
atom16 > not atom16 :- atom2, not atom35.
not atom73 > atom73 :- not atom8, not atom35.
atom73 > not atom73 :- atom8, not atom35.
atom50 > not atom50 :- not atom5, not atom35.
not atom50 > atom50 :- atom5, not atom35.
not atom15 > atom15 :- not atom5, not atom35.
atom15 > not atom15 :- atom5, not atom35.
atom10 > not atom10 :- not atom2, not atom35.
not atom10 > atom10 :- atom2, not atom35.
not atom23 > atom23 :- not atom2, not atom35.
