not atom76 > atom76.
not atom47 > atom47 :- not atom76.
atom47 > not atom47 :- atom76.
not atom58 > atom58 :- not atom76.
not atom58 > atom58 :- atom76.
atom72 > not atom72 :- not atom76, atom58.
not atom72 > atom72 :- atom76, atom58.
atom16 > not atom16 :- atom58.
not atom43 > atom43 :- not atom47, atom58.
not atom43 > atom43 :- atom47, atom58.
not atom63 > atom63 :- not atom16, atom58.
not atom63 > atom63 :- atom16, atom58.
atom23 > not atom23 :- not atom43, atom58.
not atom23 > atom23 :- atom43, atom58.
not atom70 > atom70 :- not atom16, atom58.
not atom70 > atom70 :- atom16, atom58.
not atom80 > atom80 :- not atom16, atom58.
not atom80 > atom80 :- atom16, atom58.
not atom68 > atom68 :- not atom47, atom58.
atom68 > not atom68 :- atom47, atom58.
not atom78 > atom78 :- not atom47, atom58.
not atom78 > atom78 :- atom47, atom58.
not atom53 > atom53 :- not atom23, atom58.
not atom53 > atom53 :- atom23, atom58.
not atom8 > atom8 :- not atom43, atom58.
atom8 > not atom8 :- atom43, atom58.
not atom59 > atom59 :- not atom23, atom58.
not atom59 > atom59 :- atom23, atom58.
atom28 > not atom28 :- not atom53, atom58.
atom28 > not atom28 :- atom53, atom58.
not atom22 > atom22 :- not atom23, atom58.
atom22 > not atom22 :- atom23, atom58.
not atom9 > atom9 :- not atom23, atom58.
atom9 > not atom9 :- atom23, atom58.
not atom35 > atom35 :- not atom8, atom58.
not atom35 > atom35 :- atom8, atom58.
not atom57 > atom57 :- not atom22, atom58.
not atom57 > atom57 :- atom22, atom58.
atom50 > not atom50 :- not atom8, atom58.
not atom50 > atom50 :- atom8, atom58.
not atom2 > atom2 :- not atom9, atom58.
not atom2 > atom2 :- atom9, atom58.
atom5 > not atom5 :- not atom2, atom58.
atom5 > not atom5 :- atom2, atom58.
not atom45 > atom45 :- not atom8, atom58.
atom45 > not atom45 :- atom8, atom58.
not atom31 > atom31 :- not atom16, atom58.
not atom31 > atom31 :- atom16, atom58.
not atom14 > atom14 :- not atom2, atom58.
not atom14 > atom14 :- atom2, atom58.
atom27 > not atom27 :- not atom5, atom58.
not atom27 > atom27 :- atom5, atom58.
not atom61 > atom61 :- not atom2, atom58.
atom61 > not atom61 :- atom2, atom58.
not atom56 > atom56 :- not atom2, atom58.
not atom56 > atom56 :- atom2, atom58.
not atom69 > atom69 :- not atom9, atom58.
atom69 > not atom69 :- atom9, atom58.
not atom54 > atom54 :- not atom2, atom58.
atom54 > not atom54 :- atom2, atom58.
not atom40 > atom40 :- not atom14, atom58.
not atom40 > atom40 :- atom14, atom58.
not atom60 > atom60 :- not atom22, atom58.
atom60 > not atom60 :- atom22, atom58.
atom11 > not atom11 :- not atom8, atom58.
not atom11 > atom11 :- atom8, atom58.
not atom67 > atom67 :- not atom2, atom58.
atom67 > not atom67 :- atom2, atom58.
atom30 > not atom30 :- not atom2, atom58.
atom30 > not atom30 :- atom2, atom58.
atom17 > not atom17 :- not atom5, atom58.
atom17 > not atom17 :- atom5, atom58.
atom79 > not atom79 :- not atom2, atom58.
not atom79 > atom79 :- atom2, atom58.
not atom75 > atom75 :- not atom2, atom58.
not atom75 > atom75 :- atom2, atom58.
not atom38 > atom38 :- not atom8, atom58.
atom38 > not atom38 :- atom8, atom58.
atom10 > not atom10 :- not atom5, atom58.
not atom10 > atom10 :- atom5, atom58.
not atom62 > atom62 :- not atom9, atom58.
atom62 > not atom62 :- atom9, atom58.
atom74 > not atom74 :- not atom2, atom58.
atom74 > not atom74 :- atom2, atom58.
atom41 > not atom41 :- not atom9, atom58.
not atom41 > atom41 :- atom9, atom58.
not atom73 > atom73 :- not atom8, atom58.
atom73 > not atom73 :- atom8, atom58.
not atom13 > atom13 :- not atom8, atom58.
not atom13 > atom13 :- atom8, atom58.
not atom64 > atom64 :- not atom2, atom58.
atom64 > not atom64 :- atom2, atom58.
atom7 > not atom7 :- not atom9, atom58.
not atom7 > atom7 :- atom9, atom58.
atom18 > not atom18 :- not atom2, atom58.
atom18 > not atom18 :- atom2, atom58.
not atom15 > atom15 :- not atom2, atom58.
not atom15 > atom15 :- atom2, atom58.
atom1 > not atom1 :- not atom2, atom58.
atom1 > not atom1 :- atom2, atom58.
atom71 > not atom71 :- not atom8, atom58.
atom71 > not atom71 :- atom8, atom58.
not atom51 > atom51 :- not atom5, atom58.
atom51 > not atom51 :- atom5, atom58.
atom44 > not atom44 :- not atom10, atom58.
not atom44 > atom44 :- atom10, atom58.
not atom32 > atom32 :- not atom1, atom58.
not atom32 > atom32 :- atom1, atom58.
not atom39 > atom39 :- not atom5, atom58.
atom39 > not atom39 :- atom5, atom58.
not atom25 > atom25 :- not atom2, atom58.
atom25 > not atom25 :- atom2, atom58.
not atom20 > atom20 :- not atom2, atom58.
atom20 > not atom20 :- atom2, atom58.
atom6 > not atom6 :- not atom7, atom58.
atom6 > not atom6 :- atom7, atom58.
not atom77 > atom77 :- not atom2, atom58.
atom77 > not atom77 :- atom2, atom58.
not atom46 > atom46 :- not atom1, atom58.
not atom46 > atom46 :- atom1, atom58.
not atom52 > atom52 :- not atom2, atom58.
