not atom46 > atom46.
not atom60 > atom60 :- not atom46.
not atom60 > atom60 :- atom46.
atom59 > not atom59 :- atom60.
not atom32 > atom32 :- not atom46, atom60.
atom32 > not atom32 :- atom46, atom60.
not atom69 > atom69 :- not atom59, atom60.
atom69 > not atom69 :- atom59, atom60.
atom17 > not atom17 :- not atom32, atom60.
atom17 > not atom17 :- atom32, atom60.
atom80 > not atom80 :- not atom46, atom60.
atom80 > not atom80 :- atom46, atom60.
atom27 > not atom27 :- not atom32, atom60.
atom27 > not atom27 :- atom32, atom60.
atom54 > not atom54 :- not atom17, atom60.
atom54 > not atom54 :- atom17, atom60.
atom5 > not atom5 :- not atom27, atom60.
not atom5 > atom5 :- atom27, atom60.
atom70 > not atom70 :- not atom5, atom60.
atom70 > not atom70 :- atom5, atom60.
not atom6 > atom6 :- not atom17, atom60.
not atom6 > atom6 :- atom17, atom60.
not atom19 > atom19 :- not atom54, atom60.
atom19 > not atom19 :- atom54, atom60.
not atom66 > atom66 :- not atom5, atom60.
not atom66 > atom66 :- atom5, atom60.
not atom39 > atom39 :- not atom17, atom60.
atom39 > not atom39 :- atom17, atom60.
atom34 > not atom34 :- not atom5, atom60.
atom34 > not atom34 :- atom5, atom60.
not atom15 > atom15 :- not atom6, atom60.
atom15 > not atom15 :- atom6, atom60.
not atom61 > atom61 :- not atom17, atom60.
atom61 > not atom61 :- atom17, atom60.
not atom48 > atom48 :- not atom5, atom60.
atom48 > not atom48 :- atom5, atom60.
not atom75 > atom75 :- not atom6, atom60.
not atom75 > atom75 :- atom6, atom60.
atom21 > not atom21 :- not atom5, atom60.
atom21 > not atom21 :- atom5, atom60.
not atom58 > atom58 :- not atom6, atom60.
not atom58 > atom58 :- atom6, atom60.
atom14 > not atom14 :- not atom17, atom60.
not atom14 > atom14 :- atom17, atom60.
atom73 > not atom73 :- not atom6, atom60.
atom73 > not atom73 :- atom6, atom60.
not atom22 > atom22 :- not atom5, atom60.
not atom22 > atom22 :- atom5, atom60.
not atom45 > atom45 :- not atom5, atom60.
atom45 > not atom45 :- atom5, atom60.
atom42 > not atom42 :- not atom5, atom60.
not atom42 > atom42 :- atom5, atom60.
atom71 > not atom71 :- not atom6, atom60.
not atom71 > atom71 :- atom6, atom60.
not atom28 > atom28 :- not atom5, atom60.
atom28 > not atom28 :- atom5, atom60.
not atom52 > atom52 :- not atom5, atom60.
not atom52 > atom52 :- atom5, atom60.
atom55 > not atom55 :- not atom6, atom60.
atom55 > not atom55 :- atom6, atom60.
atom43 > not atom43 :- not atom14, atom60.
not atom43 > atom43 :- atom14, atom60.
not atom76 > atom76 :- not atom14, atom60.
atom76 > not atom76 :- atom14, atom60.
not atom40 > atom40 :- not atom5, atom60.
not atom40 > atom40 :- atom5, atom60.
atom63 > not atom63 :- not atom6, atom60.
atom63 > not atom63 :- atom6, atom60.
not atom57 > atom57 :- not atom5, atom60.
not atom57 > atom57 :- atom5, atom60.
not atom44 > atom44 :- not atom5, atom60.
atom44 > not atom44 :- atom5, atom60.
not atom18 > atom18 :- not atom14, atom60.
not atom18 > atom18 :- atom14, atom60.
atom16 > not atom16 :- not atom5, atom60.
atom16 > not atom16 :- atom5, atom60.
not atom29 > atom29 :- not atom15, atom60.
atom29 > not atom29 :- atom15, atom60.
not atom37 > atom37 :- not atom5, atom60.
not atom37 > atom37 :- atom5, atom60.
not atom53 > atom53 :- not atom6, atom60.
not atom53 > atom53 :- atom6, atom60.
atom74 > not atom74 :- not atom6, atom60.
atom74 > not atom74 :- atom6, atom60.
not atom35 > atom35 :- not atom14, atom60.
atom35 > not atom35 :- atom14, atom60.
not atom36 > atom36 :- not atom5, atom60.
not atom36 > atom36 :- atom5, atom60.
atom30 > not atom30 :- not atom5, atom60.
not atom30 > atom30 :- atom5, atom60.
not atom33 > atom33 :- not atom6, atom60.
not atom33 > atom33 :- atom6, atom60.
not atom65 > atom65 :- not atom5, atom60.
not atom65 > atom65 :- atom5, atom60.
atom47 > not atom47 :- not atom6, atom60.
atom47 > not atom47 :- atom6, atom60.
atom10 > not atom10 :- not atom5, atom60.
atom10 > not atom10 :- atom5, atom60.
not atom31 > atom31 :- not atom5, atom60.
atom31 > not atom31 :- atom5, atom60.
atom79 > not atom79 :- not atom5, atom60.
atom79 > not atom79 :- atom5, atom60.
atom77 > not atom77 :- not atom17, atom60.
not atom77 > atom77 :- atom17, atom60.
not atom26 > atom26 :- not atom14, atom60.
not atom26 > atom26 :- atom14, atom60.
not atom23 > atom23 :- not atom6, atom60.
not atom23 > atom23 :- atom6, atom60.
not atom20 > atom20 :- not atom6, atom60.
atom20 > not atom20 :- atom6, atom60.
atom78 > not atom78 :- not atom5, atom60.
not atom78 > atom78 :- atom5, atom60.
atom1 > not atom1 :- not atom5, atom60.
not atom1 > atom1 :- atom5, atom60.
not atom7 > atom7 :- not atom1, atom60.
not atom7 > atom7 :- atom1, atom60.
atom50 > not atom50 :- not atom7, atom60.
not atom50 > atom50 :- atom7, atom60.
not atom64 > atom64 :- not atom1, atom60.
not atom64 > atom64 :- atom1, atom60.
atom68 > not atom68 :- not atom5, atom60.
not atom68 > atom68 :- atom5, atom60.
atom12 > not atom12 :- not atom7, atom60.
atom12 > not atom12 :- atom7, atom60.
atom38 > not atom38 :- not atom1, atom60.
not atom38 > atom38 :- atom1, atom60.
not atom56 > atom56 :- not atom5, atom60.
not atom56 > atom56 :- atom5, atom60.
atom25 > not atom25 :- not atom1, atom60.
not atom25 > atom25 :- atom1, atom60.
atom3 > not atom3 :- not atom5, atom60.
atom3 > not atom3 :- atom5, atom60.
atom11 > not atom11 :- not atom5, atom60.
not atom11 > atom11 :- atom5, atom60.
not atom24 > atom24 :- not atom1, atom60.
not atom24 > atom24 :- atom1, atom60.
atom13 > not atom13 :- not atom5, atom60.
atom13 > not atom13 :- atom5, atom60.
not atom9 > atom9 :- not atom1, atom60.
not atom9 > atom9 :- atom1, atom60.
atom67 > not atom67 :- not atom1, atom60.
atom67 > not atom67 :- atom1, atom60.
not atom72 > atom72 :- not atom1, atom60.
atom72 > not atom72 :- atom1, atom60.
atom2 > not atom2 :- not atom1, atom60.
atom2 > not atom2 :- atom1, atom60.
atom4 > not atom4 :- not atom3, atom60.
atom4 > not atom4 :- atom3, atom60.
atom62 > not atom62 :- not atom3, atom60.
atom62 > not atom62 :- atom3, atom60.
atom49 > not atom49 :- not atom1, atom60.
atom49 > not atom49 :- atom1, atom60.
not atom41 > atom41 :- not atom1, atom60.
atom41 > not atom41 :- atom1, atom60.
atom51 > not atom51 :- not atom2, atom60.
not atom51 > atom51 :- atom2, atom60.
atom8 > not atom8 :- not atom3, atom60.
not atom8 > atom8 :- atom3, atom60.
not atom80 > atom80 :- not atom60.
not atom74 > atom74 :- not atom46, not atom60.
atom74 > not atom74 :- atom46, not atom60.
not atom43 > atom43 :- not atom46, not atom60.
atom43 > not atom43 :- atom46, not atom60.
not atom28 > atom28 :- not atom46, not atom60.
not atom28 > atom28 :- atom46, not atom60.
not atom22 > atom22 :- not atom43, not atom60.
atom22 > not atom22 :- atom43, not atom60.
not atom36 > atom36 :- not atom22, not atom60.
atom36 > not atom36 :- atom22, not atom60.
atom62 > not atom62 :- not atom22, not atom60.
not atom62 > atom62 :- atom22, not atom60.
not atom42 > atom42 :- not atom28, not atom60.
atom42 > not atom42 :- atom28, not atom60.
atom45 > not atom45 :- not atom36, not atom60.
atom45 > not atom45 :- atom36, not atom60.
atom40 > not atom40 :- not atom28, not atom60.
not atom40 > atom40 :- atom28, not atom60.
atom75 > not atom75 :- not atom62, not atom60.
not atom75 > atom75 :- atom62, not atom60.
not atom79 > atom79 :- not atom36, not atom60.
atom79 > not atom79 :- atom36, not atom60.
atom78 > not atom78 :- not atom42, not atom60.
atom78 > not atom78 :- atom42, not atom60.
not atom71 > atom71 :- not atom22, not atom60.
atom71 > not atom71 :- atom22, not atom60.
atom6 > not atom6 :- not atom28, not atom60.
not atom6 > atom6 :- atom28, not atom60.
atom35 > not atom35 :- not atom6, not atom60.
not atom35 > atom35 :- atom6, not atom60.
not atom69 > atom69 :- not atom6, not atom60.
atom69 > not atom69 :- atom6, not atom60.
not atom70 > atom70 :- not atom6, not atom60.
not atom70 > atom70 :- atom6, not atom60.
not atom19 > atom19 :- not atom6, not atom60.
not atom19 > atom19 :- atom6, not atom60.
not atom47 > atom47 :- not atom35, not atom60.
atom47 > not atom47 :- atom35, not atom60.
not atom51 > atom51 :- not atom6, not atom60.
not atom51 > atom51 :- atom6, not atom60.
atom14 > not atom14 :- not atom19, not atom60.
atom14 > not atom14 :- atom19, not atom60.
atom68 > not atom68 :- not atom6, not atom60.
atom68 > not atom68 :- atom6, not atom60.
not atom37 > atom37 :- not atom6, not atom60.
atom37 > not atom37 :- atom6, not atom60.
not atom2 > atom2 :- not atom35, not atom60.
atom2 > not atom2 :- atom35, not atom60.
not atom11 > atom11 :- not atom6, not atom60.
atom11 > not atom11 :- atom6, not atom60.
not atom41 > atom41 :- not atom6, not atom60.
not atom41 > atom41 :- atom6, not atom60.
atom67 > not atom67 :- not atom6, not atom60.
not atom67 > atom67 :- atom6, not atom60.
atom73 > not atom73 :- not atom6, not atom60.
not atom73 > atom73 :- atom6, not atom60.
not atom72 > atom72 :- not atom11, not atom60.
not atom72 > atom72 :- atom11, not atom60.
not atom57 > atom57 :- not atom6, not atom60.
atom57 > not atom57 :- atom6, not atom60.
not atom12 > atom12 :- not atom6, not atom60.
atom12 > not atom12 :- atom6, not atom60.
atom26 > not atom26 :- not atom2, not atom60.
not atom26 > atom26 :- atom2, not atom60.
atom65 > not atom65 :- not atom2, not atom60.
not atom65 > atom65 :- atom2, not atom60.
not atom50 > atom50 :- not atom2, not atom60.
atom50 > not atom50 :- atom2, not atom60.
atom63 > not atom63 :- not atom2, not atom60.
atom63 > not atom63 :- atom2, not atom60.
not atom44 > atom44 :- not atom6, not atom60.
atom44 > not atom44 :- atom6, not atom60.
not atom27 > atom27 :- not atom2, not atom60.
not atom27 > atom27 :- atom2, not atom60.
atom5 > not atom5 :- not atom12, not atom60.
atom5 > not atom5 :- atom12, not atom60.
not atom15 > atom15 :- not atom2, not atom60.
atom15 > not atom15 :- atom2, not atom60.
not atom31 > atom31 :- not atom2, not atom60.
atom31 > not atom31 :- atom2, not atom60.
not atom16 > atom16 :- not atom2, not atom60.
not atom16 > atom16 :- atom2, not atom60.
atom32 > not atom32 :- not atom2, not atom60.
atom32 > not atom32 :- atom2, not atom60.
atom55 > not atom55 :- not atom2, not atom60.
not atom55 > atom55 :- atom2, not atom60.
not atom49 > atom49 :- not atom5, not atom60.
not atom49 > atom49 :- atom5, not atom60.
not atom18 > atom18 :- not atom2, not atom60.
atom18 > not atom18 :- atom2, not atom60.
atom61 > not atom61 :- not atom6, not atom60.
atom61 > not atom61 :- atom6, not atom60.
atom66 > not atom66 :- not atom5, not atom60.
not atom66 > atom66 :- atom5, not atom60.
not atom21 > atom21 :- not atom2, not atom60.
not atom21 > atom21 :- atom2, not atom60.
not atom76 > atom76 :- not atom2, not atom60.
atom76 > not atom76 :- atom2, not atom60.
atom54 > not atom54 :- not atom2, not atom60.
not atom54 > atom54 :- atom2, not atom60.
atom1 > not atom1 :- not atom2, not atom60.
not atom1 > atom1 :- atom2, not atom60.
atom4 > not atom4 :- not atom2, not atom60.
atom4 > not atom4 :- atom2, not atom60.
not atom53 > atom53 :- not atom1, not atom60.
not atom53 > atom53 :- atom1, not atom60.
atom23 > not atom23 :- not atom2, not atom60.
atom23 > not atom23 :- atom2, not atom60.
not atom77 > atom77 :- not atom2, not atom60.
not atom77 > atom77 :- atom2, not atom60.
not atom13 > atom13 :- not atom2, not atom60.
atom13 > not atom13 :- atom2, not atom60.
atom39 > not atom39 :- not atom6, not atom60.
atom39 > not atom39 :- atom6, not atom60.
not atom52 > atom52 :- not atom1, not atom60.
not atom52 > atom52 :- atom1, not atom60.
atom34 > not atom34 :- not atom5, not atom60.
not atom34 > atom34 :- atom5, not atom60.
not atom56 > atom56 :- not atom1, not atom60.
atom56 > not atom56 :- atom1, not atom60.
atom3 > not atom3 :- not atom5, not atom60.
not atom3 > atom3 :- atom5, not atom60.
