atom34 > not atom34.
atom31 > not atom31.
atom8 > not atom8 :- not atom31.
atom8 > not atom8 :- atom31.
atom36 > not atom36 :- not atom8.
atom36 > not atom36 :- atom8.
not atom57 > atom57 :- not atom31.
not atom57 > atom57 :- atom31.
not atom63 > atom63 :- not atom31.
not atom63 > atom63 :- atom31.
atom45 > not atom45 :- not atom8.
atom45 > not atom45 :- atom8.
not atom18 > atom18 :- not atom34, atom45.
atom18 > not atom18 :- atom34, atom45.
atom49 > not atom49 :- not atom18, atom45.
atom49 > not atom49 :- atom18, atom45.
atom25 > not atom25 :- not atom8, atom45.
not atom25 > atom25 :- atom8, atom45.
atom61 > not atom61 :- not atom8, atom45.
not atom61 > atom61 :- atom8, atom45.
atom41 > not atom41 :- not atom18, atom45.
atom41 > not atom41 :- atom18, atom45.
atom21 > not atom21 :- not atom8, atom45.
atom21 > not atom21 :- atom8, atom45.
not atom77 > atom77 :- not atom8, atom45.
not atom77 > atom77 :- atom8, atom45.
not atom7 > atom7 :- not atom8, atom45.
atom7 > not atom7 :- atom8, atom45.
not atom13 > atom13 :- not atom7, atom45.
not atom13 > atom13 :- atom7, atom45.
atom11 > not atom11 :- not atom18, atom45.
atom11 > not atom11 :- atom18, atom45.
atom17 > not atom17 :- not atom11, atom45.
atom17 > not atom17 :- atom11, atom45.
atom38 > not atom38 :- not atom7, atom45.
not atom38 > atom38 :- atom7, atom45.
atom16 > not atom16 :- not atom18, atom45.
not atom16 > atom16 :- atom18, atom45.
atom50 > not atom50 :- not atom8, atom45.
atom50 > not atom50 :- atom8, atom45.
not atom68 > atom68 :- not atom11, atom45.
not atom68 > atom68 :- atom11, atom45.
not atom56 > atom56 :- not atom7, atom45.
not atom56 > atom56 :- atom7, atom45.
atom78 > not atom78 :- not atom7, atom45.
atom78 > not atom78 :- atom7, atom45.
atom6 > not atom6 :- not atom8, atom45.
atom6 > not atom6 :- atom8, atom45.
atom32 > not atom32 :- not atom13, atom45.
atom32 > not atom32 :- atom13, atom45.
not atom80 > atom80 :- not atom6, atom45.
not atom80 > atom80 :- atom6, atom45.
not atom55 > atom55 :- not atom8, atom45.
not atom55 > atom55 :- atom8, atom45.
not atom30 > atom30 :- not atom6, atom45.
atom30 > not atom30 :- atom6, atom45.
atom51 > not atom51 :- not atom8, atom45.
not atom51 > atom51 :- atom8, atom45.
not atom73 > atom73 :- not atom7, atom45.
not atom73 > atom73 :- atom7, atom45.
atom22 > not atom22 :- not atom6, atom45.
atom22 > not atom22 :- atom6, atom45.
atom46 > not atom46 :- not atom6, atom45.
not atom46 > atom46 :- atom6, atom45.
atom42 > not atom42 :- not atom7, atom45.
atom42 > not atom42 :- atom7, atom45.
atom66 > not atom66 :- not atom7, atom45.
not atom66 > atom66 :- atom7, atom45.
atom71 > not atom71 :- not atom7, atom45.
not atom71 > atom71 :- atom7, atom45.
not atom69 > atom69 :- not atom7, atom45.
not atom69 > atom69 :- atom7, atom45.
atom29 > not atom29 :- not atom6, atom45.
atom29 > not atom29 :- atom6, atom45.
atom65 > not atom65 :- not atom6, atom45.
not atom65 > atom65 :- atom6, atom45.
atom70 > not atom70 :- not atom7, atom45.
not atom70 > atom70 :- atom7, atom45.
not atom10 > atom10 :- not atom16, atom45.
atom10 > not atom10 :- atom16, atom45.
atom23 > not atom23 :- not atom7, atom45.
atom23 > not atom23 :- atom7, atom45.
atom39 > not atom39 :- not atom6, atom45.
atom39 > not atom39 :- atom6, atom45.
atom54 > not atom54 :- not atom7, atom45.
atom54 > not atom54 :- atom7, atom45.
atom37 > not atom37 :- not atom7, atom45.
not atom37 > atom37 :- atom7, atom45.
not atom2 > atom2 :- not atom7, atom45.
atom2 > not atom2 :- atom7, atom45.
atom3 > not atom3 :- not atom2, atom45.
atom3 > not atom3 :- atom2, atom45.
atom62 > not atom62 :- not atom2, atom45.
not atom62 > atom62 :- atom2, atom45.
atom47 > not atom47 :- not atom3, atom45.
not atom47 > atom47 :- atom3, atom45.
not atom19 > atom19 :- not atom2, atom45.
not atom19 > atom19 :- atom2, atom45.
atom14 > not atom14 :- not atom2, atom45.
