atom2 > not atom2.
not atom22 > atom22 :- not atom2.
atom16 > not atom16 :- not atom2.
not atom4 > atom4 :- not atom22, not atom2.
atom4 > not atom4 :- atom22, not atom2.
atom35 > not atom35 :- not atom4, not atom2.
atom35 > not atom35 :- atom4, not atom2.
not atom10 > atom10 :- not atom4, not atom2.
not atom10 > atom10 :- atom4, not atom2.
not atom18 > atom18 :- not atom4, not atom2.
not atom18 > atom18 :- atom4, not atom2.
not atom47 > atom47 :- not atom2.
not atom28 > atom28 :- not atom10, not atom2.
not atom28 > atom28 :- atom10, not atom2.
not atom67 > atom67 :- not atom4, not atom2.
atom67 > not atom67 :- atom4, not atom2.
atom38 > not atom38 :- not atom4, not atom2.
atom38 > not atom38 :- atom4, not atom2.
not atom20 > atom20 :- not atom4, not atom2.
not atom20 > atom20 :- atom4, not atom2.
atom36 > not atom36 :- not atom10, not atom2.
not atom36 > atom36 :- atom10, not atom2.
not atom66 > atom66 :- not atom4, not atom2.
atom66 > not atom66 :- atom4, not atom2.
atom1 > not atom1 :- not atom16, not atom2.
atom1 > not atom1 :- atom16, not atom2.
not atom33 > atom33 :- not atom10, not atom2.
atom33 > not atom33 :- atom10, not atom2.
not atom80 > atom80 :- not atom18, not atom2.
not atom80 > atom80 :- atom18, not atom2.
atom46 > not atom46 :- not atom1, not atom2.
atom46 > not atom46 :- atom1, not atom2.
not atom49 > atom49 :- not atom20, not atom2.
atom49 > not atom49 :- atom20, not atom2.
atom63 > not atom63 :- not atom4, not atom2.
not atom63 > atom63 :- atom4, not atom2.
not atom30 > atom30 :- not atom1, not atom2.
not atom30 > atom30 :- atom1, not atom2.
atom51 > not atom51 :- not atom10, not atom2.
atom51 > not atom51 :- atom10, not atom2.
not atom27 > atom27 :- not atom10, not atom2.
not atom27 > atom27 :- atom10, not atom2.
not atom76 > atom76 :- not atom1, not atom2.
atom76 > not atom76 :- atom1, not atom2.
not atom55 > atom55 :- not atom1, not atom2.
not atom55 > atom55 :- atom1, not atom2.
atom52 > not atom52 :- not atom1, not atom2.
not atom52 > atom52 :- atom1, not atom2.
not atom34 > atom34 :- not atom1, not atom2.
atom34 > not atom34 :- atom1, not atom2.
not atom73 > atom73 :- not atom4, not atom2.
not atom73 > atom73 :- atom4, not atom2.
atom9 > not atom9 :- not atom10, not atom2.
atom9 > not atom9 :- atom10, not atom2.
atom29 > not atom29 :- not atom4, not atom2.
atom29 > not atom29 :- atom4, not atom2.
not atom72 > atom72 :- not atom1, not atom2.
atom72 > not atom72 :- atom1, not atom2.
atom44 > not atom44 :- not atom9, not atom2.
atom44 > not atom44 :- atom9, not atom2.
not atom68 > atom68 :- not atom9, not atom2.
atom68 > not atom68 :- atom9, not atom2.
not atom43 > atom43 :- not atom1, not atom2.
not atom43 > atom43 :- atom1, not atom2.
atom24 > not atom24 :- not atom9, not atom2.
atom24 > not atom24 :- atom9, not atom2.
atom79 > not atom79 :- not atom1, not atom2.
not atom79 > atom79 :- atom1, not atom2.
atom7 > not atom7 :- not atom1, not atom2.
not atom7 > atom7 :- atom1, not atom2.
atom37 > not atom37 :- not atom1, not atom2.
atom37 > not atom37 :- atom1, not atom2.
atom19 > not atom19 :- not atom1, not atom2.
atom19 > not atom19 :- atom1, not atom2.
not atom21 > atom21 :- not atom1, not atom2.
atom21 > not atom21 :- atom1, not atom2.
atom13 > not atom13 :- not atom1, not atom2.
atom13 > not atom13 :- atom1, not atom2.
not atom12 > atom12 :- not atom1, not atom2.
atom12 > not atom12 :- atom1, not atom2.
not atom78 > atom78 :- not atom7, not atom2.
not atom78 > atom78 :- atom7, not atom2.
atom70 > not atom70 :- not atom1, not atom2.
atom70 > not atom70 :- atom1, not atom2.
not atom48 > atom48 :- not atom4, not atom2.
atom48 > not atom48 :- atom4, not atom2.
not atom11 > atom11 :- not atom4, not atom2.
atom11 > not atom11 :- atom4, not atom2.
not atom62 > atom62 :- not atom7, not atom2.
atom62 > not atom62 :- atom7, not atom2.
atom57 > not atom57 :- not atom1, not atom2.
atom57 > not atom57 :- atom1, not atom2.
not atom69 > atom69 :- not atom1, not atom2.
atom69 > not atom69 :- atom1, not atom2.
not atom75 > atom75 :- not atom1, not atom2.
not atom75 > atom75 :- atom1, not atom2.
not atom50 > atom50 :- not atom1, not atom2.
atom50 > not atom50 :- atom1, not atom2.
not atom60 > atom60 :- not atom10, not atom2.
atom60 > not atom60 :- atom10, not atom2.
atom6 > not atom6 :- not atom1, not atom2.
atom6 > not atom6 :- atom1, not atom2.
not atom64 > atom64 :- not atom1, not atom2.
atom64 > not atom64 :- atom1, not atom2.
atom31 > not atom31 :- not atom1, not atom2.
not atom31 > atom31 :- atom1, not atom2.
not atom77 > atom77 :- not atom4, not atom2.
not atom77 > atom77 :- atom4, not atom2.
not atom65 > atom65 :- not atom1, not atom2.
atom65 > not atom65 :- atom1, not atom2.
not atom5 > atom5 :- not atom6, not atom2.
not atom5 > atom5 :- atom6, not atom2.
atom23 > not atom23 :- not atom1, not atom2.
not atom23 > atom23 :- atom1, not atom2.
not atom25 > atom25 :- not atom1, not atom2.
not atom25 > atom25 :- atom1, not atom2.
not atom26 > atom26 :- not atom4, not atom2.
not atom26 > atom26 :- atom4, not atom2.
not atom54 > atom54 :- not atom5, not atom2.
atom54 > not atom54 :- atom5, not atom2.
atom32 > not atom32 :- not atom1, not atom2.
atom32 > not atom32 :- atom1, not atom2.
not atom58 > atom58 :- not atom1, not atom2.
atom58 > not atom58 :- atom1, not atom2.
not atom15 > atom15 :- not atom1, not atom2.
atom15 > not atom15 :- atom1, not atom2.
atom45 > not atom45 :- not atom1, not atom2.
not atom45 > atom45 :- atom1, not atom2.
atom3 > not atom3 :- not atom6, not atom2.
atom3 > not atom3 :- atom6, not atom2.
not atom59 > atom59 :- not atom3, not atom2.
atom59 > not atom59 :- atom3, not atom2.
