atom31 > not atom31.
atom59 > not atom59.
atom74 > not atom74.
not atom18 > atom18 :- not atom31.
not atom18 > atom18 :- atom31.
not atom5 > atom5 :- not atom31, atom18.
not atom5 > atom5 :- atom31, atom18.
atom44 > not atom44 :- not atom5, atom18.
not atom44 > atom44 :- atom5, atom18.
atom21 > not atom21 :- not atom5, atom18.
atom21 > not atom21 :- atom5, atom18.
not atom24 > atom24 :- not atom21, atom18.
atom24 > not atom24 :- atom21, atom18.
atom64 > not atom64 :- not atom5, atom18.
atom64 > not atom64 :- atom5, atom18.
atom57 > not atom57 :- not atom5, atom18.
not atom57 > atom57 :- atom5, atom18.
atom13 > not atom13 :- not atom5, atom18.
atom13 > not atom13 :- atom5, atom18.
not atom48 > atom48 :- not atom21, atom18.
atom48 > not atom48 :- atom21, atom18.
not atom54 > atom54 :- not atom13, atom18.
not atom54 > atom54 :- atom13, atom18.
not atom8 > atom8 :- not atom5, atom18.
not atom8 > atom8 :- atom5, atom18.
atom52 > not atom52 :- not atom5, atom18.
not atom52 > atom52 :- atom5, atom18.
atom17 > not atom17 :- not atom13, atom18.
atom17 > not atom17 :- atom13, atom18.
atom7 > not atom7 :- not atom8, atom18.
not atom7 > atom7 :- atom8, atom18.
not atom75 > atom75 :- not atom5, atom18.
not atom75 > atom75 :- atom5, atom18.
atom34 > not atom34 :- not atom5, atom18.
not atom34 > atom34 :- atom5, atom18.
atom19 > not atom19 :- not atom7, atom18.
not atom19 > atom19 :- atom7, atom18.
atom1 > not atom1 :- not atom5, atom18.
not atom1 > atom1 :- atom5, atom18.
atom32 > not atom32 :- not atom7, atom18.
not atom32 > atom32 :- atom7, atom18.
atom73 > not atom73 :- not atom5, atom18.
atom73 > not atom73 :- atom5, atom18.
not atom56 > atom56 :- not atom5, atom18.
atom56 > not atom56 :- atom5, atom18.
not atom51 > atom51 :- not atom17, atom18.
atom51 > not atom51 :- atom17, atom18.
atom11 > not atom11 :- not atom13, atom18.
not atom11 > atom11 :- atom13, atom18.
atom15 > not atom15 :- not atom1, atom18.
atom15 > not atom15 :- atom1, atom18.
atom72 > not atom72 :- not atom8, atom18.
not atom72 > atom72 :- atom8, atom18.
atom16 > not atom16 :- not atom15, atom18.
not atom16 > atom16 :- atom15, atom18.
atom20 > not atom20 :- not atom1, atom18.
not atom20 > atom20 :- atom1, atom18.
atom53 > not atom53 :- not atom11, atom18.
atom53 > not atom53 :- atom11, atom18.
atom30 > not atom30 :- not atom1, atom18.
atom30 > not atom30 :- atom1, atom18.
atom14 > not atom14 :- not atom1, atom18.
atom14 > not atom14 :- atom1, atom18.
atom2 > not atom2 :- not atom1, atom18.
not atom2 > atom2 :- atom1, atom18.
atom68 > not atom68 :- not atom1, atom18.
not atom68 > atom68 :- atom1, atom18.
not atom40 > atom40 :- not atom1, atom18.
not atom40 > atom40 :- atom1, atom18.
atom39 > not atom39 :- not atom2, atom18.
atom39 > not atom39 :- atom2, atom18.
not atom22 > atom22 :- not atom1, atom18.
not atom22 > atom22 :- atom1, atom18.
not atom78 > atom78 :- not atom1, atom18.
not atom78 > atom78 :- atom1, atom18.
not atom35 > atom35 :- not atom2, atom18.
not atom35 > atom35 :- atom2, atom18.
not atom80 > atom80 :- not atom2, atom18.
not atom80 > atom80 :- atom2, atom18.
not atom33 > atom33 :- not atom2, atom18.
atom33 > not atom33 :- atom2, atom18.
atom47 > not atom47 :- not atom2, atom18.
atom47 > not atom47 :- atom2, atom18.
not atom3 > atom3 :- not atom8, atom18.
atom3 > not atom3 :- atom8, atom18.
atom10 > not atom10 :- not atom1, atom18.
atom10 > not atom10 :- atom1, atom18.
atom4 > not atom4 :- not atom2, atom18.
not atom4 > atom4 :- atom2, atom18.
atom66 > not atom66 :- not atom2, atom18.
not atom66 > atom66 :- atom2, atom18.
atom12 > not atom12 :- not atom3, atom18.
atom12 > not atom12 :- atom3, atom18.
atom26 > not atom26 :- not atom1, atom18.
atom26 > not atom26 :- atom1, atom18.
not atom62 > atom62 :- not atom4, atom18.
atom62 > not atom62 :- atom4, atom18.
atom61 > not atom61 :- not atom3, atom18.
not atom61 > atom61 :- atom3, atom18.
atom25 > not atom25 :- not atom1, atom18.
not atom25 > atom25 :- atom1, atom18.
not atom50 > atom50 :- not atom3, atom18.
atom50 > not atom50 :- atom3, atom18.
not atom38 > atom38 :- not atom3, atom18.
not atom38 > atom38 :- atom3, atom18.
atom46 > not atom46 :- not atom1, atom18.
atom46 > not atom46 :- atom1, atom18.
atom49 > not atom49 :- not atom1, atom18.
atom49 > not atom49 :- atom1, atom18.
atom70 > not atom70 :- not atom2, atom18.
atom70 > not atom70 :- atom2, atom18.
atom42 > not atom42 :- not atom1, atom18.
not atom42 > atom42 :- atom1, atom18.
atom76 > not atom76 :- not atom1, atom18.
atom76 > not atom76 :- atom1, atom18.
atom55 > not atom55 :- not atom2, atom18.
atom55 > not atom55 :- atom2, atom18.
atom60 > not atom60 :- not atom1, atom18.
atom60 > not atom60 :- atom1, atom18.
atom63 > not atom63 :- not atom3, atom18.
not atom63 > atom63 :- atom3, atom18.
atom6 > not atom6 :- not atom1, atom18.
not atom6 > atom6 :- atom1, atom18.
atom23 > not atom23 :- not atom4, atom18.
atom23 > not atom23 :- atom4, atom18.
not atom65 > atom65 :- not atom1, atom18.
atom65 > not atom65 :- atom1, atom18.
atom27 > not atom27 :- not atom3, atom18.
atom27 > not atom27 :- atom3, atom18.
not atom45 > atom45 :- not atom1, atom18.
not atom45 > atom45 :- atom1, atom18.
not atom58 > atom58 :- not atom1, atom18.
not atom58 > atom58 :- atom1, atom18.
not atom67 > atom67 :- not atom1, atom18.
atom67 > not atom67 :- atom1, atom18.
atom37 > not atom37 :- not atom1, atom18.
not atom37 > atom37 :- atom1, atom18.
atom29 > not atom29 :- not atom2, atom18.
not atom29 > atom29 :- atom2, atom18.
not atom36 > atom36 :- not atom1, atom18.
not atom36 > atom36 :- atom1, atom18.
not atom28 > atom28 :- not atom1, atom18.
atom28 > not atom28 :- atom1, atom18.
not atom77 > atom77 :- not atom2, atom18.
not atom77 > atom77 :- atom2, atom18.
atom69 > not atom69 :- not atom2, atom18.
atom69 > not atom69 :- atom2, atom18.
not atom9 > atom9 :- not atom1, atom18.
not atom9 > atom9 :- atom1, atom18.
not atom43 > atom43 :- not atom2, atom18.
atom43 > not atom43 :- atom2, atom18.
atom71 > not atom71 :- not atom2, atom18.
atom71 > not atom71 :- atom2, atom18.
atom41 > not atom41 :- not atom2, atom18.
atom41 > not atom41 :- atom2, atom18.
atom79 > not atom79 :- not atom1, atom18.
atom79 > not atom79 :- atom1, atom18.
atom53 > not atom53 :- not atom18.
atom2 > not atom2 :- not atom31, not atom18.
atom2 > not atom2 :- atom31, not atom18.
not atom29 > atom29 :- not atom2, not atom18.
not atom29 > atom29 :- atom2, not atom18.
atom23 > not atom23 :- not atom29, not atom18.
not atom23 > atom23 :- atom29, not atom18.
not atom21 > atom21 :- not atom23, not atom18.
atom21 > not atom21 :- atom23, not atom18.
not atom15 > atom15 :- not atom21, not atom18.
not atom15 > atom15 :- atom21, not atom18.
not atom75 > atom75 :- not atom2, not atom18.
atom75 > not atom75 :- atom2, not atom18.
not atom80 > atom80 :- not atom23, not atom18.
not atom80 > atom80 :- atom23, not atom18.
not atom71 > atom71 :- not atom2, not atom18.
atom71 > not atom71 :- atom2, not atom18.
atom70 > not atom70 :- not atom2, not atom18.
not atom70 > atom70 :- atom2, not atom18.
atom76 > not atom76 :- not atom2, not atom18.
not atom76 > atom76 :- atom2, not atom18.
not atom32 > atom32 :- not atom31, not atom18.
atom32 > not atom32 :- atom31, not atom18.
atom8 > not atom8 :- not atom2, not atom18.
atom8 > not atom8 :- atom2, not atom18.
atom13 > not atom13 :- not atom15, not atom18.
atom13 > not atom13 :- atom15, not atom18.
atom61 > not atom61 :- not atom21, not atom18.
not atom61 > atom61 :- atom21, not atom18.
not atom49 > atom49 :- not atom2, not atom18.
atom49 > not atom49 :- atom2, not atom18.
atom6 > not atom6 :- not atom8, not atom18.
not atom6 > atom6 :- atom8, not atom18.
atom67 > not atom67 :- not atom8, not atom18.
not atom67 > atom67 :- atom8, not atom18.
atom25 > not atom25 :- not atom2, not atom18.
not atom25 > atom25 :- atom2, not atom18.
atom77 > not atom77 :- not atom15, not atom18.
not atom77 > atom77 :- atom15, not atom18.
not atom19 > atom19 :- not atom8, not atom18.
atom19 > not atom19 :- atom8, not atom18.
atom12 > not atom12 :- not atom2, not atom18.
atom12 > not atom12 :- atom2, not atom18.
not atom10 > atom10 :- not atom8, not atom18.
atom10 > not atom10 :- atom8, not atom18.
not atom78 > atom78 :- not atom2, not atom18.
not atom78 > atom78 :- atom2, not atom18.
atom48 > not atom48 :- not atom8, not atom18.
not atom48 > atom48 :- atom8, not atom18.
not atom73 > atom73 :- not atom6, not atom18.
not atom73 > atom73 :- atom6, not atom18.
not atom57 > atom57 :- not atom2, not atom18.
not atom57 > atom57 :- atom2, not atom18.
not atom79 > atom79 :- not atom2, not atom18.
not atom79 > atom79 :- atom2, not atom18.
not atom17 > atom17 :- not atom2, not atom18.
atom17 > not atom17 :- atom2, not atom18.
