not atom38 > atom38.
not atom14 > atom14.
not atom59 > atom59 :- not atom14.
atom59 > not atom59 :- atom14.
not atom30 > atom30 :- not atom38, atom59.
atom30 > not atom30 :- atom38, atom59.
not atom62 > atom62 :- not atom14, atom59.
atom62 > not atom62 :- atom14, atom59.
not atom42 > atom42 :- not atom14, atom59.
not atom42 > atom42 :- atom14, atom59.
atom27 > not atom27 :- not atom14, atom59.
atom27 > not atom27 :- atom14, atom59.
atom7 > not atom7 :- not atom14, atom59.
atom7 > not atom7 :- atom14, atom59.
not atom63 > atom63 :- not atom7, atom59.
atom63 > not atom63 :- atom7, atom59.
atom28 > not atom28 :- not atom14, atom59.
atom28 > not atom28 :- atom14, atom59.
not atom52 > atom52 :- not atom14, atom59.
atom52 > not atom52 :- atom14, atom59.
atom10 > not atom10 :- not atom7, atom59.
atom10 > not atom10 :- atom7, atom59.
atom37 > not atom37 :- not atom10, atom59.
atom37 > not atom37 :- atom10, atom59.
atom8 > not atom8 :- not atom14, atom59.
not atom8 > atom8 :- atom14, atom59.
atom61 > not atom61 :- not atom7, atom59.
atom61 > not atom61 :- atom7, atom59.
not atom35 > atom35 :- not atom8, atom59.
atom35 > not atom35 :- atom8, atom59.
not atom36 > atom36 :- not atom7, atom59.
atom36 > not atom36 :- atom7, atom59.
not atom25 > atom25 :- not atom7, atom59.
atom25 > not atom25 :- atom7, atom59.
atom53 > not atom53 :- not atom8, atom59.
not atom53 > atom53 :- atom8, atom59.
not atom48 > atom48 :- not atom7, atom59.
atom48 > not atom48 :- atom7, atom59.
not atom66 > atom66 :- not atom8, atom59.
not atom66 > atom66 :- atom8, atom59.
not atom49 > atom49 :- not atom25, atom59.
atom49 > not atom49 :- atom25, atom59.
not atom68 > atom68 :- not atom14, atom59.
not atom68 > atom68 :- atom14, atom59.
not atom2 > atom2 :- not atom14, atom59.
atom2 > not atom2 :- atom14, atom59.
atom11 > not atom11 :- not atom14, atom59.
atom11 > not atom11 :- atom14, atom59.
not atom50 > atom50 :- not atom2, atom59.
atom50 > not atom50 :- atom2, atom59.
not atom75 > atom75 :- not atom8, atom59.
not atom75 > atom75 :- atom8, atom59.
atom57 > not atom57 :- not atom2, atom59.
not atom57 > atom57 :- atom2, atom59.
not atom16 > atom16 :- not atom2, atom59.
not atom16 > atom16 :- atom2, atom59.
atom40 > not atom40 :- not atom10, atom59.
atom40 > not atom40 :- atom10, atom59.
atom64 > not atom64 :- not atom7, atom59.
atom64 > not atom64 :- atom7, atom59.
atom55 > not atom55 :- not atom2, atom59.
not atom55 > atom55 :- atom2, atom59.
not atom69 > atom69 :- not atom7, atom59.
atom69 > not atom69 :- atom7, atom59.
not atom32 > atom32 :- not atom11, atom59.
atom32 > not atom32 :- atom11, atom59.
atom72 > not atom72 :- not atom7, atom59.
not atom72 > atom72 :- atom7, atom59.
not atom76 > atom76 :- not atom2, atom59.
not atom76 > atom76 :- atom2, atom59.
atom79 > not atom79 :- not atom2, atom59.
not atom79 > atom79 :- atom2, atom59.
atom43 > not atom43 :- not atom7, atom59.
atom43 > not atom43 :- atom7, atom59.
not atom31 > atom31 :- not atom2, atom59.
atom31 > not atom31 :- atom2, atom59.
atom60 > not atom60 :- not atom2, atom59.
atom60 > not atom60 :- atom2, atom59.
atom23 > not atom23 :- not atom8, atom59.
atom23 > not atom23 :- atom8, atom59.
not atom47 > atom47 :- not atom2, atom59.
not atom47 > atom47 :- atom2, atom59.
atom73 > not atom73 :- not atom10, atom59.
not atom73 > atom73 :- atom10, atom59.
not atom20 > atom20 :- not atom2, atom59.
not atom20 > atom20 :- atom2, atom59.
not atom21 > atom21 :- not atom2, atom59.
atom21 > not atom21 :- atom2, atom59.
not atom77 > atom77 :- not atom10, atom59.
not atom77 > atom77 :- atom10, atom59.
atom39 > not atom39 :- not atom2, atom59.
not atom39 > atom39 :- atom2, atom59.
atom12 > not atom12 :- not atom8, atom59.
not atom12 > atom12 :- atom8, atom59.
not atom29 > atom29 :- not atom2, atom59.
not atom29 > atom29 :- atom2, atom59.
