atom90 > not atom90.
atom51 > not atom51 :- not atom90.
not atom51 > atom51 :- atom90.
atom22 > not atom22 :- not atom90, not atom51.
not atom22 > atom22 :- atom90, not atom51.
atom14 > not atom14 :- not atom22, not atom51.
not atom14 > atom14 :- atom22, not atom51.
not atom6 > atom6 :- not atom14, not atom51.
atom6 > not atom6 :- atom14, not atom51.
not atom44 > atom44 :- not atom6, not atom51.
not atom44 > atom44 :- atom6, not atom51.
atom67 > not atom67 :- not atom6, not atom51.
not atom67 > atom67 :- atom6, not atom51.
not atom47 > atom47 :- not atom6, not atom51.
not atom47 > atom47 :- atom6, not atom51.
atom68 > not atom68 :- not atom14, not atom51.
not atom68 > atom68 :- atom14, not atom51.
not atom36 > atom36 :- not atom6, not atom51.
atom36 > not atom36 :- atom6, not atom51.
atom75 > not atom75 :- not atom6, not atom51.
atom75 > not atom75 :- atom6, not atom51.
not atom85 > atom85 :- not atom22, not atom51.
atom85 > not atom85 :- atom22, not atom51.
not atom83 > atom83 :- not atom6, not atom51.
not atom83 > atom83 :- atom6, not atom51.
atom34 > not atom34 :- not atom6, not atom51.
atom34 > not atom34 :- atom6, not atom51.
atom30 > not atom30 :- not atom6, not atom51.
not atom30 > atom30 :- atom6, not atom51.
not atom24 > atom24 :- not atom14, not atom51.
not atom24 > atom24 :- atom14, not atom51.
atom5 > not atom5 :- not atom6, not atom51.
atom5 > not atom5 :- atom6, not atom51.
atom59 > not atom59 :- not atom6, not atom51.
atom59 > not atom59 :- atom6, not atom51.
atom9 > not atom9 :- not atom14, not atom51.
atom9 > not atom9 :- atom14, not atom51.
atom15 > not atom15 :- not atom9, not atom51.
not atom15 > atom15 :- atom9, not atom51.
atom41 > not atom41 :- not atom5, not atom51.
atom41 > not atom41 :- atom5, not atom51.
not atom17 > atom17 :- not atom5, not atom51.
not atom17 > atom17 :- atom5, not atom51.
not atom87 > atom87 :- not atom14, not atom51.
not atom87 > atom87 :- atom14, not atom51.
atom70 > not atom70 :- not atom9, not atom51.
not atom70 > atom70 :- atom9, not atom51.
atom33 > not atom33 :- not atom5, not atom51.
not atom33 > atom33 :- atom5, not atom51.
not atom16 > atom16 :- not atom5, not atom51.
atom16 > not atom16 :- atom5, not atom51.
atom39 > not atom39 :- not atom5, not atom51.
atom39 > not atom39 :- atom5, not atom51.
atom71 > not atom71 :- not atom6, not atom51.
atom71 > not atom71 :- atom6, not atom51.
not atom46 > atom46 :- not atom5, not atom51.
atom46 > not atom46 :- atom5, not atom51.
not atom86 > atom86 :- not atom9, not atom51.
atom86 > not atom86 :- atom9, not atom51.
atom43 > not atom43 :- not atom5, not atom51.
atom43 > not atom43 :- atom5, not atom51.
not atom69 > atom69 :- not atom5, not atom51.
atom69 > not atom69 :- atom5, not atom51.
atom37 > not atom37 :- not atom5, not atom51.
not atom37 > atom37 :- atom5, not atom51.
atom4 > not atom4 :- not atom9, not atom51.
atom4 > not atom4 :- atom9, not atom51.
not atom12 > atom12 :- not atom6, not atom51.
atom12 > not atom12 :- atom6, not atom51.
not atom82 > atom82 :- not atom4, not atom51.
atom82 > not atom82 :- atom4, not atom51.
not atom56 > atom56 :- not atom4, not atom51.
atom56 > not atom56 :- atom4, not atom51.
atom13 > not atom13 :- not atom4, not atom51.
atom13 > not atom13 :- atom4, not atom51.
not atom8 > atom8 :- not atom5, not atom51.
atom8 > not atom8 :- atom5, not atom51.
not atom11 > atom11 :- not atom8, not atom51.
not atom11 > atom11 :- atom8, not atom51.
atom2 > not atom2 :- not atom4, not atom51.
not atom2 > atom2 :- atom4, not atom51.
not atom10 > atom10 :- not atom2, not atom51.
atom10 > not atom10 :- atom2, not atom51.
atom35 > not atom35 :- not atom2, not atom51.
not atom35 > atom35 :- atom2, not atom51.
atom29 > not atom29 :- not atom4, not atom51.
not atom29 > atom29 :- atom4, not atom51.
not atom38 > atom38 :- not atom2, not atom51.
not atom38 > atom38 :- atom2, not atom51.
not atom40 > atom40 :- not atom2, not atom51.
atom40 > not atom40 :- atom2, not atom51.
not atom52 > atom52 :- not atom9, not atom51.
atom52 > not atom52 :- atom9, not atom51.
not atom72 > atom72 :- not atom2, not atom51.
atom72 > not atom72 :- atom2, not atom51.
atom25 > not atom25 :- not atom4, not atom51.
not atom25 > atom25 :- atom4, not atom51.
not atom50 > atom50 :- not atom2, not atom51.
not atom50 > atom50 :- atom2, not atom51.
not atom27 > atom27 :- not atom2, not atom51.
not atom27 > atom27 :- atom2, not atom51.
not atom20 > atom20 :- not atom2, not atom51.
not atom20 > atom20 :- atom2, not atom51.
not atom28 > atom28 :- not atom2, not atom51.
not atom28 > atom28 :- atom2, not atom51.
atom80 > not atom80 :- not atom2, not atom51.
atom80 > not atom80 :- atom2, not atom51.
not atom53 > atom53 :- not atom2, not atom51.
atom53 > not atom53 :- atom2, not atom51.
not atom55 > atom55 :- not atom2, not atom51.
not atom55 > atom55 :- atom2, not atom51.
not atom73 > atom73 :- not atom5, not atom51.
atom73 > not atom73 :- atom5, not atom51.
atom48 > not atom48 :- not atom2, not atom51.
atom48 > not atom48 :- atom2, not atom51.
not atom49 > atom49 :- not atom2, not atom51.
atom49 > not atom49 :- atom2, not atom51.
atom66 > not atom66 :- not atom2, not atom51.
not atom66 > atom66 :- atom2, not atom51.
not atom7 > atom7 :- not atom5, not atom51.
atom7 > not atom7 :- atom5, not atom51.
atom81 > not atom81 :- not atom6, not atom51.
