atom62 > not atom62.
not atom54 > atom54 :- not atom62.
atom50 > not atom50 :- not atom54, not atom62.
atom50 > not atom50 :- atom54, not atom62.
not atom33 > atom33 :- not atom50, not atom62.
atom33 > not atom33 :- atom50, not atom62.
atom71 > not atom71 :- not atom62.
not atom7 > atom7 :- not atom33, not atom62.
atom7 > not atom7 :- atom33, not atom62.
atom25 > not atom25 :- not atom7, not atom62.
not atom25 > atom25 :- atom7, not atom62.
atom69 > not atom69 :- not atom62.
not atom63 > atom63 :- not atom7, not atom62.
not atom63 > atom63 :- atom7, not atom62.
not atom86 > atom86 :- not atom33, not atom62.
not atom86 > atom86 :- atom33, not atom62.
atom11 > not atom11 :- not atom7, not atom62.
atom11 > not atom11 :- atom7, not atom62.
not atom26 > atom26 :- not atom25, not atom62.
atom26 > not atom26 :- atom25, not atom62.
not atom6 > atom6 :- not atom7, not atom62.
atom6 > not atom6 :- atom7, not atom62.
atom21 > not atom21 :- not atom11, not atom62.
not atom21 > atom21 :- atom11, not atom62.
not atom78 > atom78 :- not atom6, not atom62.
not atom78 > atom78 :- atom6, not atom62.
atom81 > not atom81 :- not atom6, not atom62.
atom81 > not atom81 :- atom6, not atom62.
not atom14 > atom14 :- not atom7, not atom62.
atom14 > not atom14 :- atom7, not atom62.
atom51 > not atom51 :- not atom7, not atom62.
atom51 > not atom51 :- atom7, not atom62.
not atom30 > atom30 :- not atom6, not atom62.
atom30 > not atom30 :- atom6, not atom62.
atom60 > not atom60 :- not atom7, not atom62.
not atom60 > atom60 :- atom7, not atom62.
atom27 > not atom27 :- not atom11, not atom62.
atom27 > not atom27 :- atom11, not atom62.
atom66 > not atom66 :- not atom6, not atom62.
atom66 > not atom66 :- atom6, not atom62.
not atom79 > atom79 :- not atom7, not atom62.
atom79 > not atom79 :- atom7, not atom62.
not atom42 > atom42 :- not atom7, not atom62.
atom42 > not atom42 :- atom7, not atom62.
atom76 > not atom76 :- not atom11, not atom62.
atom76 > not atom76 :- atom11, not atom62.
atom4 > not atom4 :- not atom6, not atom62.
atom4 > not atom4 :- atom6, not atom62.
atom23 > not atom23 :- not atom6, not atom62.
atom23 > not atom23 :- atom6, not atom62.
atom20 > not atom20 :- not atom4, not atom62.
not atom20 > atom20 :- atom4, not atom62.
not atom31 > atom31 :- not atom4, not atom62.
atom31 > not atom31 :- atom4, not atom62.
not atom8 > atom8 :- not atom6, not atom62.
not atom8 > atom8 :- atom6, not atom62.
not atom48 > atom48 :- not atom7, not atom62.
not atom48 > atom48 :- atom7, not atom62.
atom17 > not atom17 :- not atom4, not atom62.
not atom17 > atom17 :- atom4, not atom62.
not atom9 > atom9 :- not atom4, not atom62.
atom9 > not atom9 :- atom4, not atom62.
atom5 > not atom5 :- not atom4, not atom62.
not atom5 > atom5 :- atom4, not atom62.
not atom80 > atom80 :- not atom4, not atom62.
not atom80 > atom80 :- atom4, not atom62.
atom46 > not atom46 :- not atom4, not atom62.
atom46 > not atom46 :- atom4, not atom62.
atom34 > not atom34 :- not atom4, not atom62.
not atom34 > atom34 :- atom4, not atom62.
not atom40 > atom40 :- not atom6, not atom62.
not atom40 > atom40 :- atom6, not atom62.
not atom2 > atom2 :- not atom4, not atom62.
atom2 > not atom2 :- atom4, not atom62.
atom44 > not atom44 :- not atom5, not atom62.
atom44 > not atom44 :- atom5, not atom62.
atom16 > not atom16 :- not atom4, not atom62.
not atom16 > atom16 :- atom4, not atom62.
not atom70 > atom70 :- not atom2, not atom62.
atom70 > not atom70 :- atom2, not atom62.
atom12 > not atom12 :- not atom2, not atom62.
not atom12 > atom12 :- atom2, not atom62.
not atom68 > atom68 :- not atom4, not atom62.
atom68 > not atom68 :- atom4, not atom62.
atom77 > not atom77 :- not atom4, not atom62.
not atom77 > atom77 :- atom4, not atom62.
atom67 > not atom67 :- not atom4, not atom62.
not atom67 > atom67 :- atom4, not atom62.
atom24 > not atom24 :- not atom4, not atom62.
not atom24 > atom24 :- atom4, not atom62.
not atom37 > atom37 :- not atom2, not atom62.
atom37 > not atom37 :- atom2, not atom62.
not atom36 > atom36 :- not atom2, not atom62.
atom36 > not atom36 :- atom2, not atom62.
not atom35 > atom35 :- not atom4, not atom62.
not atom35 > atom35 :- atom4, not atom62.
atom47 > not atom47 :- not atom2, not atom62.
atom47 > not atom47 :- atom2, not atom62.
atom75 > not atom75 :- not atom4, not atom62.
not atom75 > atom75 :- atom4, not atom62.
not atom65 > atom65 :- not atom2, not atom62.
atom65 > not atom65 :- atom2, not atom62.
atom90 > not atom90 :- not atom2, not atom62.
not atom90 > atom90 :- atom2, not atom62.
atom18 > not atom18 :- not atom2, not atom62.
not atom18 > atom18 :- atom2, not atom62.
not atom28 > atom28 :- not atom2, not atom62.
not atom28 > atom28 :- atom2, not atom62.
atom83 > not atom83 :- not atom2, not atom62.
atom83 > not atom83 :- atom2, not atom62.
atom53 > not atom53 :- not atom2, not atom62.
not atom53 > atom53 :- atom2, not atom62.
atom89 > not atom89 :- not atom4, not atom62.
atom89 > not atom89 :- atom4, not atom62.
not atom15 > atom15 :- not atom2, not atom62.
atom15 > not atom15 :- atom2, not atom62.
not atom88 > atom88 :- not atom5, not atom62.
atom88 > not atom88 :- atom5, not atom62.
not atom57 > atom57 :- not atom2, not atom62.
atom57 > not atom57 :- atom2, not atom62.
not atom61 > atom61 :- not atom2, not atom62.
not atom61 > atom61 :- atom2, not atom62.
not atom10 > atom10 :- not atom2, not atom62.
atom10 > not atom10 :- atom2, not atom62.
atom56 > not atom56 :- not atom2, not atom62.
not atom56 > atom56 :- atom2, not atom62.
atom87 > not atom87 :- not atom4, not atom62.
not atom87 > atom87 :- atom4, not atom62.
not atom19 > atom19 :- not atom2, not atom62.
not atom19 > atom19 :- atom2, not atom62.
not atom41 > atom41 :- not atom5, not atom62.
atom41 > not atom41 :- atom5, not atom62.
not atom39 > atom39 :- not atom2, not atom62.
atom39 > not atom39 :- atom2, not atom62.
