not atom12 > atom12.
not atom39 > atom39.
not atom2 > atom2 :- not atom12.
atom2 > not atom2 :- atom12.
atom76 > not atom76.
atom61 > not atom61 :- not atom12, atom76.
atom61 > not atom61 :- atom12, atom76.
atom51 > not atom51 :- not atom12, atom76.
not atom51 > atom51 :- atom12, atom76.
atom85 > not atom85 :- not atom2, atom76.
atom85 > not atom85 :- atom2, atom76.
not atom70 > atom70 :- not atom2, atom76.
atom70 > not atom70 :- atom2, atom76.
atom36 > not atom36 :- not atom2, atom76.
atom36 > not atom36 :- atom2, atom76.
atom9 > not atom9 :- not atom36, atom76.
not atom9 > atom9 :- atom36, atom76.
atom17 > not atom17 :- not atom2, atom76.
atom17 > not atom17 :- atom2, atom76.
not atom54 > atom54 :- not atom36, atom76.
atom54 > not atom54 :- atom36, atom76.
not atom11 > atom11 :- not atom2, atom76.
atom11 > not atom11 :- atom2, atom76.
not atom4 > atom4 :- not atom2, atom76.
atom4 > not atom4 :- atom2, atom76.
not atom73 > atom73 :- not atom4, atom76.
atom73 > not atom73 :- atom4, atom76.
not atom48 > atom48 :- not atom4, atom76.
atom48 > not atom48 :- atom4, atom76.
not atom30 > atom30 :- not atom2, atom76.
atom30 > not atom30 :- atom2, atom76.
atom37 > not atom37 :- not atom2, atom76.
atom37 > not atom37 :- atom2, atom76.
atom87 > not atom87 :- not atom4, atom76.
not atom87 > atom87 :- atom4, atom76.
not atom35 > atom35 :- not atom2, atom76.
not atom35 > atom35 :- atom2, atom76.
atom65 > not atom65 :- not atom4, atom76.
atom65 > not atom65 :- atom4, atom76.
atom66 > not atom66 :- not atom2, atom76.
not atom66 > atom66 :- atom2, atom76.
atom1 > not atom1 :- not atom2, atom76.
not atom1 > atom1 :- atom2, atom76.
not atom27 > atom27 :- not atom12, atom76.
not atom27 > atom27 :- atom12, atom76.
not atom6 > atom6 :- not atom1, atom76.
not atom6 > atom6 :- atom1, atom76.
not atom80 > atom80 :- not atom1, atom76.
not atom80 > atom80 :- atom1, atom76.
not atom13 > atom13 :- not atom2, atom76.
atom13 > not atom13 :- atom2, atom76.
not atom69 > atom69 :- not atom4, atom76.
atom69 > not atom69 :- atom4, atom76.
not atom34 > atom34 :- not atom6, atom76.
not atom34 > atom34 :- atom6, atom76.
not atom50 > atom50 :- not atom2, atom76.
atom50 > not atom50 :- atom2, atom76.
atom63 > not atom63 :- not atom1, atom76.
atom63 > not atom63 :- atom1, atom76.
not atom56 > atom56 :- not atom2, atom76.
atom56 > not atom56 :- atom2, atom76.
atom89 > not atom89 :- not atom2, atom76.
atom89 > not atom89 :- atom2, atom76.
atom68 > not atom68 :- not atom1, atom76.
not atom68 > atom68 :- atom1, atom76.
not atom28 > atom28 :- not atom4, atom76.
atom28 > not atom28 :- atom4, atom76.
atom18 > not atom18 :- not atom1, atom76.
not atom18 > atom18 :- atom1, atom76.
not atom45 > atom45 :- not atom1, atom76.
atom45 > not atom45 :- atom1, atom76.
not atom24 > atom24 :- not atom4, atom76.
atom24 > not atom24 :- atom4, atom76.
atom15 > not atom15 :- not atom2, atom76.
atom15 > not atom15 :- atom2, atom76.
not atom10 > atom10 :- not atom6, atom76.
atom10 > not atom10 :- atom6, atom76.
not atom58 > atom58 :- not atom1, atom76.
not atom58 > atom58 :- atom1, atom76.
atom46 > not atom46 :- not atom1, atom76.
atom46 > not atom46 :- atom1, atom76.
atom74 > not atom74 :- not atom2, atom76.
not atom74 > atom74 :- atom2, atom76.
not atom19 > atom19 :- not atom2, atom76.
not atom19 > atom19 :- atom2, atom76.
not atom22 > atom22 :- not atom2, atom76.
atom22 > not atom22 :- atom2, atom76.
not atom59 > atom59 :- not atom6, atom76.
atom59 > not atom59 :- atom6, atom76.
atom7 > not atom7 :- not atom11, atom76.
not atom7 > atom7 :- atom11, atom76.
not atom42 > atom42 :- not atom1, atom76.
atom42 > not atom42 :- atom1, atom76.
atom52 > not atom52 :- not atom1, atom76.
