not atom21 > atom21.
not atom51 > atom51 :- atom21.
not atom14 > atom14 :- not atom51, atom21.
not atom14 > atom14 :- atom51, atom21.
not atom74 > atom74 :- not atom51, atom21.
atom74 > not atom74 :- atom51, atom21.
atom38 > not atom38 :- not atom51, atom21.
not atom38 > atom38 :- atom51, atom21.
atom9 > not atom9 :- not atom51, atom21.
not atom9 > atom9 :- atom51, atom21.
not atom65 > atom65 :- not atom38, atom21.
not atom65 > atom65 :- atom38, atom21.
atom56 > not atom56 :- not atom9, atom21.
atom56 > not atom56 :- atom9, atom21.
not atom20 > atom20 :- not atom9, atom21.
atom20 > not atom20 :- atom9, atom21.
not atom79 > atom79 :- not atom14, atom21.
atom79 > not atom79 :- atom14, atom21.
atom23 > not atom23 :- not atom9, atom21.
not atom23 > atom23 :- atom9, atom21.
atom34 > not atom34 :- not atom20, atom21.
not atom34 > atom34 :- atom20, atom21.
not atom59 > atom59 :- not atom14, atom21.
not atom59 > atom59 :- atom14, atom21.
atom28 > not atom28 :- not atom9, atom21.
not atom28 > atom28 :- atom9, atom21.
not atom87 > atom87 :- not atom9, atom21.
atom87 > not atom87 :- atom9, atom21.
atom49 > not atom49 :- not atom14, atom21.
not atom49 > atom49 :- atom14, atom21.
not atom4 > atom4 :- not atom9, atom21.
atom4 > not atom4 :- atom9, atom21.
not atom16 > atom16 :- not atom9, atom21.
atom16 > not atom16 :- atom9, atom21.
atom83 > not atom83 :- not atom4, atom21.
atom83 > not atom83 :- atom4, atom21.
atom50 > not atom50 :- not atom9, atom21.
not atom50 > atom50 :- atom9, atom21.
not atom73 > atom73 :- not atom4, atom21.
atom73 > not atom73 :- atom4, atom21.
atom80 > not atom80 :- not atom14, atom21.
atom80 > not atom80 :- atom14, atom21.
atom36 > not atom36 :- not atom14, atom21.
not atom36 > atom36 :- atom14, atom21.
not atom77 > atom77 :- not atom4, atom21.
not atom77 > atom77 :- atom4, atom21.
not atom55 > atom55 :- not atom14, atom21.
atom55 > not atom55 :- atom14, atom21.
atom44 > not atom44 :- not atom9, atom21.
not atom44 > atom44 :- atom9, atom21.
not atom69 > atom69 :- not atom9, atom21.
atom69 > not atom69 :- atom9, atom21.
atom39 > not atom39 :- not atom4, atom21.
atom39 > not atom39 :- atom4, atom21.
atom30 > not atom30 :- not atom9, atom21.
not atom30 > atom30 :- atom9, atom21.
not atom15 > atom15 :- not atom9, atom21.
not atom15 > atom15 :- atom9, atom21.
atom32 > not atom32 :- not atom4, atom21.
atom32 > not atom32 :- atom4, atom21.
atom17 > not atom17 :- not atom9, atom21.
not atom17 > atom17 :- atom9, atom21.
not atom54 > atom54 :- not atom9, atom21.
atom54 > not atom54 :- atom9, atom21.
atom85 > not atom85 :- not atom14, atom21.
atom85 > not atom85 :- atom14, atom21.
not atom8 > atom8 :- not atom14, atom21.
not atom8 > atom8 :- atom14, atom21.
not atom82 > atom82 :- not atom4, atom21.
atom82 > not atom82 :- atom4, atom21.
not atom88 > atom88 :- not atom4, atom21.
not atom88 > atom88 :- atom4, atom21.
not atom64 > atom64 :- not atom8, atom21.
not atom64 > atom64 :- atom8, atom21.
atom48 > not atom48 :- not atom4, atom21.
atom48 > not atom48 :- atom4, atom21.
atom10 > not atom10 :- not atom16, atom21.
not atom10 > atom10 :- atom16, atom21.
atom13 > not atom13 :- not atom8, atom21.
not atom13 > atom13 :- atom8, atom21.
not atom31 > atom31 :- not atom10, atom21.
atom31 > not atom31 :- atom10, atom21.
not atom71 > atom71 :- not atom8, atom21.
atom71 > not atom71 :- atom8, atom21.
not atom11 > atom11 :- not atom4, atom21.
atom11 > not atom11 :- atom4, atom21.
atom29 > not atom29 :- not atom8, atom21.
not atom29 > atom29 :- atom8, atom21.
atom52 > not atom52 :- not atom9, atom21.
not atom52 > atom52 :- atom9, atom21.
not atom62 > atom62 :- not atom4, atom21.
atom62 > not atom62 :- atom4, atom21.
not atom1 > atom1 :- not atom4, atom21.
not atom1 > atom1 :- atom4, atom21.
not atom7 > atom7 :- not atom1, atom21.
atom7 > not atom7 :- atom1, atom21.
not atom24 > atom24 :- not atom9, atom21.
atom24 > not atom24 :- atom9, atom21.
atom25 > not atom25 :- not atom1, atom21.
atom25 > not atom25 :- atom1, atom21.
not atom58 > atom58 :- not atom1, atom21.
atom58 > not atom58 :- atom1, atom21.
not atom35 > atom35 :- not atom4, atom21.
not atom35 > atom35 :- atom4, atom21.
atom86 > not atom86 :- not atom8, atom21.
not atom86 > atom86 :- atom8, atom21.
not atom68 > atom68 :- not atom7, atom21.
atom68 > not atom68 :- atom7, atom21.
not atom46 > atom46 :- not atom1, atom21.
not atom46 > atom46 :- atom1, atom21.
atom12 > not atom12 :- not atom1, atom21.
atom12 > not atom12 :- atom1, atom21.
not atom63 > atom63 :- not atom1, atom21.
not atom63 > atom63 :- atom1, atom21.
not atom90 > atom90 :- not atom7, atom21.
not atom90 > atom90 :- atom7, atom21.
atom40 > not atom40 :- not atom4, atom21.
not atom40 > atom40 :- atom4, atom21.
not atom19 > atom19 :- not atom4, atom21.
atom19 > not atom19 :- atom4, atom21.
atom42 > not atom42 :- not atom4, atom21.
not atom42 > atom42 :- atom4, atom21.
not atom2 > atom2 :- not atom4, atom21.
atom2 > not atom2 :- atom4, atom21.
not atom18 > atom18 :- not atom1, atom21.
atom18 > not atom18 :- atom1, atom21.
atom70 > not atom70 :- not atom7, atom21.
not atom70 > atom70 :- atom7, atom21.
atom78 > not atom78 :- not atom4, atom21.
atom78 > not atom78 :- atom4, atom21.
not atom6 > atom6 :- not atom8, atom21.
not atom6 > atom6 :- atom8, atom21.
atom61 > not atom61 :- not atom1, atom21.
atom61 > not atom61 :- atom1, atom21.
atom47 > not atom47 :- not atom1, atom21.
not atom47 > atom47 :- atom1, atom21.
atom57 > not atom57 :- not atom1, atom21.
not atom57 > atom57 :- atom1, atom21.
atom37 > not atom37 :- not atom2, atom21.
not atom37 > atom37 :- atom2, atom21.
not atom45 > atom45 :- not atom2, atom21.
not atom45 > atom45 :- atom2, atom21.
atom26 > not atom26 :- not atom2, atom21.
not atom26 > atom26 :- atom2, atom21.
not atom81 > atom81 :- not atom1, atom21.
not atom81 > atom81 :- atom1, atom21.
atom33 > not atom33 :- not atom2, atom21.
atom33 > not atom33 :- atom2, atom21.
not atom53 > atom53 :- not atom1, atom21.
not atom53 > atom53 :- atom1, atom21.
atom89 > not atom89 :- not atom2, atom21.
not atom89 > atom89 :- atom2, atom21.
atom41 > not atom41 :- not atom2, atom21.
not atom41 > atom41 :- atom2, atom21.
not atom43 > atom43 :- not atom6, atom21.
not atom43 > atom43 :- atom6, atom21.
not atom3 > atom3 :- not atom2, atom21.
atom3 > not atom3 :- atom2, atom21.
not atom75 > atom75 :- not atom1, atom21.
atom75 > not atom75 :- atom1, atom21.
not atom60 > atom60 :- not atom1, atom21.
atom60 > not atom60 :- atom1, atom21.
atom27 > not atom27 :- not atom1, atom21.
not atom27 > atom27 :- atom1, atom21.
atom66 > not atom66 :- not atom1, atom21.
not atom66 > atom66 :- atom1, atom21.
not atom84 > atom84 :- not atom2, atom21.
atom84 > not atom84 :- atom2, atom21.
atom22 > not atom22 :- not atom6, atom21.
not atom22 > atom22 :- atom6, atom21.
not atom72 > atom72 :- not atom1, atom21.
atom72 > not atom72 :- atom1, atom21.
atom76 > not atom76 :- not atom1, atom21.
atom76 > not atom76 :- atom1, atom21.
not atom5 > atom5 :- not atom1, atom21.
atom5 > not atom5 :- atom1, atom21.
not atom67 > atom67 :- not atom1, atom21.
not atom67 > atom67 :- atom1, atom21.
not atom11 > atom11 :- not atom21.
not atom33 > atom33 :- not atom11, not atom21.
atom33 > not atom33 :- atom11, not atom21.
not atom46 > atom46 :- not atom21.
not atom4 > atom4 :- not atom11, not atom21.
atom4 > not atom4 :- atom11, not atom21.
atom72 > not atom72 :- not atom4, not atom21.
atom72 > not atom72 :- atom4, not atom21.
atom53 > not atom53 :- not atom4, not atom21.
not atom53 > atom53 :- atom4, not atom21.
atom27 > not atom27 :- not atom4, not atom21.
atom27 > not atom27 :- atom4, not atom21.
atom50 > not atom50 :- not atom33, not atom21.
not atom50 > atom50 :- atom33, not atom21.
not atom1 > atom1 :- not atom11, not atom21.
not atom1 > atom1 :- atom11, not atom21.
