not atom67 > atom67.
atom20 > not atom20.
atom10 > not atom10 :- not atom67, not atom20.
not atom10 > atom10 :- atom67, not atom20.
not atom16 > atom16 :- not atom10, not atom20.
not atom16 > atom16 :- atom10, not atom20.
atom79 > not atom79 :- not atom10, not atom20.
atom79 > not atom79 :- atom10, not atom20.
atom55 > not atom55 :- not atom10, not atom20.
not atom55 > atom55 :- atom10, not atom20.
atom41 > not atom41 :- not atom16, not atom20.
atom41 > not atom41 :- atom16, not atom20.
atom85 > not atom85 :- not atom41, not atom20.
atom85 > not atom85 :- atom41, not atom20.
not atom4 > atom4 :- not atom16, not atom20.
not atom4 > atom4 :- atom16, not atom20.
atom34 > not atom34 :- not atom55, not atom20.
not atom34 > atom34 :- atom55, not atom20.
not atom70 > atom70 :- not atom4, not atom20.
atom70 > not atom70 :- atom4, not atom20.
not atom12 > atom12 :- not atom4, not atom20.
not atom12 > atom12 :- atom4, not atom20.
atom84 > not atom84 :- not atom16, not atom20.
atom84 > not atom84 :- atom16, not atom20.
atom56 > not atom56 :- not atom4, not atom20.
not atom56 > atom56 :- atom4, not atom20.
not atom64 > atom64 :- not atom10, not atom20.
atom64 > not atom64 :- atom10, not atom20.
not atom13 > atom13 :- not atom4, not atom20.
not atom13 > atom13 :- atom4, not atom20.
not atom1 > atom1 :- not atom4, not atom20.
not atom1 > atom1 :- atom4, not atom20.
not atom23 > atom23 :- not atom1, not atom20.
atom23 > not atom23 :- atom1, not atom20.
atom33 > not atom33 :- not atom4, not atom20.
atom33 > not atom33 :- atom4, not atom20.
atom17 > not atom17 :- not atom13, not atom20.
not atom17 > atom17 :- atom13, not atom20.
not atom5 > atom5 :- not atom4, not atom20.
not atom5 > atom5 :- atom4, not atom20.
not atom52 > atom52 :- not atom1, not atom20.
atom52 > not atom52 :- atom1, not atom20.
not atom72 > atom72 :- not atom10, not atom20.
atom72 > not atom72 :- atom10, not atom20.
atom59 > not atom59 :- not atom1, not atom20.
not atom59 > atom59 :- atom1, not atom20.
not atom62 > atom62 :- not atom12, not atom20.
atom62 > not atom62 :- atom12, not atom20.
atom83 > not atom83 :- not atom1, not atom20.
not atom83 > atom83 :- atom1, not atom20.
atom81 > not atom81 :- not atom1, not atom20.
atom81 > not atom81 :- atom1, not atom20.
atom18 > not atom18 :- not atom4, not atom20.
not atom18 > atom18 :- atom4, not atom20.
not atom69 > atom69 :- not atom4, not atom20.
atom69 > not atom69 :- atom4, not atom20.
not atom82 > atom82 :- not atom4, not atom20.
atom82 > not atom82 :- atom4, not atom20.
atom65 > not atom65 :- not atom4, not atom20.
atom65 > not atom65 :- atom4, not atom20.
not atom88 > atom88 :- not atom4, not atom20.
atom88 > not atom88 :- atom4, not atom20.
atom40 > not atom40 :- not atom1, not atom20.
atom40 > not atom40 :- atom1, not atom20.
atom77 > not atom77 :- not atom4, not atom20.
not atom77 > atom77 :- atom4, not atom20.
not atom74 > atom74 :- not atom1, not atom20.
atom74 > not atom74 :- atom1, not atom20.
not atom63 > atom63 :- not atom5, not atom20.
not atom63 > atom63 :- atom5, not atom20.
atom61 > not atom61 :- not atom5, not atom20.
not atom61 > atom61 :- atom5, not atom20.
not atom87 > atom87 :- not atom4, not atom20.
atom87 > not atom87 :- atom4, not atom20.
not atom6 > atom6 :- not atom1, not atom20.
atom6 > not atom6 :- atom1, not atom20.
atom76 > not atom76 :- not atom1, not atom20.
not atom76 > atom76 :- atom1, not atom20.
not atom58 > atom58 :- not atom1, not atom20.
atom58 > not atom58 :- atom1, not atom20.
atom47 > not atom47 :- not atom4, not atom20.
not atom47 > atom47 :- atom4, not atom20.
not atom27 > atom27 :- not atom1, not atom20.
atom27 > not atom27 :- atom1, not atom20.
atom68 > not atom68 :- not atom4, not atom20.
atom68 > not atom68 :- atom4, not atom20.
not atom25 > atom25 :- not atom4, not atom20.
not atom25 > atom25 :- atom4, not atom20.
atom26 > not atom26 :- not atom6, not atom20.
not atom26 > atom26 :- atom6, not atom20.
atom78 > not atom78 :- not atom6, not atom20.
not atom78 > atom78 :- atom6, not atom20.
atom8 > not atom8 :- not atom1, not atom20.
atom8 > not atom8 :- atom1, not atom20.
atom66 > not atom66 :- not atom1, not atom20.
atom66 > not atom66 :- atom1, not atom20.
not atom48 > atom48 :- not atom4, not atom20.
atom48 > not atom48 :- atom4, not atom20.
atom44 > not atom44 :- not atom1, not atom20.
not atom44 > atom44 :- atom1, not atom20.
not atom2 > atom2 :- not atom8, not atom20.
not atom2 > atom2 :- atom8, not atom20.
not atom32 > atom32 :- not atom1, not atom20.
not atom32 > atom32 :- atom1, not atom20.
atom21 > not atom21 :- not atom2, not atom20.
atom21 > not atom21 :- atom2, not atom20.
not atom35 > atom35 :- not atom4, not atom20.
not atom35 > atom35 :- atom4, not atom20.
not atom49 > atom49 :- not atom1, not atom20.
atom49 > not atom49 :- atom1, not atom20.
not atom37 > atom37 :- not atom1, not atom20.
atom37 > not atom37 :- atom1, not atom20.
not atom30 > atom30 :- not atom1, not atom20.
not atom30 > atom30 :- atom1, not atom20.
not atom11 > atom11 :- not atom2, not atom20.
not atom11 > atom11 :- atom2, not atom20.
atom80 > not atom80 :- not atom1, not atom20.
