not atom63 > atom63.
atom8 > not atom8 :- not atom63.
atom8 > not atom8 :- atom63.
not atom1 > atom1.
not atom74 > atom74 :- not atom63.
atom74 > not atom74 :- atom63.
atom76 > not atom76 :- not atom1.
not atom76 > atom76 :- atom1.
not atom69 > atom69 :- not atom1, not atom76.
not atom69 > atom69 :- atom1, not atom76.
not atom88 > atom88 :- not atom1, not atom76.
not atom88 > atom88 :- atom1, not atom76.
atom72 > not atom72 :- not atom63, not atom76.
atom72 > not atom72 :- atom63, not atom76.
atom81 > not atom81 :- not atom8, not atom76.
not atom81 > atom81 :- atom8, not atom76.
not atom18 > atom18 :- not atom1, not atom76.
not atom18 > atom18 :- atom1, not atom76.
not atom62 > atom62 :- not atom1, not atom76.
atom62 > not atom62 :- atom1, not atom76.
atom44 > not atom44 :- not atom18, not atom76.
not atom44 > atom44 :- atom18, not atom76.
atom15 > not atom15 :- not atom18, not atom76.
not atom15 > atom15 :- atom18, not atom76.
not atom86 > atom86 :- not atom1, not atom76.
atom86 > not atom86 :- atom1, not atom76.
not atom73 > atom73 :- not atom8, not atom76.
not atom73 > atom73 :- atom8, not atom76.
atom47 > not atom47 :- not atom8, not atom76.
not atom47 > atom47 :- atom8, not atom76.
not atom5 > atom5 :- not atom15, not atom76.
not atom5 > atom5 :- atom15, not atom76.
not atom71 > atom71 :- not atom5, not atom76.
not atom71 > atom71 :- atom5, not atom76.
not atom34 > atom34 :- not atom1, not atom76.
atom34 > not atom34 :- atom1, not atom76.
not atom43 > atom43 :- not atom1, not atom76.
atom43 > not atom43 :- atom1, not atom76.
atom20 > not atom20 :- not atom8, not atom76.
atom20 > not atom20 :- atom8, not atom76.
not atom41 > atom41 :- not atom1, not atom76.
atom41 > not atom41 :- atom1, not atom76.
not atom46 > atom46 :- not atom5, not atom76.
not atom46 > atom46 :- atom5, not atom76.
not atom13 > atom13 :- not atom5, not atom76.
atom13 > not atom13 :- atom5, not atom76.
not atom79 > atom79 :- not atom1, not atom76.
not atom79 > atom79 :- atom1, not atom76.
not atom36 > atom36 :- not atom1, not atom76.
atom36 > not atom36 :- atom1, not atom76.
not atom82 > atom82 :- not atom1, not atom76.
atom82 > not atom82 :- atom1, not atom76.
not atom84 > atom84 :- not atom1, not atom76.
atom84 > not atom84 :- atom1, not atom76.
not atom83 > atom83 :- not atom1, not atom76.
atom83 > not atom83 :- atom1, not atom76.
not atom75 > atom75 :- not atom1, not atom76.
not atom75 > atom75 :- atom1, not atom76.
not atom54 > atom54 :- not atom5, not atom76.
atom54 > not atom54 :- atom5, not atom76.
atom42 > not atom42 :- not atom1, not atom76.
not atom42 > atom42 :- atom1, not atom76.
not atom61 > atom61 :- not atom5, not atom76.
atom61 > not atom61 :- atom5, not atom76.
atom38 > not atom38 :- not atom5, not atom76.
not atom38 > atom38 :- atom5, not atom76.
atom52 > not atom52 :- not atom5, not atom76.
not atom52 > atom52 :- atom5, not atom76.
not atom19 > atom19 :- not atom15, not atom76.
atom19 > not atom19 :- atom15, not atom76.
