not atom29 > atom29.
atom62 > not atom62 :- not atom29.
not atom62 > atom62 :- atom29.
not atom12 > atom12 :- not atom62.
atom74 > not atom74 :- not atom12, not atom62.
not atom74 > atom74 :- atom12, not atom62.
atom49 > not atom49 :- not atom12, not atom62.
not atom49 > atom49 :- atom12, not atom62.
not atom36 > atom36 :- not atom12, not atom62.
not atom36 > atom36 :- atom12, not atom62.
atom7 > not atom7 :- not atom29, not atom62.
atom7 > not atom7 :- atom29, not atom62.
atom59 > not atom59 :- not atom12, not atom62.
not atom59 > atom59 :- atom12, not atom62.
not atom9 > atom9 :- not atom7, not atom62.
atom9 > not atom9 :- atom7, not atom62.
atom1 > not atom1 :- not atom9, not atom62.
not atom1 > atom1 :- atom9, not atom62.
atom5 > not atom5 :- not atom9, not atom62.
not atom5 > atom5 :- atom9, not atom62.
atom80 > not atom80 :- not atom9, not atom62.
atom80 > not atom80 :- atom9, not atom62.
atom42 > not atom42 :- not atom1, not atom62.
atom42 > not atom42 :- atom1, not atom62.
atom51 > not atom51 :- not atom1, not atom62.
not atom51 > atom51 :- atom1, not atom62.
atom50 > not atom50 :- not atom7, not atom62.
not atom50 > atom50 :- atom7, not atom62.
atom24 > not atom24 :- not atom1, not atom62.
not atom24 > atom24 :- atom1, not atom62.
not atom3 > atom3 :- not atom1, not atom62.
not atom3 > atom3 :- atom1, not atom62.
not atom63 > atom63 :- not atom3, not atom62.
not atom63 > atom63 :- atom3, not atom62.
not atom21 > atom21 :- not atom1, not atom62.
not atom21 > atom21 :- atom1, not atom62.
atom82 > not atom82 :- not atom5, not atom62.
not atom82 > atom82 :- atom5, not atom62.
not atom35 > atom35 :- not atom1, not atom62.
not atom35 > atom35 :- atom1, not atom62.
not atom39 > atom39 :- not atom5, not atom62.
not atom39 > atom39 :- atom5, not atom62.
atom53 > not atom53 :- not atom3, not atom62.
not atom53 > atom53 :- atom3, not atom62.
not atom17 > atom17 :- not atom1, not atom62.
atom17 > not atom17 :- atom1, not atom62.
atom33 > not atom33 :- not atom3, not atom62.
atom33 > not atom33 :- atom3, not atom62.
