atom82 > not atom82.
not atom15 > atom15.
atom13 > not atom13.
atom45 > not atom45.
atom29 > not atom29 :- not atom13.
not atom29 > atom29 :- atom13.
atom33 > not atom33 :- not atom13.
not atom33 > atom33 :- atom13.
not atom57 > atom57 :- not atom29, atom33.
not atom57 > atom57 :- atom29, atom33.
atom34 > not atom34 :- not atom13, atom33.
not atom34 > atom34 :- atom13, atom33.
not atom5 > atom5 :- not atom13, atom33.
atom5 > not atom5 :- atom13, atom33.
atom75 > not atom75 :- not atom45, atom33.
not atom75 > atom75 :- atom45, atom33.
not atom3 > atom3 :- not atom5, atom33.
not atom3 > atom3 :- atom5, atom33.
not atom47 > atom47 :- not atom5, atom33.
not atom47 > atom47 :- atom5, atom33.
not atom42 > atom42 :- not atom5, atom33.
not atom42 > atom42 :- atom5, atom33.
not atom79 > atom79 :- not atom3, atom33.
atom79 > not atom79 :- atom3, atom33.
not atom86 > atom86 :- not atom3, atom33.
atom86 > not atom86 :- atom3, atom33.
not atom53 > atom53 :- not atom3, atom33.
not atom53 > atom53 :- atom3, atom33.
not atom12 > atom12 :- not atom13, atom33.
atom12 > not atom12 :- atom13, atom33.
not atom65 > atom65 :- not atom5, atom33.
atom65 > not atom65 :- atom5, atom33.
not atom76 > atom76 :- not atom12, atom33.
atom76 > not atom76 :- atom12, atom33.
atom71 > not atom71 :- not atom5, atom33.
not atom71 > atom71 :- atom5, atom33.
not atom44 > atom44 :- not atom5, atom33.
not atom44 > atom44 :- atom5, atom33.
atom88 > not atom88 :- not atom3, atom33.
not atom88 > atom88 :- atom3, atom33.
atom68 > not atom68 :- not atom5, atom33.
atom68 > not atom68 :- atom5, atom33.
atom40 > not atom40 :- not atom13, atom33.
atom40 > not atom40 :- atom13, atom33.
not atom20 > atom20 :- not atom3, atom33.
not atom20 > atom20 :- atom3, atom33.
not atom78 > atom78 :- not atom5, atom33.
not atom78 > atom78 :- atom5, atom33.
atom50 > not atom50 :- not atom3, atom33.
atom50 > not atom50 :- atom3, atom33.
not atom6 > atom6 :- not atom3, atom33.
atom6 > not atom6 :- atom3, atom33.
atom2 > not atom2 :- not atom5, atom33.
not atom2 > atom2 :- atom5, atom33.
atom61 > not atom61 :- not atom3, atom33.
atom61 > not atom61 :- atom3, atom33.
atom7 > not atom7 :- not atom2, atom33.
atom7 > not atom7 :- atom2, atom33.
not atom14 > atom14 :- not atom3, atom33.
not atom14 > atom14 :- atom3, atom33.
atom18 > not atom18 :- not atom3, atom33.
not atom18 > atom18 :- atom3, atom33.
not atom59 > atom59 :- not atom3, atom33.
atom59 > not atom59 :- atom3, atom33.
atom16 > not atom16 :- not atom5, atom33.
not atom16 > atom16 :- atom5, atom33.
atom77 > not atom77 :- not atom2, atom33.
not atom77 > atom77 :- atom2, atom33.
atom41 > not atom41 :- not atom5, atom33.
atom41 > not atom41 :- atom5, atom33.
atom38 > not atom38 :- not atom2, atom33.
not atom38 > atom38 :- atom2, atom33.
not atom54 > atom54 :- not atom6, atom33.
not atom54 > atom54 :- atom6, atom33.
not atom39 > atom39 :- not atom2, atom33.
not atom39 > atom39 :- atom2, atom33.
atom80 > not atom80 :- not atom5, atom33.
atom80 > not atom80 :- atom5, atom33.
atom46 > not atom46 :- not atom2, atom33.
not atom46 > atom46 :- atom2, atom33.
atom51 > not atom51 :- not atom6, atom33.
atom51 > not atom51 :- atom6, atom33.
atom72 > not atom72 :- not atom3, atom33.
atom72 > not atom72 :- atom3, atom33.
not atom67 > atom67 :- not atom2, atom33.
atom67 > not atom67 :- atom2, atom33.
not atom8 > atom8 :- not atom2, atom33.
not atom8 > atom8 :- atom2, atom33.
atom10 > not atom10 :- not atom2, atom33.
not atom10 > atom10 :- atom2, atom33.
atom11 > not atom11 :- not atom6, atom33.
atom11 > not atom11 :- atom6, atom33.
atom4 > not atom4 :- not atom2, atom33.
not atom4 > atom4 :- atom2, atom33.
not atom60 > atom60 :- not atom3, atom33.
atom60 > not atom60 :- atom3, atom33.
atom58 > not atom58 :- not atom2, atom33.
not atom58 > atom58 :- atom2, atom33.
atom66 > not atom66 :- not atom2, atom33.
atom66 > not atom66 :- atom2, atom33.
not atom17 > atom17 :- not atom2, atom33.
atom17 > not atom17 :- atom2, atom33.
atom73 > not atom73 :- not atom3, atom33.
atom73 > not atom73 :- atom3, atom33.
not atom89 > atom89 :- not atom4, atom33.
atom89 > not atom89 :- atom4, atom33.
atom30 > not atom30 :- not atom2, atom33.
atom30 > not atom30 :- atom2, atom33.
atom35 > not atom35 :- not atom2, atom33.
not atom35 > atom35 :- atom2, atom33.
not atom48 > atom48 :- not atom2, atom33.
atom48 > not atom48 :- atom2, atom33.
not atom55 > atom55 :- not atom2, atom33.
not atom55 > atom55 :- atom2, atom33.
atom24 > not atom24 :- not atom3, atom33.
atom24 > not atom24 :- atom3, atom33.
not atom52 > atom52 :- not atom2, atom33.
not atom52 > atom52 :- atom2, atom33.
not atom9 > atom9 :- not atom3, atom33.
atom9 > not atom9 :- atom3, atom33.
not atom74 > atom74 :- not atom2, atom33.
not atom74 > atom74 :- atom2, atom33.
atom64 > not atom64 :- not atom2, atom33.
atom64 > not atom64 :- atom2, atom33.
not atom43 > atom43 :- not atom2, atom33.
not atom43 > atom43 :- atom2, atom33.
atom19 > not atom19 :- not atom3, atom33.
not atom19 > atom19 :- atom3, atom33.
not atom32 > atom32 :- not atom3, atom33.
atom32 > not atom32 :- atom3, atom33.
atom27 > not atom27 :- not atom2, atom33.
atom27 > not atom27 :- atom2, atom33.
atom28 > not atom28 :- not atom6, atom33.
not atom28 > atom28 :- atom6, atom33.
not atom1 > atom1 :- not atom2, atom33.
not atom1 > atom1 :- atom2, atom33.
not atom21 > atom21 :- not atom1, atom33.
not atom21 > atom21 :- atom1, atom33.
atom63 > not atom63 :- not atom2, atom33.
atom63 > not atom63 :- atom2, atom33.
atom70 > not atom70 :- not atom1, atom33.
atom70 > not atom70 :- atom1, atom33.
not atom25 > atom25 :- not atom5, atom33.
not atom25 > atom25 :- atom5, atom33.
atom56 > not atom56 :- not atom1, atom33.
atom56 > not atom56 :- atom1, atom33.
atom37 > not atom37 :- not atom3, atom33.
not atom37 > atom37 :- atom3, atom33.
not atom90 > atom90 :- not atom2, atom33.
atom90 > not atom90 :- atom2, atom33.
atom23 > not atom23 :- not atom1, atom33.
not atom23 > atom23 :- atom1, atom33.
atom85 > not atom85 :- not atom3, atom33.
not atom85 > atom85 :- atom3, atom33.
not atom36 > atom36 :- not atom4, atom33.
not atom36 > atom36 :- atom4, atom33.
atom83 > not atom83 :- not atom2, atom33.
atom83 > not atom83 :- atom2, atom33.
not atom69 > atom69 :- not atom1, atom33.
not atom69 > atom69 :- atom1, atom33.
atom49 > not atom49 :- not atom1, atom33.
atom49 > not atom49 :- atom1, atom33.
atom87 > not atom87 :- not atom1, atom33.
atom87 > not atom87 :- atom1, atom33.
atom62 > not atom62 :- not atom3, atom33.
not atom62 > atom62 :- atom3, atom33.
not atom81 > atom81 :- not atom1, atom33.
atom81 > not atom81 :- atom1, atom33.
atom26 > not atom26 :- not atom1, atom33.
atom26 > not atom26 :- atom1, atom33.
atom22 > not atom22 :- not atom1, atom33.
not atom22 > atom22 :- atom1, atom33.
atom31 > not atom31 :- not atom3, atom33.
atom31 > not atom31 :- atom3, atom33.
atom84 > not atom84 :- not atom2, atom33.
atom84 > not atom84 :- atom2, atom33.
not atom48 > atom48 :- not atom13, not atom33.
atom48 > not atom48 :- atom13, not atom33.
not atom61 > atom61 :- not atom13, not atom33.
atom61 > not atom61 :- atom13, not atom33.
atom78 > not atom78 :- not atom48, not atom33.
not atom78 > atom78 :- atom48, not atom33.
atom36 > not atom36 :- not atom13, not atom33.
not atom36 > atom36 :- atom13, not atom33.
atom54 > not atom54 :- not atom13, not atom33.
atom54 > not atom54 :- atom13, not atom33.
atom83 > not atom83 :- not atom54, not atom33.
not atom83 > atom83 :- atom54, not atom33.
atom25 > not atom25 :- not atom15, not atom33.
not atom25 > atom25 :- atom15, not atom33.
not atom41 > atom41 :- not atom13, not atom33.
not atom41 > atom41 :- atom13, not atom33.
not atom12 > atom12 :- not atom15, not atom33.
not atom12 > atom12 :- atom15, not atom33.
atom79 > not atom79 :- not atom13, not atom33.
atom79 > not atom79 :- atom13, not atom33.
not atom37 > atom37 :- not atom12, not atom33.
atom37 > not atom37 :- atom12, not atom33.
not atom60 > atom60 :- not atom13, not atom33.
atom60 > not atom60 :- atom13, not atom33.
atom86 > not atom86 :- not atom25, not atom33.
not atom86 > atom86 :- atom25, not atom33.
atom70 > not atom70 :- not atom12, not atom33.
atom70 > not atom70 :- atom12, not atom33.
atom75 > not atom75 :- not atom13, not atom33.
atom75 > not atom75 :- atom13, not atom33.
not atom10 > atom10 :- not atom13, not atom33.
not atom10 > atom10 :- atom13, not atom33.
not atom7 > atom7 :- not atom13, not atom33.
atom7 > not atom7 :- atom13, not atom33.
not atom38 > atom38 :- not atom10, not atom33.
not atom38 > atom38 :- atom10, not atom33.
atom34 > not atom34 :- not atom12, not atom33.
not atom34 > atom34 :- atom12, not atom33.
not atom85 > atom85 :- not atom10, not atom33.
atom85 > not atom85 :- atom10, not atom33.
atom55 > not atom55 :- not atom7, not atom33.
not atom55 > atom55 :- atom7, not atom33.
atom28 > not atom28 :- not atom15, not atom33.
atom28 > not atom28 :- atom15, not atom33.
not atom20 > atom20 :- not atom7, not atom33.
not atom20 > atom20 :- atom7, not atom33.
atom63 > not atom63 :- not atom10, not atom33.
not atom63 > atom63 :- atom10, not atom33.
atom24 > not atom24 :- not atom13, not atom33.
not atom24 > atom24 :- atom13, not atom33.
not atom5 > atom5 :- not atom10, not atom33.
not atom5 > atom5 :- atom10, not atom33.
atom43 > not atom43 :- not atom5, not atom33.
atom43 > not atom43 :- atom5, not atom33.
not atom57 > atom57 :- not atom7, not atom33.
atom57 > not atom57 :- atom7, not atom33.
not atom4 > atom4 :- not atom7, not atom33.
atom4 > not atom4 :- atom7, not atom33.
atom67 > not atom67 :- not atom12, not atom33.
not atom67 > atom67 :- atom12, not atom33.
atom35 > not atom35 :- not atom4, not atom33.
not atom35 > atom35 :- atom4, not atom33.
not atom58 > atom58 :- not atom5, not atom33.
not atom58 > atom58 :- atom5, not atom33.
