atom33 > not atom33.
not atom75 > atom75 :- not atom33.
not atom75 > atom75 :- atom33.
atom88 > not atom88 :- not atom33.
atom88 > not atom88 :- atom33.
not atom65 > atom65 :- not atom75, not atom88.
not atom65 > atom65 :- atom75, not atom88.
not atom76 > atom76 :- not atom33, not atom88.
atom76 > not atom76 :- atom33, not atom88.
not atom79 > atom79 :- not atom33, not atom88.
atom79 > not atom79 :- atom33, not atom88.
atom56 > not atom56 :- not atom33, not atom88.
not atom56 > atom56 :- atom33, not atom88.
atom15 > not atom15 :- not atom75, not atom88.
not atom15 > atom15 :- atom75, not atom88.
not atom19 > atom19 :- not atom56, not atom88.
not atom19 > atom19 :- atom56, not atom88.
not atom61 > atom61 :- not atom15, not atom88.
atom61 > not atom61 :- atom15, not atom88.
not atom50 > atom50 :- not atom15, not atom88.
atom50 > not atom50 :- atom15, not atom88.
atom78 > not atom78 :- not atom19, not atom88.
atom78 > not atom78 :- atom19, not atom88.
not atom27 > atom27 :- not atom19, not atom88.
not atom27 > atom27 :- atom19, not atom88.
atom47 > not atom47 :- not atom15, not atom88.
atom47 > not atom47 :- atom15, not atom88.
atom11 > not atom11 :- not atom19, not atom88.
not atom11 > atom11 :- atom19, not atom88.
atom6 > not atom6 :- not atom33, not atom88.
atom6 > not atom6 :- atom33, not atom88.
atom87 > not atom87 :- not atom33, not atom88.
atom87 > not atom87 :- atom33, not atom88.
not atom60 > atom60 :- not atom6, not atom88.
atom60 > not atom60 :- atom6, not atom88.
atom46 > not atom46 :- not atom6, not atom88.
not atom46 > atom46 :- atom6, not atom88.
not atom66 > atom66 :- not atom6, not atom88.
atom66 > not atom66 :- atom6, not atom88.
not atom26 > atom26 :- not atom6, not atom88.
not atom26 > atom26 :- atom6, not atom88.
not atom43 > atom43 :- not atom11, not atom88.
atom43 > not atom43 :- atom11, not atom88.
atom25 > not atom25 :- not atom6, not atom88.
not atom25 > atom25 :- atom6, not atom88.
not atom30 > atom30 :- not atom6, not atom88.
atom30 > not atom30 :- atom6, not atom88.
not atom39 > atom39 :- not atom6, not atom88.
atom39 > not atom39 :- atom6, not atom88.
atom14 > not atom14 :- not atom19, not atom88.
not atom14 > atom14 :- atom19, not atom88.
atom38 > not atom38 :- not atom14, not atom88.
not atom38 > atom38 :- atom14, not atom88.
not atom57 > atom57 :- not atom6, not atom88.
not atom57 > atom57 :- atom6, not atom88.
atom13 > not atom13 :- not atom11, not atom88.
atom13 > not atom13 :- atom11, not atom88.
not atom28 > atom28 :- not atom6, not atom88.
atom28 > not atom28 :- atom6, not atom88.
atom83 > not atom83 :- not atom6, not atom88.
not atom83 > atom83 :- atom6, not atom88.
atom37 > not atom37 :- not atom14, not atom88.
atom37 > not atom37 :- atom14, not atom88.
atom89 > not atom89 :- not atom13, not atom88.
atom89 > not atom89 :- atom13, not atom88.
not atom58 > atom58 :- not atom6, not atom88.
not atom58 > atom58 :- atom6, not atom88.
not atom52 > atom52 :- not atom13, not atom88.
not atom52 > atom52 :- atom13, not atom88.
atom23 > not atom23 :- not atom6, not atom88.
not atom23 > atom23 :- atom6, not atom88.
not atom62 > atom62 :- not atom6, not atom88.
atom62 > not atom62 :- atom6, not atom88.
not atom73 > atom73 :- not atom6, not atom88.
not atom73 > atom73 :- atom6, not atom88.
atom53 > not atom53 :- not atom13, not atom88.
atom53 > not atom53 :- atom13, not atom88.
atom86 > not atom86 :- not atom14, not atom88.
not atom86 > atom86 :- atom14, not atom88.
atom4 > not atom4 :- not atom6, not atom88.
not atom4 > atom4 :- atom6, not atom88.
not atom44 > atom44 :- not atom4, not atom88.
not atom44 > atom44 :- atom4, not atom88.
not atom35 > atom35 :- not atom4, not atom88.
atom35 > not atom35 :- atom4, not atom88.
not atom70 > atom70 :- not atom6, not atom88.
atom70 > not atom70 :- atom6, not atom88.
atom74 > not atom74 :- not atom13, not atom88.
atom74 > not atom74 :- atom13, not atom88.
atom22 > not atom22 :- not atom4, not atom88.
not atom22 > atom22 :- atom4, not atom88.
not atom21 > atom21 :- not atom6, not atom88.
not atom21 > atom21 :- atom6, not atom88.
not atom20 > atom20 :- not atom4, not atom88.
not atom20 > atom20 :- atom4, not atom88.
atom17 > not atom17 :- not atom6, not atom88.
not atom17 > atom17 :- atom6, not atom88.
not atom54 > atom54 :- not atom11, not atom88.
atom54 > not atom54 :- atom11, not atom88.
not atom7 > atom7 :- not atom6, not atom88.
not atom7 > atom7 :- atom6, not atom88.
atom32 > not atom32 :- not atom7, not atom88.
atom32 > not atom32 :- atom7, not atom88.
not atom82 > atom82 :- not atom4, not atom88.
not atom82 > atom82 :- atom4, not atom88.
not atom69 > atom69 :- not atom6, not atom88.
not atom69 > atom69 :- atom6, not atom88.
not atom42 > atom42 :- not atom6, not atom88.
not atom42 > atom42 :- atom6, not atom88.
atom36 > not atom36 :- not atom6, not atom88.
not atom36 > atom36 :- atom6, not atom88.
atom3 > not atom3 :- not atom4, not atom88.
atom3 > not atom3 :- atom4, not atom88.
not atom63 > atom63 :- not atom3, not atom88.
not atom63 > atom63 :- atom3, not atom88.
atom24 > not atom24 :- not atom3, not atom88.
atom24 > not atom24 :- atom3, not atom88.
not atom84 > atom84 :- not atom4, not atom88.
not atom84 > atom84 :- atom4, not atom88.
atom12 > not atom12 :- not atom4, not atom88.
not atom12 > atom12 :- atom4, not atom88.
not atom8 > atom8 :- not atom3, not atom88.
atom8 > not atom8 :- atom3, not atom88.
atom59 > not atom59 :- not atom7, not atom88.
not atom59 > atom59 :- atom7, not atom88.
not atom72 > atom72 :- not atom3, not atom88.
not atom72 > atom72 :- atom3, not atom88.
not atom40 > atom40 :- not atom6, not atom88.
not atom40 > atom40 :- atom6, not atom88.
atom5 > not atom5 :- not atom4, not atom88.
atom5 > not atom5 :- atom4, not atom88.
not atom16 > atom16 :- not atom3, not atom88.
atom16 > not atom16 :- atom3, not atom88.
atom41 > not atom41 :- not atom3, not atom88.
atom41 > not atom41 :- atom3, not atom88.
atom49 > not atom49 :- not atom3, not atom88.
atom49 > not atom49 :- atom3, not atom88.
not atom67 > atom67 :- not atom3, not atom88.
atom67 > not atom67 :- atom3, not atom88.
not atom48 > atom48 :- not atom6, not atom88.
not atom48 > atom48 :- atom6, not atom88.
atom55 > not atom55 :- not atom3, not atom88.
not atom55 > atom55 :- atom3, not atom88.
not atom90 > atom90 :- not atom3, not atom88.
not atom90 > atom90 :- atom3, not atom88.
not atom51 > atom51 :- not atom7, not atom88.
atom51 > not atom51 :- atom7, not atom88.
atom80 > not atom80 :- not atom3, not atom88.
atom80 > not atom80 :- atom3, not atom88.
not atom34 > atom34 :- not atom3, not atom88.
atom34 > not atom34 :- atom3, not atom88.
atom85 > not atom85 :- not atom5, not atom88.
not atom85 > atom85 :- atom5, not atom88.
atom2 > not atom2 :- not atom3, not atom88.
atom2 > not atom2 :- atom3, not atom88.
atom9 > not atom9 :- not atom3, not atom88.
not atom9 > atom9 :- atom3, not atom88.
not atom64 > atom64 :- not atom4, not atom88.
not atom64 > atom64 :- atom4, not atom88.
not atom31 > atom31 :- not atom2, not atom88.
not atom31 > atom31 :- atom2, not atom88.
not atom45 > atom45 :- not atom2, not atom88.
atom45 > not atom45 :- atom2, not atom88.
not atom68 > atom68 :- not atom3, not atom88.
atom68 > not atom68 :- atom3, not atom88.
not atom81 > atom81 :- not atom2, not atom88.
atom81 > not atom81 :- atom2, not atom88.
not atom29 > atom29 :- not atom3, not atom88.
not atom29 > atom29 :- atom3, not atom88.
atom1 > not atom1 :- not atom7, not atom88.
atom1 > not atom1 :- atom7, not atom88.
atom71 > not atom71 :- not atom2, not atom88.
atom71 > not atom71 :- atom2, not atom88.
not atom10 > atom10 :- not atom3, not atom88.
atom10 > not atom10 :- atom3, not atom88.
atom77 > not atom77 :- not atom1, not atom88.
not atom77 > atom77 :- atom1, not atom88.
not atom18 > atom18 :- not atom1, not atom88.
not atom18 > atom18 :- atom1, not atom88.
atom26 > not atom26 :- not atom33, atom88.
atom26 > not atom26 :- atom33, atom88.
not atom2 > atom2 :- not atom26, atom88.
not atom2 > atom2 :- atom26, atom88.
not atom45 > atom45 :- not atom2, atom88.
not atom45 > atom45 :- atom2, atom88.
not atom66 > atom66 :- not atom2, atom88.
atom66 > not atom66 :- atom2, atom88.
not atom3 > atom3 :- not atom2, atom88.
atom3 > not atom3 :- atom2, atom88.
atom46 > not atom46 :- not atom2, atom88.
not atom46 > atom46 :- atom2, atom88.
not atom64 > atom64 :- not atom2, atom88.
atom64 > not atom64 :- atom2, atom88.
atom68 > not atom68 :- not atom2, atom88.
atom68 > not atom68 :- atom2, atom88.
not atom71 > atom71 :- not atom2, atom88.
not atom71 > atom71 :- atom2, atom88.
atom50 > not atom50 :- not atom3, atom88.
atom50 > not atom50 :- atom3, atom88.
not atom28 > atom28 :- not atom45, atom88.
atom28 > not atom28 :- atom45, atom88.
atom30 > not atom30 :- not atom26, atom88.
atom30 > not atom30 :- atom26, atom88.
not atom19 > atom19 :- not atom3, atom88.
atom19 > not atom19 :- atom3, atom88.
atom72 > not atom72 :- not atom19, atom88.
not atom72 > atom72 :- atom19, atom88.
atom70 > not atom70 :- not atom2, atom88.
atom70 > not atom70 :- atom2, atom88.
not atom89 > atom89 :- not atom2, atom88.
not atom89 > atom89 :- atom2, atom88.
not atom39 > atom39 :- not atom3, atom88.
atom39 > not atom39 :- atom3, atom88.
atom43 > not atom43 :- not atom2, atom88.
not atom43 > atom43 :- atom2, atom88.
not atom83 > atom83 :- not atom2, atom88.
not atom83 > atom83 :- atom2, atom88.
atom60 > not atom60 :- not atom3, atom88.
atom60 > not atom60 :- atom3, atom88.
not atom10 > atom10 :- not atom19, atom88.
atom10 > not atom10 :- atom19, atom88.
not atom14 > atom14 :- not atom10, atom88.
not atom14 > atom14 :- atom10, atom88.
not atom48 > atom48 :- not atom2, atom88.
atom48 > not atom48 :- atom2, atom88.
atom29 > not atom29 :- not atom14, atom88.
atom29 > not atom29 :- atom14, atom88.
not atom85 > atom85 :- not atom2, atom88.
not atom85 > atom85 :- atom2, atom88.
not atom79 > atom79 :- not atom3, atom88.
not atom79 > atom79 :- atom3, atom88.
atom61 > not atom61 :- not atom2, atom88.
not atom61 > atom61 :- atom2, atom88.
not atom7 > atom7 :- not atom2, atom88.
not atom7 > atom7 :- atom2, atom88.
atom67 > not atom67 :- not atom7, atom88.
not atom67 > atom67 :- atom7, atom88.
atom54 > not atom54 :- not atom3, atom88.
not atom54 > atom54 :- atom3, atom88.
not atom87 > atom87 :- not atom3, atom88.
atom87 > not atom87 :- atom3, atom88.
not atom37 > atom37 :- not atom7, atom88.
not atom37 > atom37 :- atom7, atom88.
not atom76 > atom76 :- not atom2, atom88.
not atom76 > atom76 :- atom2, atom88.
not atom41 > atom41 :- not atom2, atom88.
atom41 > not atom41 :- atom2, atom88.
not atom84 > atom84 :- not atom2, atom88.
atom84 > not atom84 :- atom2, atom88.
not atom42 > atom42 :- not atom2, atom88.
atom42 > not atom42 :- atom2, atom88.
not atom51 > atom51 :- not atom2, atom88.
not atom51 > atom51 :- atom2, atom88.
not atom13 > atom13 :- not atom3, atom88.
not atom13 > atom13 :- atom3, atom88.
not atom15 > atom15 :- not atom2, atom88.
atom15 > not atom15 :- atom2, atom88.
atom55 > not atom55 :- not atom2, atom88.
not atom55 > atom55 :- atom2, atom88.
not atom81 > atom81 :- not atom2, atom88.
atom81 > not atom81 :- atom2, atom88.
atom32 > not atom32 :- not atom2, atom88.
not atom32 > atom32 :- atom2, atom88.
not atom47 > atom47 :- not atom3, atom88.
atom47 > not atom47 :- atom3, atom88.
atom17 > not atom17 :- not atom3, atom88.
atom17 > not atom17 :- atom3, atom88.
atom9 > not atom9 :- not atom2, atom88.
atom9 > not atom9 :- atom2, atom88.
not atom36 > atom36 :- not atom10, atom88.
atom36 > not atom36 :- atom10, atom88.
not atom11 > atom11 :- not atom10, atom88.
atom11 > not atom11 :- atom10, atom88.
atom22 > not atom22 :- not atom10, atom88.
not atom22 > atom22 :- atom10, atom88.
not atom21 > atom21 :- not atom2, atom88.
not atom21 > atom21 :- atom2, atom88.
not atom5 > atom5 :- not atom2, atom88.
atom5 > not atom5 :- atom2, atom88.
not atom73 > atom73 :- not atom3, atom88.
not atom73 > atom73 :- atom3, atom88.
not atom59 > atom59 :- not atom2, atom88.
not atom59 > atom59 :- atom2, atom88.
atom63 > not atom63 :- not atom2, atom88.
not atom63 > atom63 :- atom2, atom88.
not atom77 > atom77 :- not atom2, atom88.
not atom77 > atom77 :- atom2, atom88.
atom38 > not atom38 :- not atom9, atom88.
atom38 > not atom38 :- atom9, atom88.
atom27 > not atom27 :- not atom2, atom88.
not atom27 > atom27 :- atom2, atom88.
not atom80 > atom80 :- not atom3, atom88.
not atom80 > atom80 :- atom3, atom88.
atom24 > not atom24 :- not atom3, atom88.
atom24 > not atom24 :- atom3, atom88.
atom86 > not atom86 :- not atom2, atom88.
atom86 > not atom86 :- atom2, atom88.
atom53 > not atom53 :- not atom7, atom88.
atom53 > not atom53 :- atom7, atom88.
atom8 > not atom8 :- not atom2, atom88.
not atom8 > atom8 :- atom2, atom88.
not atom18 > atom18 :- not atom10, atom88.
not atom18 > atom18 :- atom10, atom88.
atom23 > not atom23 :- not atom8, atom88.
atom23 > not atom23 :- atom8, atom88.
not atom40 > atom40 :- not atom8, atom88.
atom40 > not atom40 :- atom8, atom88.
atom1 > not atom1 :- not atom2, atom88.
not atom1 > atom1 :- atom2, atom88.
atom78 > not atom78 :- not atom2, atom88.
atom78 > not atom78 :- atom2, atom88.
not atom56 > atom56 :- not atom1, atom88.
atom56 > not atom56 :- atom1, atom88.
atom25 > not atom25 :- not atom5, atom88.
not atom25 > atom25 :- atom5, atom88.
