atom1 > not atom1.
not atom18 > atom18.
not atom76 > atom76.
not atom12 > atom12 :- not atom18.
not atom12 > atom12 :- atom18.
atom11 > not atom11 :- not atom12.
atom11 > not atom11 :- atom12.
atom6 > not atom6 :- not atom12, atom11.
not atom6 > atom6 :- atom12, atom11.
not atom56 > atom56 :- not atom1, atom11.
not atom56 > atom56 :- atom1, atom11.
not atom36 > atom36 :- not atom1, atom11.
atom36 > not atom36 :- atom1, atom11.
not atom34 > atom34 :- not atom1, atom11.
not atom34 > atom34 :- atom1, atom11.
atom46 > not atom46 :- not atom1, atom11.
atom46 > not atom46 :- atom1, atom11.
atom85 > not atom85 :- not atom1, atom11.
not atom85 > atom85 :- atom1, atom11.
atom7 > not atom7 :- not atom6, atom11.
atom7 > not atom7 :- atom6, atom11.
atom87 > not atom87 :- not atom6, atom11.
atom87 > not atom87 :- atom6, atom11.
atom86 > not atom86 :- not atom7, atom11.
not atom86 > atom86 :- atom7, atom11.
atom50 > not atom50 :- not atom1, atom11.
atom50 > not atom50 :- atom1, atom11.
atom80 > not atom80 :- not atom6, atom11.
atom80 > not atom80 :- atom6, atom11.
atom65 > not atom65 :- not atom1, atom11.
not atom65 > atom65 :- atom1, atom11.
atom77 > not atom77 :- not atom6, atom11.
not atom77 > atom77 :- atom6, atom11.
not atom9 > atom9 :- not atom6, atom11.
atom9 > not atom9 :- atom6, atom11.
not atom54 > atom54 :- not atom7, atom11.
atom54 > not atom54 :- atom7, atom11.
not atom88 > atom88 :- not atom7, atom11.
atom88 > not atom88 :- atom7, atom11.
not atom64 > atom64 :- not atom7, atom11.
atom64 > not atom64 :- atom7, atom11.
atom33 > not atom33 :- not atom7, atom11.
not atom33 > atom33 :- atom7, atom11.
not atom71 > atom71 :- not atom1, atom11.
not atom71 > atom71 :- atom1, atom11.
atom49 > not atom49 :- not atom6, atom11.
atom49 > not atom49 :- atom6, atom11.
not atom83 > atom83 :- not atom6, atom11.
not atom83 > atom83 :- atom6, atom11.
not atom63 > atom63 :- not atom6, atom11.
not atom63 > atom63 :- atom6, atom11.
atom41 > not atom41 :- not atom1, atom11.
atom41 > not atom41 :- atom1, atom11.
not atom20 > atom20 :- not atom7, atom11.
atom20 > not atom20 :- atom7, atom11.
not atom15 > atom15 :- not atom1, atom11.
not atom15 > atom15 :- atom1, atom11.
atom72 > not atom72 :- not atom12, atom11.
not atom72 > atom72 :- atom12, atom11.
not atom3 > atom3 :- not atom1, atom11.
atom3 > not atom3 :- atom1, atom11.
atom60 > not atom60 :- not atom1, atom11.
atom60 > not atom60 :- atom1, atom11.
not atom26 > atom26 :- not atom3, atom11.
atom26 > not atom26 :- atom3, atom11.
atom90 > not atom90 :- not atom1, atom11.
not atom90 > atom90 :- atom1, atom11.
atom28 > not atom28 :- not atom1, atom11.
atom28 > not atom28 :- atom1, atom11.
not atom23 > atom23 :- not atom6, atom11.
not atom23 > atom23 :- atom6, atom11.
not atom31 > atom31 :- not atom9, atom11.
not atom31 > atom31 :- atom9, atom11.
atom84 > not atom84 :- not atom1, atom11.
atom84 > not atom84 :- atom1, atom11.
not atom24 > atom24 :- not atom1, atom11.
not atom24 > atom24 :- atom1, atom11.
not atom27 > atom27 :- not atom1, atom11.
not atom27 > atom27 :- atom1, atom11.
atom79 > not atom79 :- not atom1, atom11.
atom79 > not atom79 :- atom1, atom11.
atom16 > not atom16 :- not atom1, atom11.
atom16 > not atom16 :- atom1, atom11.
atom62 > not atom62 :- not atom16, atom11.
atom62 > not atom62 :- atom16, atom11.
atom4 > not atom4 :- not atom1, atom11.
atom4 > not atom4 :- atom1, atom11.
atom67 > not atom67 :- not atom1, atom11.
not atom67 > atom67 :- atom1, atom11.
atom53 > not atom53 :- not atom1, atom11.
atom53 > not atom53 :- atom1, atom11.
not atom73 > atom73 :- not atom1, atom11.
atom73 > not atom73 :- atom1, atom11.
atom81 > not atom81 :- not atom7, atom11.
not atom81 > atom81 :- atom7, atom11.
atom78 > not atom78 :- not atom7, atom11.
atom78 > not atom78 :- atom7, atom11.
not atom22 > atom22 :- not atom1, atom11.
not atom22 > atom22 :- atom1, atom11.
not atom89 > atom89 :- not atom3, atom11.
not atom89 > atom89 :- atom3, atom11.
atom52 > not atom52 :- not atom3, atom11.
not atom52 > atom52 :- atom3, atom11.
not atom32 > atom32 :- not atom1, atom11.
not atom32 > atom32 :- atom1, atom11.
atom82 > not atom82 :- not atom6, atom11.
atom82 > not atom82 :- atom6, atom11.
atom47 > not atom47 :- not atom1, atom11.
atom47 > not atom47 :- atom1, atom11.
atom8 > not atom8 :- not atom3, atom11.
not atom8 > atom8 :- atom3, atom11.
not atom55 > atom55 :- not atom3, atom11.
atom55 > not atom55 :- atom3, atom11.
not atom48 > atom48 :- not atom3, atom11.
atom48 > not atom48 :- atom3, atom11.
not atom75 > atom75 :- not atom3, atom11.
atom75 > not atom75 :- atom3, atom11.
atom21 > not atom21 :- not atom3, atom11.
atom21 > not atom21 :- atom3, atom11.
not atom35 > atom35 :- not atom1, atom11.
not atom35 > atom35 :- atom1, atom11.
not atom37 > atom37 :- not atom4, atom11.
not atom37 > atom37 :- atom4, atom11.
not atom5 > atom5 :- not atom1, atom11.
atom5 > not atom5 :- atom1, atom11.
atom19 > not atom19 :- not atom1, atom11.
not atom19 > atom19 :- atom1, atom11.
not atom69 > atom69 :- not atom1, atom11.
atom69 > not atom69 :- atom1, atom11.
atom57 > not atom57 :- not atom1, atom11.
atom57 > not atom57 :- atom1, atom11.
atom39 > not atom39 :- not atom1, atom11.
not atom39 > atom39 :- atom1, atom11.
atom74 > not atom74 :- not atom3, atom11.
atom74 > not atom74 :- atom3, atom11.
atom14 > not atom14 :- not atom3, atom11.
atom14 > not atom14 :- atom3, atom11.
atom10 > not atom10 :- not atom3, atom11.
not atom10 > atom10 :- atom3, atom11.
not atom43 > atom43 :- not atom1, atom11.
atom43 > not atom43 :- atom1, atom11.
atom42 > not atom42 :- not atom4, atom11.
not atom42 > atom42 :- atom4, atom11.
atom58 > not atom58 :- not atom1, atom11.
not atom58 > atom58 :- atom1, atom11.
not atom66 > atom66 :- not atom1, atom11.
atom66 > not atom66 :- atom1, atom11.
not atom29 > atom29 :- not atom1, atom11.
not atom29 > atom29 :- atom1, atom11.
not atom51 > atom51 :- not atom3, atom11.
atom51 > not atom51 :- atom3, atom11.
atom2 > not atom2 :- not atom1, atom11.
not atom2 > atom2 :- atom1, atom11.
atom38 > not atom38 :- not atom3, atom11.
not atom38 > atom38 :- atom3, atom11.
atom70 > not atom70 :- not atom1, atom11.
atom70 > not atom70 :- atom1, atom11.
not atom44 > atom44 :- not atom1, atom11.
atom44 > not atom44 :- atom1, atom11.
not atom17 > atom17 :- not atom1, atom11.
atom17 > not atom17 :- atom1, atom11.
atom25 > not atom25 :- not atom3, atom11.
atom25 > not atom25 :- atom3, atom11.
not atom68 > atom68 :- not atom1, atom11.
atom68 > not atom68 :- atom1, atom11.
not atom59 > atom59 :- not atom3, atom11.
atom59 > not atom59 :- atom3, atom11.
atom13 > not atom13 :- not atom1, atom11.
atom13 > not atom13 :- atom1, atom11.
atom30 > not atom30 :- not atom1, atom11.
atom30 > not atom30 :- atom1, atom11.
atom45 > not atom45 :- not atom3, atom11.
atom45 > not atom45 :- atom3, atom11.
atom61 > not atom61 :- not atom1, atom11.
not atom61 > atom61 :- atom1, atom11.
not atom40 > atom40 :- not atom1, atom11.
not atom40 > atom40 :- atom1, atom11.
not atom22 > atom22 :- not atom1, not atom11.
not atom22 > atom22 :- atom1, not atom11.
not atom63 > atom63 :- not atom22, not atom11.
not atom63 > atom63 :- atom22, not atom11.
not atom74 > atom74 :- not atom1, not atom11.
not atom74 > atom74 :- atom1, not atom11.
atom21 > not atom21 :- not atom1, not atom11.
atom21 > not atom21 :- atom1, not atom11.
atom85 > not atom85 :- not atom18, not atom11.
not atom85 > atom85 :- atom18, not atom11.
not atom61 > atom61 :- not atom12, not atom11.
not atom61 > atom61 :- atom12, not atom11.
atom72 > not atom72 :- not atom1, not atom11.
not atom72 > atom72 :- atom1, not atom11.
not atom88 > atom88 :- not atom18, not atom11.
atom88 > not atom88 :- atom18, not atom11.
atom58 > not atom58 :- not atom1, not atom11.
atom58 > not atom58 :- atom1, not atom11.
not atom43 > atom43 :- not atom12, not atom11.
atom43 > not atom43 :- atom12, not atom11.
not atom26 > atom26 :- not atom12, not atom11.
not atom26 > atom26 :- atom12, not atom11.
not atom81 > atom81 :- not atom18, not atom11.
not atom81 > atom81 :- atom18, not atom11.
not atom15 > atom15 :- not atom12, not atom11.
atom15 > not atom15 :- atom12, not atom11.
not atom23 > atom23 :- not atom1, not atom11.
atom23 > not atom23 :- atom1, not atom11.
not atom40 > atom40 :- not atom1, not atom11.
atom40 > not atom40 :- atom1, not atom11.
not atom44 > atom44 :- not atom1, not atom11.
atom44 > not atom44 :- atom1, not atom11.
atom71 > not atom71 :- not atom15, not atom11.
atom71 > not atom71 :- atom15, not atom11.
atom17 > not atom17 :- not atom12, not atom11.
atom17 > not atom17 :- atom12, not atom11.
atom33 > not atom33 :- not atom1, not atom11.
not atom33 > atom33 :- atom1, not atom11.
not atom2 > atom2 :- not atom12, not atom11.
not atom2 > atom2 :- atom12, not atom11.
not atom20 > atom20 :- not atom1, not atom11.
not atom20 > atom20 :- atom1, not atom11.
not atom68 > atom68 :- not atom12, not atom11.
not atom68 > atom68 :- atom12, not atom11.
atom41 > not atom41 :- not atom2, not atom11.
atom41 > not atom41 :- atom2, not atom11.
atom52 > not atom52 :- not atom2, not atom11.
atom52 > not atom52 :- atom2, not atom11.
not atom89 > atom89 :- not atom1, not atom11.
not atom89 > atom89 :- atom1, not atom11.
not atom24 > atom24 :- not atom1, not atom11.
atom24 > not atom24 :- atom1, not atom11.
not atom56 > atom56 :- not atom12, not atom11.
not atom56 > atom56 :- atom12, not atom11.
atom27 > not atom27 :- not atom15, not atom11.
atom27 > not atom27 :- atom15, not atom11.
atom48 > not atom48 :- not atom1, not atom11.
atom48 > not atom48 :- atom1, not atom11.
atom6 > not atom6 :- not atom1, not atom11.
atom6 > not atom6 :- atom1, not atom11.
not atom59 > atom59 :- not atom1, not atom11.
atom59 > not atom59 :- atom1, not atom11.
not atom70 > atom70 :- not atom1, not atom11.
atom70 > not atom70 :- atom1, not atom11.
atom37 > not atom37 :- not atom1, not atom11.
atom37 > not atom37 :- atom1, not atom11.
not atom86 > atom86 :- not atom1, not atom11.
atom86 > not atom86 :- atom1, not atom11.
not atom54 > atom54 :- not atom15, not atom11.
atom54 > not atom54 :- atom15, not atom11.
not atom39 > atom39 :- not atom1, not atom11.
atom39 > not atom39 :- atom1, not atom11.
not atom50 > atom50 :- not atom1, not atom11.
not atom50 > atom50 :- atom1, not atom11.
not atom87 > atom87 :- not atom1, not atom11.
not atom87 > atom87 :- atom1, not atom11.
atom60 > not atom60 :- not atom1, not atom11.
atom60 > not atom60 :- atom1, not atom11.
atom28 > not atom28 :- not atom12, not atom11.
not atom28 > atom28 :- atom12, not atom11.
atom79 > not atom79 :- not atom2, not atom11.
not atom79 > atom79 :- atom2, not atom11.
not atom62 > atom62 :- not atom1, not atom11.
atom62 > not atom62 :- atom1, not atom11.
atom57 > not atom57 :- not atom1, not atom11.
atom57 > not atom57 :- atom1, not atom11.
atom38 > not atom38 :- not atom1, not atom11.
atom38 > not atom38 :- atom1, not atom11.
atom69 > not atom69 :- not atom1, not atom11.
not atom69 > atom69 :- atom1, not atom11.
atom36 > not atom36 :- not atom2, not atom11.
not atom36 > atom36 :- atom2, not atom11.
not atom80 > atom80 :- not atom15, not atom11.
not atom80 > atom80 :- atom15, not atom11.
not atom66 > atom66 :- not atom6, not atom11.
atom66 > not atom66 :- atom6, not atom11.
atom82 > not atom82 :- not atom2, not atom11.
not atom82 > atom82 :- atom2, not atom11.
atom51 > not atom51 :- not atom2, not atom11.
atom51 > not atom51 :- atom2, not atom11.
not atom67 > atom67 :- not atom1, not atom11.
not atom67 > atom67 :- atom1, not atom11.
not atom49 > atom49 :- not atom1, not atom11.
not atom49 > atom49 :- atom1, not atom11.
atom31 > not atom31 :- not atom2, not atom11.
not atom31 > atom31 :- atom2, not atom11.
atom14 > not atom14 :- not atom6, not atom11.
not atom14 > atom14 :- atom6, not atom11.
atom4 > not atom4 :- not atom1, not atom11.
not atom4 > atom4 :- atom1, not atom11.
not atom47 > atom47 :- not atom6, not atom11.
not atom47 > atom47 :- atom6, not atom11.
atom10 > not atom10 :- not atom1, not atom11.
atom10 > not atom10 :- atom1, not atom11.
not atom19 > atom19 :- not atom2, not atom11.
not atom19 > atom19 :- atom2, not atom11.
