atom90 > not atom90.
atom64 > not atom64.
atom68 > not atom68 :- not atom90, atom64.
atom68 > not atom68 :- atom90, atom64.
not atom79 > atom79 :- not atom68, atom64.
atom79 > not atom79 :- atom68, atom64.
not atom86 > atom86 :- atom64.
atom35 > not atom35 :- not atom79, atom64.
atom35 > not atom35 :- atom79, atom64.
atom77 > not atom77 :- not atom35, atom64.
not atom77 > atom77 :- atom35, atom64.
not atom51 > atom51 :- not atom79, atom64.
atom51 > not atom51 :- atom79, atom64.
not atom63 > atom63 :- not atom51, atom64.
not atom63 > atom63 :- atom51, atom64.
not atom59 > atom59 :- not atom51, atom64.
not atom59 > atom59 :- atom51, atom64.
not atom80 > atom80 :- not atom35, atom64.
atom80 > not atom80 :- atom35, atom64.
not atom4 > atom4 :- not atom35, atom64.
atom4 > not atom4 :- atom35, atom64.
not atom33 > atom33 :- not atom4, atom64.
not atom33 > atom33 :- atom4, atom64.
atom27 > not atom27 :- not atom59, atom64.
not atom27 > atom27 :- atom59, atom64.
not atom13 > atom13 :- not atom4, atom64.
atom13 > not atom13 :- atom4, atom64.
not atom61 > atom61 :- not atom27, atom64.
atom61 > not atom61 :- atom27, atom64.
not atom83 > atom83 :- not atom33, atom64.
atom83 > not atom83 :- atom33, atom64.
not atom32 > atom32 :- not atom4, atom64.
not atom32 > atom32 :- atom4, atom64.
not atom17 > atom17 :- not atom4, atom64.
atom17 > not atom17 :- atom4, atom64.
atom41 > not atom41 :- not atom4, atom64.
not atom41 > atom41 :- atom4, atom64.
not atom6 > atom6 :- not atom4, atom64.
atom6 > not atom6 :- atom4, atom64.
not atom69 > atom69 :- not atom4, atom64.
not atom69 > atom69 :- atom4, atom64.
not atom75 > atom75 :- not atom4, atom64.
not atom75 > atom75 :- atom4, atom64.
not atom88 > atom88 :- not atom32, atom64.
not atom88 > atom88 :- atom32, atom64.
atom57 > not atom57 :- not atom6, atom64.
atom57 > not atom57 :- atom6, atom64.
not atom48 > atom48 :- not atom4, atom64.
not atom48 > atom48 :- atom4, atom64.
atom8 > not atom8 :- not atom4, atom64.
atom8 > not atom8 :- atom4, atom64.
not atom5 > atom5 :- not atom4, atom64.
atom5 > not atom5 :- atom4, atom64.
atom67 > not atom67 :- not atom4, atom64.
not atom67 > atom67 :- atom4, atom64.
not atom39 > atom39 :- not atom4, atom64.
not atom39 > atom39 :- atom4, atom64.
atom29 > not atom29 :- not atom8, atom64.
not atom29 > atom29 :- atom8, atom64.
not atom87 > atom87 :- not atom8, atom64.
atom87 > not atom87 :- atom8, atom64.
atom55 > not atom55 :- not atom4, atom64.
atom55 > not atom55 :- atom4, atom64.
atom10 > not atom10 :- not atom32, atom64.
atom10 > not atom10 :- atom32, atom64.
atom85 > not atom85 :- not atom4, atom64.
atom85 > not atom85 :- atom4, atom64.
atom58 > not atom58 :- not atom4, atom64.
atom58 > not atom58 :- atom4, atom64.
