not atom53 > atom53.
atom44 > not atom44 :- not atom53.
not atom44 > atom44 :- atom53.
not atom89 > atom89 :- not atom44.
not atom89 > atom89 :- atom44.
not atom25 > atom25 :- not atom44.
atom25 > not atom25 :- atom44.
atom90 > not atom90 :- not atom25.
not atom90 > atom90 :- atom25.
not atom26 > atom26 :- not atom44.
atom26 > not atom26 :- atom44.
not atom5 > atom5 :- not atom25.
not atom5 > atom5 :- atom25.
not atom18 > atom18 :- not atom26, atom5.
atom18 > not atom18 :- atom26, atom5.
atom34 > not atom34 :- not atom18, atom5.
atom34 > not atom34 :- atom18, atom5.
not atom42 > atom42 :- not atom18, atom5.
atom42 > not atom42 :- atom18, atom5.
not atom2 > atom2 :- not atom18, atom5.
not atom2 > atom2 :- atom18, atom5.
atom17 > not atom17 :- not atom18, atom5.
not atom17 > atom17 :- atom18, atom5.
atom67 > not atom67 :- not atom17, atom5.
not atom67 > atom67 :- atom17, atom5.
not atom74 > atom74 :- not atom17, atom5.
not atom74 > atom74 :- atom17, atom5.
not atom10 > atom10 :- not atom2, atom5.
atom10 > not atom10 :- atom2, atom5.
not atom69 > atom69 :- not atom2, atom5.
atom69 > not atom69 :- atom2, atom5.
atom38 > not atom38 :- not atom10, atom5.
not atom38 > atom38 :- atom10, atom5.
atom20 > not atom20 :- not atom2, atom5.
atom20 > not atom20 :- atom2, atom5.
atom75 > not atom75 :- not atom25, atom5.
atom75 > not atom75 :- atom25, atom5.
atom29 > not atom29 :- not atom34, atom5.
not atom29 > atom29 :- atom34, atom5.
not atom27 > atom27 :- not atom20, atom5.
not atom27 > atom27 :- atom20, atom5.
atom80 > not atom80 :- not atom25, atom5.
not atom80 > atom80 :- atom25, atom5.
atom22 > not atom22 :- not atom10, atom5.
not atom22 > atom22 :- atom10, atom5.
atom88 > not atom88 :- not atom2, atom5.
not atom88 > atom88 :- atom2, atom5.
atom36 > not atom36 :- not atom2, atom5.
atom36 > not atom36 :- atom2, atom5.
not atom72 > atom72 :- not atom2, atom5.
not atom72 > atom72 :- atom2, atom5.
not atom58 > atom58 :- not atom2, atom5.
atom58 > not atom58 :- atom2, atom5.
atom83 > not atom83 :- not atom10, atom5.
atom83 > not atom83 :- atom10, atom5.
atom85 > not atom85 :- not atom10, atom5.
atom85 > not atom85 :- atom10, atom5.
atom37 > not atom37 :- not atom2, atom5.
not atom37 > atom37 :- atom2, atom5.
not atom79 > atom79 :- not atom2, atom5.
atom79 > not atom79 :- atom2, atom5.
not atom65 > atom65 :- not atom17, atom5.
atom65 > not atom65 :- atom17, atom5.
atom68 > not atom68 :- not atom2, atom5.
not atom68 > atom68 :- atom2, atom5.
not atom81 > atom81 :- not atom20, atom5.
not atom81 > atom81 :- atom20, atom5.
atom56 > not atom56 :- not atom10, atom5.
not atom56 > atom56 :- atom10, atom5.
atom31 > not atom31 :- not atom17, atom5.
atom31 > not atom31 :- atom17, atom5.
atom57 > not atom57 :- not atom2, atom5.
atom57 > not atom57 :- atom2, atom5.
not atom76 > atom76 :- not atom17, atom5.
atom76 > not atom76 :- atom17, atom5.
atom21 > not atom21 :- not atom10, atom5.
atom21 > not atom21 :- atom10, atom5.
atom87 > not atom87 :- not atom10, atom5.
not atom87 > atom87 :- atom10, atom5.
atom39 > not atom39 :- not atom2, atom5.
not atom39 > atom39 :- atom2, atom5.
atom24 > not atom24 :- not atom10, atom5.
not atom24 > atom24 :- atom10, atom5.
not atom59 > atom59 :- not atom10, atom5.
not atom59 > atom59 :- atom10, atom5.
atom7 > not atom7 :- not atom10, atom5.
atom7 > not atom7 :- atom10, atom5.
atom8 > not atom8 :- not atom7, atom5.
atom8 > not atom8 :- atom7, atom5.
atom28 > not atom28 :- not atom7, atom5.
atom28 > not atom28 :- atom7, atom5.
atom48 > not atom48 :- not atom2, atom5.
not atom48 > atom48 :- atom2, atom5.
atom13 > not atom13 :- not atom2, atom5.
atom13 > not atom13 :- atom2, atom5.
not atom46 > atom46 :- not atom7, atom5.
not atom46 > atom46 :- atom7, atom5.
not atom64 > atom64 :- not atom2, atom5.
not atom64 > atom64 :- atom2, atom5.
not atom12 > atom12 :- not atom2, atom5.
not atom12 > atom12 :- atom2, atom5.
atom9 > not atom9 :- not atom12, atom5.
not atom9 > atom9 :- atom12, atom5.
not atom73 > atom73 :- not atom8, atom5.
not atom73 > atom73 :- atom8, atom5.
atom51 > not atom51 :- not atom7, atom5.
atom51 > not atom51 :- atom7, atom5.
atom45 > not atom45 :- not atom2, atom5.
not atom45 > atom45 :- atom2, atom5.
not atom78 > atom78 :- not atom2, atom5.
not atom78 > atom78 :- atom2, atom5.
not atom4 > atom4 :- not atom2, atom5.
atom4 > not atom4 :- atom2, atom5.
not atom66 > atom66 :- not atom4, atom5.
atom66 > not atom66 :- atom4, atom5.
not atom84 > atom84 :- not atom8, atom5.
not atom84 > atom84 :- atom8, atom5.
not atom1 > atom1 :- not atom9, atom5.
not atom1 > atom1 :- atom9, atom5.
not atom43 > atom43 :- not atom4, atom5.
not atom43 > atom43 :- atom4, atom5.
not atom50 > atom50 :- not atom2, atom5.
atom50 > not atom50 :- atom2, atom5.
not atom11 > atom11 :- not atom4, atom5.
not atom11 > atom11 :- atom4, atom5.
atom35 > not atom35 :- not atom2, atom5.
atom35 > not atom35 :- atom2, atom5.
not atom32 > atom32 :- not atom4, atom5.
not atom32 > atom32 :- atom4, atom5.
atom60 > not atom60 :- not atom2, atom5.
not atom60 > atom60 :- atom2, atom5.
atom41 > not atom41 :- not atom9, atom5.
atom41 > not atom41 :- atom9, atom5.
atom23 > not atom23 :- not atom4, atom5.
atom23 > not atom23 :- atom4, atom5.
not atom62 > atom62 :- not atom2, atom5.
not atom62 > atom62 :- atom2, atom5.
not atom3 > atom3 :- not atom1, atom5.
not atom3 > atom3 :- atom1, atom5.
atom70 > not atom70 :- not atom4, atom5.
atom70 > not atom70 :- atom4, atom5.
not atom6 > atom6 :- not atom1, atom5.
atom6 > not atom6 :- atom1, atom5.
