not atom31 > atom31.
atom54 > not atom54 :- atom31.
not atom89 > atom89 :- atom31.
not atom85 > atom85 :- not atom54, atom31.
atom85 > not atom85 :- atom54, atom31.
not atom72 > atom72 :- not atom54, atom31.
not atom72 > atom72 :- atom54, atom31.
atom88 > not atom88 :- not atom72, atom31.
atom88 > not atom88 :- atom72, atom31.
not atom35 > atom35 :- not atom54, atom31.
atom35 > not atom35 :- atom54, atom31.
not atom74 > atom74 :- not atom72, atom31.
atom74 > not atom74 :- atom72, atom31.
not atom24 > atom24 :- not atom35, atom31.
atom24 > not atom24 :- atom35, atom31.
not atom34 > atom34 :- not atom24, atom31.
not atom34 > atom34 :- atom24, atom31.
not atom55 > atom55 :- not atom24, atom31.
not atom55 > atom55 :- atom24, atom31.
not atom67 > atom67 :- not atom35, atom31.
not atom67 > atom67 :- atom35, atom31.
atom53 > not atom53 :- not atom24, atom31.
atom53 > not atom53 :- atom24, atom31.
atom80 > not atom80 :- not atom24, atom31.
not atom80 > atom80 :- atom24, atom31.
atom15 > not atom15 :- not atom24, atom31.
not atom15 > atom15 :- atom24, atom31.
atom47 > not atom47 :- not atom24, atom31.
atom47 > not atom47 :- atom24, atom31.
atom57 > not atom57 :- not atom15, atom31.
not atom57 > atom57 :- atom15, atom31.
not atom46 > atom46 :- not atom34, atom31.
atom46 > not atom46 :- atom34, atom31.
not atom83 > atom83 :- not atom24, atom31.
atom83 > not atom83 :- atom24, atom31.
atom13 > not atom13 :- not atom15, atom31.
atom13 > not atom13 :- atom15, atom31.
atom12 > not atom12 :- not atom34, atom31.
not atom12 > atom12 :- atom34, atom31.
not atom50 > atom50 :- not atom12, atom31.
atom50 > not atom50 :- atom12, atom31.
atom9 > not atom9 :- not atom15, atom31.
not atom9 > atom9 :- atom15, atom31.
atom27 > not atom27 :- not atom9, atom31.
atom27 > not atom27 :- atom9, atom31.
atom68 > not atom68 :- not atom9, atom31.
not atom68 > atom68 :- atom9, atom31.
not atom37 > atom37 :- not atom12, atom31.
atom37 > not atom37 :- atom12, atom31.
atom65 > not atom65 :- not atom12, atom31.
not atom65 > atom65 :- atom12, atom31.
atom90 > not atom90 :- not atom12, atom31.
atom90 > not atom90 :- atom12, atom31.
not atom28 > atom28 :- not atom9, atom31.
not atom28 > atom28 :- atom9, atom31.
atom78 > not atom78 :- not atom9, atom31.
not atom78 > atom78 :- atom9, atom31.
atom56 > not atom56 :- not atom9, atom31.
not atom56 > atom56 :- atom9, atom31.
not atom5 > atom5 :- not atom12, atom31.
not atom5 > atom5 :- atom12, atom31.
atom19 > not atom19 :- not atom5, atom31.
not atom19 > atom19 :- atom5, atom31.
atom76 > not atom76 :- not atom13, atom31.
not atom76 > atom76 :- atom13, atom31.
not atom17 > atom17 :- not atom15, atom31.
atom17 > not atom17 :- atom15, atom31.
atom22 > not atom22 :- not atom5, atom31.
not atom22 > atom22 :- atom5, atom31.
not atom52 > atom52 :- not atom5, atom31.
not atom52 > atom52 :- atom5, atom31.
atom73 > not atom73 :- not atom5, atom31.
atom73 > not atom73 :- atom5, atom31.
atom45 > not atom45 :- not atom9, atom31.
atom45 > not atom45 :- atom9, atom31.
not atom3 > atom3 :- not atom5, atom31.
atom3 > not atom3 :- atom5, atom31.
not atom75 > atom75 :- not atom9, atom31.
atom75 > not atom75 :- atom9, atom31.
not atom26 > atom26 :- not atom12, atom31.
not atom26 > atom26 :- atom12, atom31.
atom14 > not atom14 :- not atom3, atom31.
atom14 > not atom14 :- atom3, atom31.
atom70 > not atom70 :- not atom3, atom31.
not atom70 > atom70 :- atom3, atom31.
not atom40 > atom40 :- not atom3, atom31.
not atom40 > atom40 :- atom3, atom31.
not atom39 > atom39 :- not atom3, atom31.
not atom39 > atom39 :- atom3, atom31.
atom71 > not atom71 :- not atom3, atom31.
atom71 > not atom71 :- atom3, atom31.
not atom10 > atom10 :- not atom3, atom31.
atom10 > not atom10 :- atom3, atom31.
not atom36 > atom36 :- not atom5, atom31.
not atom36 > atom36 :- atom5, atom31.
atom60 > not atom60 :- not atom3, atom31.
not atom60 > atom60 :- atom3, atom31.
atom42 > not atom42 :- not atom5, atom31.
not atom42 > atom42 :- atom5, atom31.
atom23 > not atom23 :- not atom3, atom31.
not atom23 > atom23 :- atom3, atom31.
atom38 > not atom38 :- not atom3, atom31.
not atom38 > atom38 :- atom3, atom31.
not atom1 > atom1 :- not atom3, atom31.
not atom1 > atom1 :- atom3, atom31.
not atom30 > atom30 :- not atom1, atom31.
atom30 > not atom30 :- atom1, atom31.
atom11 > not atom11 :- not atom3, atom31.
not atom11 > atom11 :- atom3, atom31.
not atom84 > atom84 :- not atom1, atom31.
not atom84 > atom84 :- atom1, atom31.
atom86 > not atom86 :- not atom1, atom31.
atom86 > not atom86 :- atom1, atom31.
atom4 > not atom4 :- not atom9, atom31.
not atom4 > atom4 :- atom9, atom31.
not atom61 > atom61 :- not atom3, atom31.
not atom61 > atom61 :- atom3, atom31.
atom41 > not atom41 :- not atom3, atom31.
atom41 > not atom41 :- atom3, atom31.
not atom69 > atom69 :- not atom10, atom31.
atom69 > not atom69 :- atom10, atom31.
not atom66 > atom66 :- not atom5, atom31.
atom66 > not atom66 :- atom5, atom31.
not atom59 > atom59 :- not atom3, atom31.
atom59 > not atom59 :- atom3, atom31.
not atom58 > atom58 :- not atom5, atom31.
not atom58 > atom58 :- atom5, atom31.
atom44 > not atom44 :- not atom3, atom31.
atom44 > not atom44 :- atom3, atom31.
atom43 > not atom43 :- not atom4, atom31.
atom43 > not atom43 :- atom4, atom31.
atom81 > not atom81 :- not atom1, atom31.
atom81 > not atom81 :- atom1, atom31.
not atom64 > atom64 :- not atom3, atom31.
not atom64 > atom64 :- atom3, atom31.
atom16 > not atom16 :- not atom1, atom31.
atom16 > not atom16 :- atom1, atom31.
not atom33 > atom33 :- not atom1, atom31.
atom33 > not atom33 :- atom1, atom31.
atom25 > not atom25 :- not atom1, atom31.
not atom25 > atom25 :- atom1, atom31.
atom77 > not atom77 :- not atom5, atom31.
not atom77 > atom77 :- atom5, atom31.
atom63 > not atom63 :- not atom1, atom31.
atom63 > not atom63 :- atom1, atom31.
not atom6 > atom6 :- not atom1, atom31.
atom6 > not atom6 :- atom1, atom31.
not atom82 > atom82 :- not atom1, atom31.
not atom82 > atom82 :- atom1, atom31.
atom51 > not atom51 :- not atom1, atom31.
not atom51 > atom51 :- atom1, atom31.
