atom89 > not atom89.
atom17 > not atom17 :- not atom89.
not atom17 > atom17 :- atom89.
atom36 > not atom36 :- not atom17.
atom36 > not atom36 :- atom17.
atom41 > not atom41 :- not atom17, atom36.
atom41 > not atom41 :- atom17, atom36.
not atom71 > atom71 :- not atom41, atom36.
not atom71 > atom71 :- atom41, atom36.
not atom86 > atom86 :- not atom41, atom36.
not atom86 > atom86 :- atom41, atom36.
atom88 > not atom88 :- not atom71, atom36.
atom88 > not atom88 :- atom71, atom36.
atom38 > not atom38 :- not atom17, atom36.
atom38 > not atom38 :- atom17, atom36.
atom58 > not atom58 :- not atom86, atom36.
atom58 > not atom58 :- atom86, atom36.
atom32 > not atom32 :- not atom17, atom36.
not atom32 > atom32 :- atom17, atom36.
not atom15 > atom15 :- not atom17, atom36.
not atom15 > atom15 :- atom17, atom36.
not atom28 > atom28 :- not atom17, atom36.
not atom28 > atom28 :- atom17, atom36.
atom82 > not atom82 :- not atom15, atom36.
not atom82 > atom82 :- atom15, atom36.
atom47 > not atom47 :- not atom15, atom36.
not atom47 > atom47 :- atom15, atom36.
not atom69 > atom69 :- not atom15, atom36.
not atom69 > atom69 :- atom15, atom36.
not atom12 > atom12 :- not atom15, atom36.
atom12 > not atom12 :- atom15, atom36.
not atom1 > atom1 :- not atom17, atom36.
atom1 > not atom1 :- atom17, atom36.
not atom61 > atom61 :- not atom12, atom36.
not atom61 > atom61 :- atom12, atom36.
atom3 > not atom3 :- not atom12, atom36.
atom3 > not atom3 :- atom12, atom36.
atom52 > not atom52 :- not atom3, atom36.
atom52 > not atom52 :- atom3, atom36.
not atom60 > atom60 :- not atom3, atom36.
atom60 > not atom60 :- atom3, atom36.
atom48 > not atom48 :- not atom1, atom36.
not atom48 > atom48 :- atom1, atom36.
atom76 > not atom76 :- not atom1, atom36.
atom76 > not atom76 :- atom1, atom36.
not atom70 > atom70 :- not atom1, atom36.
not atom70 > atom70 :- atom1, atom36.
not atom50 > atom50 :- not atom3, atom36.
atom50 > not atom50 :- atom3, atom36.
atom43 > not atom43 :- not atom3, atom36.
