atom49 > not atom49.
atom52 > not atom52.
not atom69 > atom69 :- not atom49, not atom52.
atom69 > not atom69 :- atom49, not atom52.
not atom36 > atom36 :- not atom69, not atom52.
atom36 > not atom36 :- atom69, not atom52.
atom32 > not atom32 :- not atom36, not atom52.
not atom32 > atom32 :- atom36, not atom52.
atom71 > not atom71 :- not atom36, not atom52.
atom71 > not atom71 :- atom36, not atom52.
not atom73 > atom73 :- not atom32, not atom52.
not atom73 > atom73 :- atom32, not atom52.
not atom79 > atom79 :- not atom36, not atom52.
not atom79 > atom79 :- atom36, not atom52.
not atom28 > atom28 :- not atom32, not atom52.
not atom28 > atom28 :- atom32, not atom52.
atom1 > not atom1 :- not atom36, not atom52.
not atom1 > atom1 :- atom36, not atom52.
not atom7 > atom7 :- not atom1, not atom52.
atom7 > not atom7 :- atom1, not atom52.
not atom70 > atom70 :- not atom1, not atom52.
not atom70 > atom70 :- atom1, not atom52.
not atom19 > atom19 :- not atom1, not atom52.
atom19 > not atom19 :- atom1, not atom52.
atom14 > not atom14 :- not atom1, not atom52.
not atom14 > atom14 :- atom1, not atom52.
atom53 > not atom53 :- not atom1, not atom52.
not atom53 > atom53 :- atom1, not atom52.
not atom24 > atom24 :- not atom1, not atom52.
atom24 > not atom24 :- atom1, not atom52.
not atom46 > atom46 :- not atom24, not atom52.
atom46 > not atom46 :- atom24, not atom52.
not atom11 > atom11 :- not atom1, not atom52.
atom11 > not atom11 :- atom1, not atom52.
atom37 > not atom37 :- not atom24, not atom52.
atom37 > not atom37 :- atom24, not atom52.
not atom90 > atom90 :- not atom7, not atom52.
atom90 > not atom90 :- atom7, not atom52.
not atom50 > atom50 :- not atom7, not atom52.
not atom50 > atom50 :- atom7, not atom52.
atom45 > not atom45 :- not atom11, not atom52.
atom45 > not atom45 :- atom11, not atom52.
not atom61 > atom61 :- not atom1, not atom52.
atom61 > not atom61 :- atom1, not atom52.
not atom59 > atom59 :- not atom1, not atom52.
atom59 > not atom59 :- atom1, not atom52.
atom81 > not atom81 :- not atom1, not atom52.
not atom81 > atom81 :- atom1, not atom52.
atom82 > not atom82 :- not atom1, not atom52.
atom82 > not atom82 :- atom1, not atom52.
not atom35 > atom35 :- not atom1, not atom52.
atom35 > not atom35 :- atom1, not atom52.
not atom40 > atom40 :- not atom1, not atom52.
atom40 > not atom40 :- atom1, not atom52.
atom56 > not atom56 :- not atom11, not atom52.
not atom56 > atom56 :- atom11, not atom52.
not atom75 > atom75 :- not atom7, not atom52.
atom75 > not atom75 :- atom7, not atom52.
atom42 > not atom42 :- not atom1, not atom52.
atom42 > not atom42 :- atom1, not atom52.
not atom29 > atom29 :- not atom1, not atom52.
atom29 > not atom29 :- atom1, not atom52.
atom86 > not atom86 :- not atom1, not atom52.
not atom86 > atom86 :- atom1, not atom52.
not atom20 > atom20 :- not atom7, not atom52.
not atom20 > atom20 :- atom7, not atom52.
not atom58 > atom58 :- not atom1, not atom52.
atom58 > not atom58 :- atom1, not atom52.
atom33 > not atom33 :- not atom7, not atom52.
not atom33 > atom33 :- atom7, not atom52.
atom8 > not atom8 :- not atom11, not atom52.
atom8 > not atom8 :- atom11, not atom52.
atom34 > not atom34 :- not atom1, not atom52.
atom34 > not atom34 :- atom1, not atom52.
atom25 > not atom25 :- not atom11, not atom52.
not atom25 > atom25 :- atom11, not atom52.
atom78 > not atom78 :- not atom1, not atom52.
atom78 > not atom78 :- atom1, not atom52.
atom67 > not atom67 :- not atom1, not atom52.
atom67 > not atom67 :- atom1, not atom52.
atom26 > not atom26 :- not atom8, not atom52.
atom26 > not atom26 :- atom8, not atom52.
not atom89 > atom89 :- not atom1, not atom52.
not atom89 > atom89 :- atom1, not atom52.
atom57 > not atom57 :- not atom7, not atom52.
not atom57 > atom57 :- atom7, not atom52.
atom4 > not atom4 :- not atom8, not atom52.
atom4 > not atom4 :- atom8, not atom52.
not atom43 > atom43 :- not atom1, not atom52.
not atom43 > atom43 :- atom1, not atom52.
atom76 > not atom76 :- not atom8, not atom52.
atom76 > not atom76 :- atom8, not atom52.
atom23 > not atom23 :- not atom7, not atom52.
atom23 > not atom23 :- atom7, not atom52.
