not atom86 > atom86.
atom42 > not atom42 :- not atom86.
not atom42 > atom42 :- atom86.
not atom65 > atom65.
not atom37 > atom37 :- not atom65.
atom58 > not atom58 :- not atom37, not atom65.
not atom58 > atom58 :- atom37, not atom65.
not atom1 > atom1 :- not atom37, not atom65.
atom1 > not atom1 :- atom37, not atom65.
not atom11 > atom11 :- not atom1, not atom65.
atom11 > not atom11 :- atom1, not atom65.
not atom32 > atom32 :- not atom1, not atom65.
atom32 > not atom32 :- atom1, not atom65.
atom41 > not atom41 :- not atom1, not atom65.
not atom41 > atom41 :- atom1, not atom65.
atom75 > not atom75 :- not atom1, not atom65.
not atom75 > atom75 :- atom1, not atom65.
not atom35 > atom35 :- not atom11, not atom65.
not atom35 > atom35 :- atom11, not atom65.
atom77 > not atom77 :- not atom1, not atom65.
atom77 > not atom77 :- atom1, not atom65.
not atom89 > atom89 :- not atom1, not atom65.
not atom89 > atom89 :- atom1, not atom65.
atom34 > not atom34 :- not atom1, not atom65.
not atom34 > atom34 :- atom1, not atom65.
atom38 > not atom38 :- not atom1, not atom65.
atom38 > not atom38 :- atom1, not atom65.
not atom76 > atom76 :- not atom11, not atom65.
atom76 > not atom76 :- atom11, not atom65.
not atom4 > atom4 :- not atom34, not atom65.
not atom4 > atom4 :- atom34, not atom65.
not atom39 > atom39 :- not atom4, not atom65.
not atom39 > atom39 :- atom4, not atom65.
not atom87 > atom87 :- not atom1, not atom65.
not atom87 > atom87 :- atom1, not atom65.
not atom88 > atom88 :- not atom1, not atom65.
atom88 > not atom88 :- atom1, not atom65.
not atom81 > atom81 :- not atom1, not atom65.
atom81 > not atom81 :- atom1, not atom65.
atom68 > not atom68 :- not atom1, not atom65.
not atom68 > atom68 :- atom1, not atom65.
atom17 > not atom17 :- not atom1, not atom65.
atom17 > not atom17 :- atom1, not atom65.
atom79 > not atom79 :- not atom1, not atom65.
atom79 > not atom79 :- atom1, not atom65.
not atom29 > atom29 :- not atom32, not atom65.
atom29 > not atom29 :- atom32, not atom65.
not atom78 > atom78 :- not atom1, not atom65.
not atom78 > atom78 :- atom1, not atom65.
atom27 > not atom27 :- not atom1, not atom65.
atom27 > not atom27 :- atom1, not atom65.
not atom61 > atom61 :- not atom1, not atom65.
not atom61 > atom61 :- atom1, not atom65.
atom82 > not atom82 :- not atom4, not atom65.
atom82 > not atom82 :- atom4, not atom65.
atom71 > not atom71 :- not atom1, not atom65.
atom71 > not atom71 :- atom1, not atom65.
atom51 > not atom51 :- not atom4, not atom65.
not atom51 > atom51 :- atom4, not atom65.
atom69 > not atom69 :- not atom1, not atom65.
not atom69 > atom69 :- atom1, not atom65.
not atom24 > atom24 :- not atom1, not atom65.
atom24 > not atom24 :- atom1, not atom65.
atom25 > not atom25 :- not atom1, not atom65.
not atom25 > atom25 :- atom1, not atom65.
not atom63 > atom63 :- not atom1, not atom65.
atom63 > not atom63 :- atom1, not atom65.
not atom56 > atom56 :- not atom11, not atom65.
not atom56 > atom56 :- atom11, not atom65.
not atom15 > atom15 :- not atom1, not atom65.
not atom15 > atom15 :- atom1, not atom65.
not atom28 > atom28 :- not atom4, not atom65.
atom28 > not atom28 :- atom4, not atom65.
not atom40 > atom40 :- not atom4, not atom65.
not atom40 > atom40 :- atom4, not atom65.
atom50 > not atom50 :- not atom1, not atom65.
not atom50 > atom50 :- atom1, not atom65.
atom22 > not atom22 :- not atom4, not atom65.
not atom22 > atom22 :- atom4, not atom65.
not atom80 > atom80 :- not atom4, not atom65.
not atom80 > atom80 :- atom4, not atom65.
atom64 > not atom64 :- not atom4, not atom65.
atom64 > not atom64 :- atom4, not atom65.
atom8 > not atom8 :- not atom15, not atom65.
not atom8 > atom8 :- atom15, not atom65.
not atom23 > atom23 :- not atom1, not atom65.
atom23 > not atom23 :- atom1, not atom65.
atom74 > not atom74 :- not atom15, not atom65.
atom74 > not atom74 :- atom15, not atom65.
atom73 > not atom73 :- not atom1, not atom65.
not atom73 > atom73 :- atom1, not atom65.
atom47 > not atom47 :- not atom1, not atom65.
not atom47 > atom47 :- atom1, not atom65.
not atom26 > atom26 :- not atom11, not atom65.
atom26 > not atom26 :- atom11, not atom65.
not atom85 > atom85 :- not atom1, not atom65.
not atom85 > atom85 :- atom1, not atom65.
atom55 > not atom55 :- not atom8, not atom65.
atom55 > not atom55 :- atom8, not atom65.
atom9 > not atom9 :- not atom1, not atom65.
atom9 > not atom9 :- atom1, not atom65.
atom54 > not atom54 :- not atom1, not atom65.
atom54 > not atom54 :- atom1, not atom65.
atom67 > not atom67 :- not atom11, not atom65.
atom67 > not atom67 :- atom11, not atom65.
atom53 > not atom53 :- not atom1, not atom65.
atom53 > not atom53 :- atom1, not atom65.
atom49 > not atom49 :- not atom9, not atom65.
not atom49 > atom49 :- atom9, not atom65.
not atom33 > atom33 :- not atom1, not atom65.
not atom33 > atom33 :- atom1, not atom65.
atom46 > not atom46 :- not atom1, not atom65.
atom46 > not atom46 :- atom1, not atom65.
not atom30 > atom30 :- not atom1, not atom65.
not atom30 > atom30 :- atom1, not atom65.
not atom57 > atom57 :- not atom4, not atom65.
atom57 > not atom57 :- atom4, not atom65.
atom90 > not atom90 :- not atom4, not atom65.
not atom90 > atom90 :- atom4, not atom65.
atom31 > not atom31 :- not atom23, not atom65.
atom31 > not atom31 :- atom23, not atom65.
atom6 > not atom6 :- not atom1, not atom65.
atom6 > not atom6 :- atom1, not atom65.
not atom84 > atom84 :- not atom6, not atom65.
atom84 > not atom84 :- atom6, not atom65.
not atom3 > atom3 :- not atom1, not atom65.
atom3 > not atom3 :- atom1, not atom65.
not atom48 > atom48 :- not atom4, not atom65.
not atom48 > atom48 :- atom4, not atom65.
atom12 > not atom12 :- not atom1, not atom65.
atom12 > not atom12 :- atom1, not atom65.
not atom66 > atom66 :- not atom3, not atom65.
atom66 > not atom66 :- atom3, not atom65.
not atom2 > atom2 :- not atom1, not atom65.
not atom2 > atom2 :- atom1, not atom65.
atom70 > not atom70 :- not atom1, not atom65.
not atom70 > atom70 :- atom1, not atom65.
not atom20 > atom20 :- not atom1, not atom65.
not atom20 > atom20 :- atom1, not atom65.
atom60 > not atom60 :- not atom1, not atom65.
atom60 > not atom60 :- atom1, not atom65.
not atom13 > atom13 :- not atom2, not atom65.
not atom13 > atom13 :- atom2, not atom65.
atom72 > not atom72 :- not atom8, not atom65.
not atom72 > atom72 :- atom8, not atom65.
atom83 > not atom83 :- not atom1, not atom65.
atom83 > not atom83 :- atom1, not atom65.
not atom62 > atom62 :- not atom4, not atom65.
atom62 > not atom62 :- atom4, not atom65.
atom45 > not atom45 :- not atom2, not atom65.
atom45 > not atom45 :- atom2, not atom65.
not atom59 > atom59 :- not atom1, not atom65.
not atom59 > atom59 :- atom1, not atom65.
not atom10 > atom10 :- not atom2, not atom65.
atom10 > not atom10 :- atom2, not atom65.
not atom21 > atom21 :- not atom1, not atom65.
atom21 > not atom21 :- atom1, not atom65.
atom5 > not atom5 :- not atom1, not atom65.
not atom5 > atom5 :- atom1, not atom65.
not atom18 > atom18 :- not atom3, not atom65.
not atom18 > atom18 :- atom3, not atom65.
atom52 > not atom52 :- not atom3, not atom65.
atom52 > not atom52 :- atom3, not atom65.
not atom16 > atom16 :- not atom1, not atom65.
not atom16 > atom16 :- atom1, not atom65.
not atom44 > atom44 :- not atom2, not atom65.
not atom44 > atom44 :- atom2, not atom65.
not atom7 > atom7 :- not atom5, not atom65.
atom7 > not atom7 :- atom5, not atom65.
not atom43 > atom43 :- not atom1, not atom65.
not atom43 > atom43 :- atom1, not atom65.
atom14 > not atom14 :- not atom3, not atom65.
atom14 > not atom14 :- atom3, not atom65.
atom36 > not atom36 :- not atom1, not atom65.
not atom36 > atom36 :- atom1, not atom65.
not atom19 > atom19 :- not atom1, not atom65.
atom19 > not atom19 :- atom1, not atom65.
