not atom29 > atom29.
not atom59 > atom59 :- not atom29.
not atom14 > atom14 :- not atom29.
not atom77 > atom77 :- not atom14, not atom29.
not atom77 > atom77 :- atom14, not atom29.
atom32 > not atom32 :- not atom14, not atom29.
not atom32 > atom32 :- atom14, not atom29.
not atom6 > atom6 :- not atom14, not atom29.
atom6 > not atom6 :- atom14, not atom29.
atom3 > not atom3 :- not atom6, not atom29.
atom3 > not atom3 :- atom6, not atom29.
atom61 > not atom61 :- not atom3, not atom29.
not atom61 > atom61 :- atom3, not atom29.
atom68 > not atom68 :- not atom3, not atom29.
not atom68 > atom68 :- atom3, not atom29.
not atom62 > atom62 :- not atom14, not atom29.
not atom62 > atom62 :- atom14, not atom29.
not atom86 > atom86 :- not atom3, not atom29.
not atom86 > atom86 :- atom3, not atom29.
not atom58 > atom58 :- not atom14, not atom29.
atom58 > not atom58 :- atom14, not atom29.
atom17 > not atom17 :- not atom3, not atom29.
not atom17 > atom17 :- atom3, not atom29.
not atom15 > atom15 :- not atom3, not atom29.
not atom15 > atom15 :- atom3, not atom29.
atom9 > not atom9 :- not atom3, not atom29.
atom9 > not atom9 :- atom3, not atom29.
not atom52 > atom52 :- not atom3, not atom29.
atom52 > not atom52 :- atom3, not atom29.
not atom70 > atom70 :- not atom6, not atom29.
atom70 > not atom70 :- atom6, not atom29.
atom85 > not atom85 :- not atom3, not atom29.
atom85 > not atom85 :- atom3, not atom29.
atom88 > not atom88 :- not atom6, not atom29.
atom88 > not atom88 :- atom6, not atom29.
not atom80 > atom80 :- not atom3, not atom29.
atom80 > not atom80 :- atom3, not atom29.
atom8 > not atom8 :- not atom6, not atom29.
atom8 > not atom8 :- atom6, not atom29.
atom41 > not atom41 :- not atom3, not atom29.
atom41 > not atom41 :- atom3, not atom29.
not atom76 > atom76 :- not atom3, not atom29.
atom76 > not atom76 :- atom3, not atom29.
atom28 > not atom28 :- not atom3, not atom29.
atom28 > not atom28 :- atom3, not atom29.
atom1 > not atom1 :- not atom6, not atom29.
not atom1 > atom1 :- atom6, not atom29.
not atom37 > atom37 :- not atom3, not atom29.
not atom37 > atom37 :- atom3, not atom29.
atom56 > not atom56 :- not atom1, not atom29.
not atom56 > atom56 :- atom1, not atom29.
not atom16 > atom16 :- not atom1, not atom29.
atom16 > not atom16 :- atom1, not atom29.
atom66 > not atom66 :- not atom1, not atom29.
atom66 > not atom66 :- atom1, not atom29.
not atom72 > atom72 :- not atom1, not atom29.
not atom72 > atom72 :- atom1, not atom29.
not atom74 > atom74 :- not atom6, not atom29.
not atom74 > atom74 :- atom6, not atom29.
not atom19 > atom19 :- not atom1, not atom29.
