atom25 > not atom25.
not atom80 > atom80 :- not atom25.
not atom80 > atom80 :- atom25.
not atom81 > atom81.
not atom44 > atom44 :- not atom80.
not atom44 > atom44 :- atom80.
atom16 > not atom16 :- not atom44.
not atom16 > atom16 :- atom44.
not atom89 > atom89 :- not atom81.
atom89 > not atom89 :- atom81.
not atom57 > atom57 :- not atom44.
not atom57 > atom57 :- atom44.
atom43 > not atom43 :- not atom44, atom57.
atom43 > not atom43 :- atom44, atom57.
not atom2 > atom2 :- not atom25, atom57.
atom2 > not atom2 :- atom25, atom57.
not atom6 > atom6 :- atom57.
atom82 > not atom82 :- not atom6, atom57.
not atom82 > atom82 :- atom6, atom57.
not atom83 > atom83 :- not atom2, atom57.
not atom83 > atom83 :- atom2, atom57.
atom14 > not atom14 :- not atom2, atom57.
atom14 > not atom14 :- atom2, atom57.
not atom15 > atom15 :- not atom2, atom57.
atom15 > not atom15 :- atom2, atom57.
not atom35 > atom35 :- not atom2, atom57.
not atom35 > atom35 :- atom2, atom57.
atom75 > not atom75 :- not atom2, atom57.
not atom75 > atom75 :- atom2, atom57.
atom54 > not atom54 :- not atom6, atom57.
atom54 > not atom54 :- atom6, atom57.
not atom51 > atom51 :- not atom14, atom57.
not atom51 > atom51 :- atom14, atom57.
not atom77 > atom77 :- not atom2, atom57.
not atom77 > atom77 :- atom2, atom57.
not atom27 > atom27 :- not atom2, atom57.
atom27 > not atom27 :- atom2, atom57.
atom5 > not atom5 :- not atom14, atom57.
atom5 > not atom5 :- atom14, atom57.
not atom58 > atom58 :- not atom2, atom57.
atom58 > not atom58 :- atom2, atom57.
atom39 > not atom39 :- not atom2, atom57.
atom39 > not atom39 :- atom2, atom57.
atom61 > not atom61 :- not atom2, atom57.
not atom61 > atom61 :- atom2, atom57.
atom10 > not atom10 :- not atom5, atom57.
atom10 > not atom10 :- atom5, atom57.
atom52 > not atom52 :- not atom2, atom57.
not atom52 > atom52 :- atom2, atom57.
not atom90 > atom90 :- not atom6, atom57.
atom90 > not atom90 :- atom6, atom57.
not atom48 > atom48 :- not atom5, atom57.
atom48 > not atom48 :- atom5, atom57.
atom50 > not atom50 :- not atom2, atom57.
atom50 > not atom50 :- atom2, atom57.
not atom73 > atom73 :- not atom5, atom57.
atom73 > not atom73 :- atom5, atom57.
not atom9 > atom9 :- not atom5, atom57.
not atom9 > atom9 :- atom5, atom57.
not atom76 > atom76 :- not atom2, atom57.
atom76 > not atom76 :- atom2, atom57.
atom74 > not atom74 :- not atom2, atom57.
not atom74 > atom74 :- atom2, atom57.
not atom55 > atom55 :- not atom5, atom57.
not atom55 > atom55 :- atom5, atom57.
not atom45 > atom45 :- not atom2, atom57.
atom45 > not atom45 :- atom2, atom57.
not atom17 > atom17 :- not atom2, atom57.
atom17 > not atom17 :- atom2, atom57.
atom36 > not atom36 :- not atom2, atom57.
atom36 > not atom36 :- atom2, atom57.
not atom70 > atom70 :- not atom5, atom57.
atom70 > not atom70 :- atom5, atom57.
atom62 > not atom62 :- not atom5, atom57.
not atom62 > atom62 :- atom5, atom57.
not atom22 > atom22 :- not atom10, atom57.
not atom22 > atom22 :- atom10, atom57.
not atom87 > atom87 :- not atom2, atom57.
atom87 > not atom87 :- atom2, atom57.
atom69 > not atom69 :- not atom9, atom57.
atom69 > not atom69 :- atom9, atom57.
